words	score	chen	\dylan	3rd
prolife	seedwords			
prochoice	seedwords			
lateterm	seedwords			
parenthood	seedwords			
aborting	seedwords			
abortions	seedwords			
abortion	seedwords			
fetus	seedwords			
thirdtrimester	seedwords			
partialbirth	seedwords			
pregnancy	seedwords			
contraception	seedwords			
fetal	seedwords			
fetuses	0.6696029901504517			
sexselective	0.6577119827270508			
infanticide	0.6560764312744141			
abortionthe	0.635516881942749			
trimester	0.6259139776229858			
abortionists	0.6143316030502319			
abortionist	0.6125059723854065			
sexselection	0.6119927763938904			
previability	0.6119034290313721			
secondtrimester	0.6060909032821655			
postviable	0.6043959259986877			
electively	0.5925150513648987			
abortiona	0.5911613702774048			
firsttrimester	0.5882441997528076			
abortionondemand	0.581165611743927			
laterterm	0.5779346227645874			
amniocentesis	0.5767600536346436			
abortionand	0.5756454467773438			
livebirth	0.5741751194000244			
abort	0.5714480876922607			
fertilization	0.5667479038238525			
prolifers	0.5654052495956421			
pregnancies	0.56496661901474			
unborn	0.5597618818283081			
dilation	0.5558657646179199			
tubal	0.5518372058868408			
proabortion	0.5514633059501648			
embryos	0.5505138635635376			
trimesters	0.5484678745269775			
abortionseven	0.54811692237854			
abortionsincluding	0.5467249155044556			
sterilizations	0.5429636240005493			
aborted	0.5415473580360413			
backalley	0.5414971709251404			
womb	0.5398944020271301			
postviability	0.5391848087310791			
preborn	0.539172887802124			
euthanasia	0.5386909246444702			
ivf	0.5366289615631104			
afterbirth	0.5343793630599976			
antiabortion	0.5343021750450134			
embryo	0.5342251062393188			
implantation	0.528066873550415			
vitro	0.5246227979660034			
dx	0.523914098739624			
utero	0.5228593349456787			
tialbirth	0.518576979637146			
fertility	0.5182290077209473			
abortifacients	0.5179951190948486			
naral	0.5173780918121338			
gestation	0.5157871246337891			
hysterotomy	0.5145617723464966			
cloning	0.5144220590591431			
prowoman	0.5144016146659851			
abortionbut	0.5073668956756592			
antichoice	0.5069886445999146			
abortionthis	0.5027378797531128			
nonsurgical	0.5012326240539551			
heartbeat	0.5006682276725769			
abortionit	0.4995957612991333			
glanna	0.4995226263999939			
proceduie	0.4948592185974121			
thirdterm	0.48943760991096497			
sonograms	0.489257276058197			
contraceptives	0.487774133682251			
ru	0.4873959422111511			
feminists	0.48514458537101746			
stillborn	0.4848930537700653			
embryonic	0.48485949635505676			
carhart	0.4828891456127167			
ectopic	0.48041072487831116			
miscarriages	0.4801609218120575			
postfertilization	0.47980383038520813			
midtrimester	0.47935751080513			
sterilized	0.47860756516456604			
uterus	0.47771191596984863			
medicaidfunded	0.4767391085624695			
contraindicated	0.475029855966568			
jessen	0.47427043318748474			
dismembers	0.4733160436153412			
reproductive	0.4724540114402771			
vikki	0.4717480540275574			
roe	0.4696357548236847			
vaginal	0.46887460350990295			
prochild	0.4687695801258087			
sterilization	0.4674569368362427			
abnormality	0.46606627106666565			
abnormalities	0.46542277932167053			
selfinduced	0.46443381905555725			
michelman	0.4633556604385376			
babies	0.4631457030773163			
incest	0.4627268314361572			
norplant	0.4624406695365906			
clinicand	0.4623950123786926			
partialbirthabortion	0.4618823528289795			
paincapable	0.4613634943962097			
dismemberment	0.4612836241722107			
abortionsand	0.4605700969696045			
zygote	0.4597019553184509			
crunchy	0.4573981463909149			
