words	score	chen	\dylan	3rd
faculty	seedwords			
academies	seedwords			
fellowship	seedwords			
nanotechnology	seedwords			
university	seedwords			
teaching	seedwords			
science	seedwords			
teach	seedwords			
biotechnology	seedwords			
cloning	seedwords			
education	seedwords			
academic	seedwords			
doctoral	seedwords			
bioinformatics	0.6050153970718384			
traineeship	0.5862703323364258			
anthropology	0.5857195854187012			
biochemistry	0.5847959518432617			
precollege	0.5575017929077148			
premed	0.547001838684082			
gerontology	0.5460294485092163			
fellowships	0.5433139801025391			
professorship	0.535652220249176			
universitylevel	0.5338636636734009			
graduatelevel	0.5247236490249634			
astrophysics	0.5110991597175598			
dartmouths	0.5109089612960815			
stemrelated	0.5100571513175964			
fieldsscience	0.5083574056625366			
astronomy	0.5062491297721863			
undergraduate	0.5052229762077332			
zoology	0.5002431869506836			
geosciences	0.4970776438713074			
interdisciplinary	0.49487850069999695			
mathematics	0.49343135952949524			
preengineering	0.49257272481918335			
brescia	0.4925297200679779			
sciencerelated	0.49214306473731995			
sdsu	0.48986583948135376			
curricula	0.4868276119232178			
neuroscience	0.48619794845581055			
microbiology	0.48420047760009766			
oceanography	0.483889639377594			
pedagogy	0.48073914647102356			
genomics	0.47918516397476196			
optoelectronics	0.47816845774650574			
ucberkeley	0.4770169258117676			
postdoctoral	0.47576385736465454			
sciences	0.47520315647125244			
bioengineering	0.4746851325035095			
biomedical	0.4746285378932953			
stemscience	0.47285062074661255			
assistantships	0.47224950790405273			
rosehulman	0.4718698263168335			
baccalaureate	0.4708879292011261			
physics	0.4702834188938141			
mits	0.46984773874282837			
college	0.4697604179382324			
nanoscience	0.468833327293396			
botany	0.4670330882072449			
servicelearning	0.4669841527938843			
meteorology	0.465483158826828			
curriculums	0.4653710722923279			
theuniversity	0.46463319659233093			
disciplines	0.46453291177749634			
universitys	0.46369439363479614			
doctorates	0.46351248025894165			
phds	0.4632713794708252			
electives	0.46286922693252563			
curriculum	0.4618709683418274			
informatics	0.4608266353607178			
learning	0.46027854084968567			
physiology	0.4596068859100342			
ucsd	0.4585624039173126			
majors	0.45791858434677124			
uw	0.4578467607498169			
cleanroom	0.4573202431201935			
internships	0.45704102516174316			
psychology	0.4567999541759491			
embryology	0.4567796587944031			
leaming	0.4562862515449524			
marylhurst	0.45319199562072754			
integrative	0.4527856111526489			
collegelevel	0.4522421956062317			
postgraduate	0.4519009292125702			
academics	0.4517862796783447			
nanotech	0.451290488243103			
coursework	0.45115146040916443			
genetics	0.4505956470966339			
geophysics	0.4504988193511963			
degreegranting	0.45030322670936584			
nsf	0.4503009021282196			
yuning	0.4499122202396393			
undergraduates	0.4491444528102875			
hbcu	0.4485120177268982			
jvisas	0.4477863311767578			
undergrad	0.447229266166687			
embryriddle	0.4464794397354126			
premedical	0.4463754892349243			
experiential	0.44624191522598267			
students	0.4445226490497589			
uab	0.44444242119789124			
prelaw	0.44289430975914			
mathscience	0.4425908029079437			
aeronautical	0.4409046471118927			
ucsb	0.44058629870414734			
unm	0.4398570656776428			
ntid	0.43896424770355225			
traineeships	0.4381425976753235			
gsn	0.4381072521209717			
babson	0.43773597478866577			
nasarelated	0.4356698989868164			
biomedicine	0.4354279339313507			
postdoctorate	0.435031533241272			
