words	score	chen	\dylan	3rd
heroin	seedwords			
drug	seedwords			
smoke	seedwords			
steroids	seedwords			
addiction	seedwords			
tobacco	seedwords			
marijuana	seedwords			
beverages	seedwords			
substances	seedwords			
medications	seedwords			
opioid	seedwords			
cocaine	seedwords			
prescribing	seedwords			
alcoholism	seedwords			
narcotics	seedwords			
cigarette	seedwords			
alcoholic	seedwords			
beverage	seedwords			
crack	seedwords			
painkillers	0.6816908121109009			
oxycontin	0.6718372106552124			
methamphetamines	0.6684353351593018			
hydrocodone	0.6486127972602844			
ecstasy	0.6447507739067078			
methamphetamine	0.6401256322860718			
opioids	0.6399667263031006			
amphetamines	0.631894052028656			
narcotic	0.6241491436958313			
opiate	0.6182693243026733			
oxycodone	0.6170504093170166			
meth	0.6155537962913513			
stimulants	0.6152681112289429			
valium	0.6113165616989136			
inhalants	0.6104262471199036			
cigarettes	0.609362781047821			
drugs	0.6078798174858093			
morphine	0.6068557500839233			
steroid	0.5909671187400818			
painkiller	0.5873242020606995			
ghb	0.5869537591934204			
fentanyl	0.5858643651008606			
ecstacy	0.5841858386993408			
overdosing	0.5838602185249329			
ecigarettes	0.5827807188034058			
opiates	0.5826964378356934			
percocet	0.5790818333625793			
tranquilizers	0.5746031999588013			
rohypnol	0.5739206075668335			
nicotine	0.5731519460678101			
amphetamine	0.5708884000778198			
dxm	0.57061767578125			
addicting	0.5671689510345459			
vicodin	0.5602016448974609			
antidepressants	0.5597072839736938			
acetaminophen	0.5581719875335693			
hallucinogens	0.5548862814903259			
dhea	0.5485808849334717			
ephedrine	0.5465855598449707			
pseudophedrine	0.5433794856071472			
pseudoephedrine	0.5424094200134277			
caffeine	0.5404962301254272			
tylenol	0.5383180379867554			
hallucinogen	0.537024974822998			
ritalin	0.5367418527603149			
addictive	0.5363629460334778			
relievers	0.5353959798812866			
hallucinogenic	0.53007572889328			
snorting	0.5300421714782715			
pcp	0.5272252559661865			
atropine	0.5252918601036072			
ingested	0.523023247718811			
lsd	0.5211038589477539			
ecigarette	0.520986020565033			
xanax	0.5195541977882385			
candyflavored	0.5181249380111694			
quaaludes	0.5156035423278809			
drugabuse	0.5125770568847656			
inhalant	0.5116052627563477			
methadone	0.5114176273345947			
overprescribing	0.5102860927581787			
drugsnot	0.5102798342704773			
intoxicating	0.5096737146377563			
drugsbut	0.5083042979240417			
codeine	0.5080968737602234			
testosterone	0.5072265863418579			
drugsthe	0.5070366263389587			
quinine	0.506144642829895			
dope	0.505276083946228			
nonprescription	0.5040457248687744			
antidepressant	0.5022531747817993			
intoxication	0.5021938681602478			
alcohol	0.5019785165786743			
underage	0.5017617344856262			
andro	0.5004754066467285			
sedatives	0.4994261860847473			
ephedra	0.4971405565738678			
sedative	0.49654504656791687			
overdosed	0.4938853979110718			
analogues	0.4916744530200958			
smokeless	0.4906603693962097			
pills	0.490660160779953			
advil	0.4905293583869934			
flunitrazepam	0.4902041554450989			
analgesic	0.48959285020828247			
ketamine	0.48894423246383667			
dilantin	0.48894280195236206			
quaalude	0.4885598421096802			
smokeable	0.48690077662467957			
paxil	0.48640525341033936			
liquors	0.4862748682498932			
iodine	0.4838747978210449			
mindaltering	0.48287343978881836			
roofies	0.47876638174057007			
smoking	0.4779178202152252			
vaping	0.4766765832901001			
milligram	0.4750524163246155			
antipsychotics	0.4746524691581726			
psychoactive	0.4725937247276306			
drugsand	0.4724593460559845			
