words	score	chen	\dylan	3rd
startup	seedwords			
familyowned	seedwords			
entrepreneur	seedwords			
business	seedwords			
antitrust	seedwords			
estate	seedwords			
entrepreneurship	seedwords			
corporation	seedwords			
company	0.5151267051696777			
realty	0.4925289750099182			
familyrun	0.48426374793052673			
familyheld	0.4822811484336853			
businessowner	0.4806760847568512			
companythe	0.47928673028945923			
womanowned	0.4790908694267273			
entrepreneurs	0.4753102660179138			
startups	0.4698227643966675			
familyoperated	0.46350792050361633			
amway	0.45747554302215576			
businessperson	0.4555756151676178			
businessman	0.4550717771053314			
winery	0.4547814130783081			
entrepreneurial	0.45179080963134766			
homebuilding	0.45157092809677124			
venturebacked	0.4510857164859772			
businessand	0.4494735896587372			
mediumsize	0.44896331429481506			
enterprises	0.4458094835281372			
femaleowned	0.4427802264690399			
firms	0.4417908787727356			
mcgrawhill	0.4383910298347473			
ebay	0.43590986728668213			
publiclytraded	0.4347649812698364			
developer	0.4337151050567627			
rsr	0.43370482325553894			
coowner	0.43315067887306213			
profitmaking	0.4326976537704468			
nsos	0.4317370653152466			
shoestore	0.42902252078056335			
kenway	0.42857682704925537			
banker	0.42630821466445923			
usbased	0.4242616295814514			
hewlettpackard	0.4236184358596802			
ventures	0.42322248220443726			
compaq	0.4231131374835968			
businessa	0.4229351878166199			
biopharmaceutical	0.42026442289352417			
genentech	0.41676396131515503			
restaurateur	0.41660767793655396			
companies	0.41555899381637573			
smallbusiness	0.4153827428817749			
smalland	0.41247835755348206			
greentech	0.41163721680641174			
businesswoman	0.41065362095832825			
bernicks	0.4103529453277588			
amgen	0.4096085727214813			
merchandising	0.408098042011261			
businessthe	0.407748281955719			
telecom	0.4071632921695709			
bdcs	0.40709495544433594			
incubator	0.4068727493286133			
brewery	0.40655040740966797			
locallyowned	0.40610355138778687			
businesses	0.4031873047351837			
earlystage	0.40216174721717834			
cleantech	0.40177619457244873			
owner	0.40169239044189453			
coown	0.40130847692489624			
businessesthe	0.40121451020240784			
businesss	0.4011836051940918			
franchises	0.400215744972229			
jewelers	0.4001280665397644			
enterprise	0.39930039644241333			
electropac	0.3989538550376892			
paccar	0.3979582190513611			
microbreweries	0.3978198170661926			
minorityowned	0.39722687005996704			
pepsicola	0.39713650941848755			
reit	0.3958444893360138			
dg	0.395842045545578			
brownforman	0.3955000638961792			
retailing	0.39506977796554565			
momandpop	0.3946991562843323			
latinoowned	0.3946545124053955			
busines	0.3942655920982361			
whiteowned	0.3927525281906128			
economysmall	0.392324298620224			
tci	0.39178112149238586			
businessesthat	0.391742467880249			
closelyheld	0.39129358530044556			
africanamericanowned	0.3906840980052948			
emcore	0.3905898928642273			
employeeowned	0.3905383050441742			
drycleaning	0.39022982120513916			
preneurs	0.38949504494667053			
americanowned	0.38940390944480896			
oracle	0.38923972845077515			
esop	0.38920122385025024			
kauffman	0.3888562023639679			
upstart	0.3887738585472107			
florist	0.3884524405002594			
distributor	0.3877449631690979			
netscape	0.3868638277053833			
mainebased	0.38682299852371216			
firmsthe	0.386790931224823			
moneymaking	0.38672327995300293			
minoritycontrolled	0.3859117031097412			
hitech	0.3854216933250427			
