words	score	chen	\dylan	3rd
toddlers	seedwords			
babies	seedwords			
infant	seedwords			
infants	seedwords			
youngster	seedwords			
boy	seedwords			
adolescent	seedwords			
children	seedwords			
teenagers	seedwords			
baby	seedwords			
toddler	seedwords			
teenager	seedwords			
girl	seedwords			
kids	seedwords			
child	seedwords			
youngsters	0.5935795307159424			
childa	0.5825101137161255			
newborns	0.5786459445953369			
yearolds	0.5622046589851379			
preschoolers	0.5616568326950073			
drugexposed	0.5497997999191284			
teenaged	0.5475073456764221			
newborn	0.5467192530632019			
childrenwho	0.5443676710128784			
crackaddicted	0.5436404943466187			
childrenand	0.5365317463874817			
underweight	0.533935546875			
expectant	0.529144287109375			
teens	0.5288151502609253			
cocaineexposed	0.525843620300293			
drugaddicted	0.5248150825500488			
childand	0.5212196111679077			
triplets	0.5207021832466125			
almostborn	0.5197648406028748			
newbom	0.5187013149261475			
sonograms	0.5186144709587097			
childs	0.5178993344306946			
playmate	0.5147411227226257			
yearsolds	0.5124363899230957			
chldren	0.5102957487106323			
girls	0.5077118277549744			
parents	0.5062353610992432			
adolescents	0.5032521486282349			
fiveyearold	0.5028847455978394			
crib	0.5022958517074585			
substanceabusing	0.5003033876419067			
monthold	0.4967016577720642			
kid	0.4946146011352539			
preteen	0.49428582191467285			
adolescence	0.4927530288696289			
unwed	0.49026381969451904			
mothers	0.49013134837150574			
sixyearold	0.48962828516960144			
stillborn	0.4878380298614502			
sibling	0.4866623282432556			
mother	0.48653939366340637			
liveborn	0.4860583543777466			
childrenchildren	0.4839337468147278			
hivexposed	0.48283451795578003			
childrenin	0.4806394577026367			
youths	0.4801240563392639			
calves	0.47991856932640076			
childrenthe	0.47827863693237305			
teenage	0.4771818220615387			
childreni	0.4759312868118286			
childrenare	0.4747051000595093			
prenatal	0.4746891260147095			
girlshe	0.47213298082351685			
deformed	0.471749484539032			
asthmatic	0.47135645151138306			
neonates	0.4689014256000519			
childrenit	0.4681084156036377			
adulthood	0.4667198956012726			
childrenor	0.46656954288482666			
kindergartners	0.46547752618789673			
daughter	0.46497830748558044			
pregnant	0.46389392018318176			
babys	0.4638666808605194			
gestational	0.46337008476257324			
childrenwould	0.4633118212223053			
chilare	0.4631393551826477			
childrena	0.46289166808128357			
dren	0.46199995279312134			
fetuses	0.46075496077537537			
tenyearold	0.46061021089553833			
yearsold	0.4601827561855316			
mom	0.4594865143299103			
weekold	0.4594241976737976			
preborn	0.4591749310493469			
boyfriend	0.4587501287460327			
cradling	0.45809289813041687			
abuserssuch	0.4569118022918701			
breastfed	0.4558703303337097			
childrenthat	0.4558340609073639			
quadruplets	0.4557724595069885			
acne	0.45546960830688477			
schoolgirls	0.4552626609802246			
lowweight	0.45489412546157837			
cribs	0.4532623887062073			
tummy	0.45209407806396484			
greataunt	0.4517971873283386			
familymember	0.45046916604042053			
stroller	0.449704110622406			
fatherless	0.44936373829841614			
wombs	0.4492155611515045			
preschooler	0.44830939173698425			
malnourished	0.4482259750366211			
clutching	0.4481717646121979			
pregnancy	0.4472936987876892			
preschool	0.44500088691711426			
mommy	0.4438815116882324			
childbirth	0.44380930066108704			
malformed	0.44369542598724365			
childrenunder	0.44276559352874756			
siblings	0.4424808621406555			
