words	score	chen	\dylan	3rd
guangzhou	seedwords			
tibet	seedwords			
chinas	seedwords			
beijing	seedwords			
xinjiang	seedwords			
taiwans	seedwords			
prc	seedwords			
peking	seedwords			
mainland	seedwords			
tiananmen	seedwords			
wuhan	seedwords			
taipei	seedwords			
taiwanese	seedwords			
chinese	seedwords			
prcs	seedwords			
peoplesrepublic	seedwords			
nanjing	seedwords			
shanghai	seedwords			
shenzhen	seedwords			
china	seedwords			
beijings	seedwords			
gerontocracy	0.6600096821784973			
xian	0.6374222040176392			
jintao	0.6238309144973755			
zhu	0.6015336513519287			
shenyang	0.5935972929000854			
fukien	0.5917360186576843			
qing	0.5896588563919067			
guandong	0.5816988945007324			
juntao	0.5787266492843628			
rongji	0.5708680748939514			
vicepremier	0.5689842700958252			
jing	0.5687955617904663			
zemin	0.5687317848205566			
crossstrait	0.5663772225379944			
mpn	0.5606073141098022			
tibets	0.5554862022399902			
xiaoping	0.5533134937286377			
rangoon	0.5529283285140991			
wenli	0.5486629009246826			
lhasa	0.5472954511642456			
jiang	0.5466973185539246			
peng	0.5459458231925964			
nese	0.5447907447814941			
jiabao	0.5447192192077637			
hebei	0.5414361953735352			
kwangtung	0.5414249897003174			
tsinghua	0.5411764979362488			
deng	0.5401567220687866			
pyongyang	0.5399926900863647			
kaishek	0.539289116859436			
tong	0.5383975505828857			
chinawhich	0.536049485206604			
tibetans	0.5355185866355896			
chengdu	0.5346308350563049			
chinain	0.533115565776825			
changsha	0.5318853855133057			
qinghai	0.5317428112030029			
wang	0.5308906435966492			
vietnams	0.5308663845062256			
zhou	0.5302093029022217			
jianlis	0.5298582315444946			
guangdong	0.5283321142196655			
fudan	0.5270523428916931			
uighur	0.524482011795044			
chinaand	0.5204833149909973			
yufu	0.5204557180404663			
indias	0.5198120474815369			
falun	0.5189104080200195			
burma	0.5183290243148804			
uighers	0.5157211422920227			
qichen	0.5155802965164185			
bejing	0.5139684677124023			
prefecture	0.5135783553123474			
manchuria	0.5108959674835205			
roc	0.50969398021698			
hubei	0.5095289945602417			
qin	0.5089067816734314			
ziming	0.508571207523346			
hu	0.5065571069717407			
congressionalexecutive	0.5052120089530945			
jiangsu	0.5043537020683289			
daohan	0.5030699968338013			
yuans	0.503067672252655			
sheng	0.5029363632202148			
shi	0.5025248527526855			
taiwan	0.5021383762359619			
yuan	0.5005204081535339			
zemins	0.4988640248775482			
lizhi	0.49486321210861206			
laogai	0.4946599006652832			
yuanzu	0.49322235584259033			
henan	0.49072009325027466			
talwan	0.4895990490913391			
chinawe	0.4888143539428711			
anhui	0.48589855432510376			
huairou	0.4857896864414215			
chinaall	0.48574674129486084			
chinaif	0.48563480377197266			
thailands	0.4843692183494568			
indonesias	0.48367345333099365			
chinaa	0.4832850992679596			
uighurs	0.4826144576072693			
shen	0.48238739371299744			
indonesia	0.48164185881614685			
fujian	0.4810490012168884			
penghu	0.48095303773880005			
xiao	0.4806402921676636			
yang	0.48054414987564087			
jakarta	0.4777512550354004			
confucian	0.4767894148826599			
spratlys	0.4765317142009735			
tibetan	0.47634291648864746			
dialogued	0.47518301010131836			
teheran	0.4738738536834717			
huawei	0.47331637144088745			
tenzen	0.4727129638195038			
nanking	0.4724259376525879			
xiaopings	0.4723599851131439			
repressive	0.4718802571296692			
macau	0.4715878367424011			
