words	score	chen	\dylan	3rd
commerce	seedwords			
consumer	seedwords			
retail	seedwords			
customer	seedwords			
retailing	0.49897003173828125			
merchandising	0.46753501892089844			
customers	0.46179354190826416			
consumers	0.44404134154319763			
nordstroms	0.4205334782600403			
retailer	0.41648221015930176			
wholesale	0.41161680221557617			
vendor	0.40896427631378174			
renttoown	0.40492114424705505			
retailers	0.40027663111686707			
shoppers	0.3830595016479492			
appliance	0.3824259042739868			
mailorder	0.37688320875167847			
safeway	0.375749796628952			
fastfood	0.3728029727935791			
supermarket	0.37267497181892395			
macys	0.37142595648765564			
ebay	0.3692547082901001			
subscriber	0.3668502867221832			
marketer	0.3643060326576233			
unbundled	0.3625136613845825			
ecommerce	0.3611706495285034			
atts	0.3611333668231964			
showrooms	0.35992902517318726			
wegmans	0.3578197956085205			
industry	0.35568004846572876			
economyfrom	0.3540442883968353			
turing	0.3519606292247772			
supermarkets	0.35089266300201416			
confectionary	0.3500943183898926			
fullservice	0.3484506607055664			
quickservice	0.3475921154022217			
automotive	0.3471389412879944			
napster	0.3469393253326416			
manufacturing	0.34603962302207947			
delco	0.3451393246650696			
electropac	0.34445077180862427			
superstore	0.34259283542633057			
winndixie	0.34142038226127625			
confectionery	0.34093791246414185			
fedex	0.3407430350780487			
showroom	0.34040695428848267			
commercial	0.33974790573120117			
marketing	0.3396703600883484			
lewisan	0.33924007415771484			
shoestores	0.33871567249298096			
sumer	0.33739474415779114			
wholesaling	0.3373056650161743			
nonfinancial	0.33719602227211			
highend	0.3369470238685608			
beverage	0.336701899766922			
refiner	0.3366755247116089			
merchants	0.3363032042980194			
catering	0.33607345819473267			
autoparts	0.33543407917022705			
manufactures	0.3351030945777893			
industrythe	0.3348793387413025			
freezers	0.3343161642551422			
paypercall	0.3343154191970825			
justintime	0.3341831862926483			
tci	0.33410051465034485			
resellers	0.3340185880661011			
janitorial	0.3338624835014343			
resale	0.3332618474960327			
selfservice	0.3326784372329712			
walmarts	0.3319007158279419			
distributor	0.3311382532119751			
reseller	0.33098942041397095			
kmarts	0.330209881067276			
cband	0.32991451025009155			
discounters	0.32976043224334717			
bricksandmortar	0.32960379123687744			
brickandmortar	0.3291584849357605			
theairline	0.3291230797767639			
sumers	0.32858920097351074			
amazoncom	0.3284548819065094			
ikea	0.3282769024372101			
energyintensive	0.32826364040374756			
verizon	0.3268048167228699			
llbean	0.32640403509140015			
crosssubsidizing	0.3263568580150604			
distributors	0.325980544090271			
marketand	0.3259292244911194			
widget	0.32587942481040955			
homebuilding	0.3253982663154602			
koppers	0.32465046644210815			
yogurt	0.3246205449104309			
tjx	0.3243715763092041			
florists	0.3240826427936554			
amway	0.3238198459148407			
hechts	0.3232983946800232			
bigbox	0.32174280285835266			
consumerfriendly	0.3213965594768524			
toshiba	0.32126182317733765			
bellsouth	0.3203135132789612			
florist	0.31963735818862915			
profitability	0.3190193772315979			
facturing	0.31888914108276367			
upscale	0.3177909553050995			
manufacturers	0.31760522723197937			
