words	score	chen	\dylan	3rd
violent	seedwords			
offenders	seedwords			
recidivism	seedwords			
criminal	seedwords			
homicide	seedwords			
rape	seedwords			
felonies	seedwords			
gang	seedwords			
murder	seedwords			
crime	seedwords			
prison	seedwords			
recidivist	0.6247367858886719			
recidivists	0.6080752611160278			
crimes	0.5998189449310303			
crimeand	0.5925908088684082			
rearrest	0.5887289047241211			
felony	0.5871313214302063			
incarceration	0.5860541462898254			
crimesand	0.5847451686859131			
offenses	0.5765482187271118			
rapist	0.5706579685211182			
gangrelated	0.5660669803619385			
rapes	0.564645528793335			
burglaries	0.563363790512085			
crimethe	0.5632055997848511			
homicides	0.5616376996040344			
offender	0.5561363697052002			
arsonists	0.555095374584198			
offendersthose	0.554570734500885			
rapists	0.5541706085205078			
murders	0.5408132076263428			
crimeespecially	0.5380972027778625			
juveniles	0.5373193025588989			
dwi	0.5341399908065796			
criminals	0.5323499441146851			
felonious	0.5255971550941467			
felon	0.5252100825309753			
burglary	0.5244638919830322			
molesters	0.5231893658638			
carjackings	0.5229651927947998			
muggers	0.5228729248046875			
murderer	0.5201842784881592			
crimesmurder	0.5194809436798096			
manslaughter	0.5135480165481567			
prosecuted	0.5134741067886353			
arrests	0.5114568471908569			
crimesthat	0.5098764896392822			
wifebeaters	0.5076289176940918			
incarcerations	0.5075580477714539			
felons	0.5056434869766235			
gangs	0.5035990476608276			
crimesthe	0.5014467239379883			
riotrelated	0.5009201765060425			
apprehended	0.5005706548690796			
pedophile	0.4991542100906372			
crimesincluding	0.4989345073699951			
felonylevel	0.4959915280342102			
arrestees	0.4948503077030182			
carjacking	0.4946226179599762			
adultery	0.49405550956726074			
stalkers	0.49395400285720825			
crimesnot	0.4927419126033783			
reoffend	0.49250248074531555			
guntoting	0.4921179413795471			
crimein	0.4901774227619171			
hoodlums	0.4901212453842163			
molestation	0.4894951283931732			
robberies	0.4880311191082001			
drugdealing	0.4877890348434448			
crimeto	0.4864792823791504			
molester	0.48443442583084106			
carjacker	0.4841313362121582			
offenseand	0.48395419120788574			
misdemeanor	0.4837615489959717			
pimps	0.48316091299057007			
convicts	0.4807654321193695			
murderers	0.47786879539489746			
reincarceration	0.4751903712749481			
thefts	0.4749542474746704			
perpetrator	0.47471094131469727			
sentences	0.4746929407119751			
reconvicted	0.4745899438858032			
carjackers	0.47211140394210815			
reoffending	0.4720802307128906			
drugtrafficking	0.4714381992816925			
biasmotivated	0.4712284207344055			
drugridden	0.47111839056015015			
burglars	0.47105124592781067			
bindover	0.46803125739097595			
dui	0.46662193536758423			
truancy	0.46640533208847046			
rearrested	0.4652063846588135			
batterers	0.46335849165916443			
assaulters	0.4631131589412689			
paroleeligible	0.46300020813941956			
methrelated	0.4623700976371765			
criminalsand	0.46157073974609375			
prosecutions	0.46076494455337524			
rearrests	0.4584342837333679			
imprisonment	0.45773792266845703			
exconvicts	0.4566901922225952			
crimeis	0.456459641456604			
arson	0.45546624064445496			
overincarceration	0.45459577441215515			
jail	0.4543973207473755			
crimethat	0.4543105959892273			
drugrelated	0.4535086154937744			
kidnapping	0.4532356858253479			
criminality	0.45213234424591064			
sentencing	0.4515535533428192			
punishments	0.45145148038864136			
