words	score	chen	\dylan	3rd
cultures	seedwords			
film	seedwords			
library	seedwords			
cultural	seedwords			
movie	seedwords			
art	seedwords			
tradition	seedwords			
museum	seedwords			
culture	seedwords			
multiculturalism	seedwords			
folklore	0.5550316572189331			
classical	0.5484989881515503			
masterpieces	0.543660581111908			
richness	0.5376744866371155			
exhibitions	0.5372999310493469			
eiteljorg	0.536220908164978			
mimbres	0.5318235754966736			
artworks	0.5134143829345703			
reggae	0.5116000771522522			
artistry	0.5077273845672607			
cinema	0.5058706998825073			
hula	0.5049160718917847			
icons	0.5024429559707642			
cuisine	0.5014283657073975			
murals	0.496976375579834			
storytelling	0.4955770969390869			
decorative	0.49371951818466187			
museums	0.49276280403137207			
tapestry	0.4922400712966919			
paintings	0.48879626393318176			
spirituals	0.48803266882896423			
films	0.48613595962524414			
heritages	0.48579245805740356			
exhibition	0.4840947985649109			
symphonies	0.4832218587398529			
lore	0.482665479183197			
impressionist	0.4813741147518158			
prehistory	0.479221910238266			
literary	0.47886186838150024			
classics	0.47868403792381287			
genre	0.4779731035232544			
cinematic	0.47614550590515137			
folklife	0.47612565755844116			
artistic	0.47588425874710083			
anthropology	0.4727667272090912			
arts	0.4718518853187561			
sculpture	0.4709361791610718			
multicultural	0.4708344340324402			
artifacts	0.46898168325424194			
ballet	0.4669091999530792			
heritage	0.4667450189590454			
flamenco	0.4651857614517212			
prehistoric	0.4650205373764038			
genealogy	0.464931845664978			
huinanities	0.46431005001068115			
pottery	0.46389591693878174			
literature	0.4636364281177521			
composers	0.4635111391544342			
masterworks	0.46298980712890625			
culturethe	0.4613964259624481			
quilting	0.4601048231124878			
repertoire	0.456859827041626			
novels	0.45474451780319214			
anasazi	0.4545050263404846			
frankenmuth	0.45268169045448303			
sculptures	0.45169901847839355			
genres	0.4513026177883148			
smithsonians	0.45009997487068176			
musicand	0.449482262134552			
librarys	0.44897162914276123			
antiques	0.44841495156288147			
zydeco	0.44837039709091187			
artwork	0.4481879472732544			
shakespeare	0.44699886441230774			
traditions	0.4466916024684906			
acadian	0.44627946615219116			
baroque	0.4459070563316345			
deco	0.4457308053970337			
museuma	0.4447382986545563			
christianjudeo	0.4445292353630066			
provasoliguillard	0.4426589906215668			
opera	0.4420287609100342			
victorian	0.4417845606803894			
individuality	0.44029444456100464			
festivals	0.439492404460907			
precolumbian	0.4390488266944885			
musicals	0.4389793872833252			
gullahgeechee	0.43702560663223267			
michelangelo	0.43666303157806396			
romance	0.4363439679145813			
mural	0.43530893325805664			
elizabethan	0.43437525629997253			
archive	0.434295117855072			
skirball	0.4340696334838867			
folk	0.4337235689163208			
history	0.433428555727005			
enliven	0.43283331394195557			
mosaic	0.4327767491340637			
documentaries	0.4321202337741852			
shakespearian	0.4317464530467987			
sfmoma	0.43158668279647827			
contemporary	0.4312208890914917			
audiences	0.4297583997249603			
playhouse	0.429715096950531			
colorful	0.42857202887535095			
rustic	0.42830222845077515			
germanrussian	0.4278827905654907			
tanglewood	0.42748892307281494			
bavarian	0.42742303013801575			
artifact	0.4272562265396118			
