words	score	chen	\dylan	3rd
cyberwarfare	seedwords			
cybersecurity	seedwords			
information	seedwords			
misinformation	seedwords			
privacy	seedwords			
intelligence	seedwords			
breaches	seedwords			
cyber	seedwords			
cyberattacks	0.6570953726768494			
cyberspace	0.5702887773513794			
cyberattack	0.5295080542564392			
cybercrime	0.5286521911621094			
datamining	0.5244666337966919			
malware	0.5187629461288452			
cyberthreats	0.5101138353347778			
espionage	0.5036659240722656			
informationsharing	0.49918365478515625			
spyware	0.498975545167923			
data	0.4989199638366699			
counterintelligence	0.49709489941596985			
cyberterrorism	0.4960247278213501			
vulnerabilities	0.494610071182251			
hacking	0.4923141300678253			
hackers	0.47798416018486023			
nsa	0.4753570556640625			
intrusions	0.47426122426986694			
encryption	0.47104182839393616			
cyberthreat	0.4685293436050415			
cyberterrorists	0.45792141556739807			
databases	0.45695018768310547			
cispa	0.4501515328884125			
intercepts	0.4454435408115387			
vulnerability	0.44384393095970154			
authentication	0.4422396421432495			
eavesdropping	0.4418799877166748			
wmd	0.44002318382263184			
spoofing	0.4395419657230377			
intelligencegathering	0.4386000335216522			
phishing	0.4357931613922119			
bioweapons	0.4298464059829712			
threats	0.42977869510650635			
earlywarning	0.42606452107429504			
dhss	0.4245976209640503			
cybersystems	0.4231264293193817			
cybercriminals	0.4225294888019562			
informationand	0.41809868812561035			
malicious	0.41791391372680664			
biometrics	0.41576603055000305			
communications	0.41554129123687744			
botnets	0.4053519368171692			
odni	0.4033982753753662			
spying	0.4025004208087921			
metadata	0.4012375473976135			
situational	0.40108782052993774			
dotmil	0.4009222984313965			
disclosures	0.40030866861343384			
cybercrimes	0.39992499351501465			
cyberbased	0.39980006217956543			
bioterrorist	0.39975884556770325			
whistleblowing	0.39937615394592285			
dni	0.3986552953720093			
identities	0.39411070942878723			
counterterrorism	0.3938334584236145			
clandestine	0.3933348059654236			
cyberintrusions	0.39068713784217834			
browsing	0.3894262909889221			
passwords	0.3881543278694153			
antispyware	0.38768166303634644			
networked	0.38666942715644836			
dhs	0.3866642713546753			
cryptography	0.38612639904022217			
algorithms	0.38602039217948914			
bioterrorism	0.3854481875896454			
dotgov	0.3850475549697876			
wikileaks	0.38432613015174866			
sensitive	0.3831818103790283			
denialofservice	0.38207507133483887			
adware	0.38191157579421997			
classified	0.38159459829330444			
nsas	0.3806613087654114			
nccic	0.38013574481010437			
airdefense	0.3799345791339874			
bioterror	0.37974274158477783			
informationthe	0.37790727615356445			
cryptographic	0.3778904378414154			
counterfeiting	0.37787115573883057			
filesharing	0.3760923743247986			
geospatial	0.37558794021606445			
alerts	0.3755410611629486			
weaknesses	0.3737674951553345			
defenses	0.3733171224594116			
penetrations	0.37264978885650635			
surreptitious	0.3723713159561157			
cybernetworks	0.3723568320274353			
drones	0.371824711561203			
pretexting	0.37152567505836487			
kazaa	0.3707835078239441			
roguestate	0.37017756700515747			
encrypt	0.3693889379501343			
forensics	0.3691744804382324			
surveillance	0.3671683073043823			
drone	0.3662469685077667			
encrypted	0.3632478713989258			
wiretaps	0.36284971237182617			
hacker	0.3623965084552765			
covert	0.3615175783634186			
computerbased	0.3614322245121002			
asymmetric	0.36088696122169495			
