words	score	chen	\dylan	3rd
gitmo	seedwords			
torture	seedwords			
guantanamo	seedwords			
interrogation	seedwords			
detainee	seedwords			
combatant	seedwords			
captives	seedwords			
detention	seedwords			
detainees	0.740157961845398			
gtmo	0.6987301111221313			
interrogations	0.6195839047431946			
detainment	0.6172517538070679			
interrogating	0.6050580143928528			
interrogated	0.5813735723495483			
waterboarded	0.5735689401626587			
combatants	0.5687842965126038			
interrogators	0.5591187477111816			
guantaname	0.5581039190292358			
allibi	0.5450183749198914			
warsame	0.5291868448257446			
icrc	0.5273655652999878			
waterboarding	0.5257465839385986			
guantinamo	0.5241683125495911			
incommunicado	0.5227789878845215			
waterboard	0.5215016603469849			
detaining	0.5198342800140381			
illtreatment	0.5191341638565063			
lawofwar	0.5176911950111389			
detentions	0.5122354030609131			
captors	0.5110187530517578			
torturing	0.509496808052063			
detain	0.5023240447044373			
guantanamos	0.5016559958457947			
interrogate	0.5014063119888306			
pows	0.5005743503570557			
bilibid	0.4922170341014862			
daqduq	0.4874446988105774			
krome	0.4864159822463989			
belligerents	0.48147112131118774			
tainees	0.4814346432685852			
hamdis	0.4812144637107849			
unprivileged	0.47818511724472046			
confinement	0.4770311713218689			
torturers	0.47665488719940186			
captivity	0.474775493144989			
reeducation	0.4746863543987274			
prisonerofwar	0.46929967403411865			
ksm	0.4682171046733856			
supermax	0.46361082792282104			
abdulmutallab	0.4626048803329468			
inhuman	0.4582129716873169			
detaineesand	0.4567376375198364			
humanely	0.4565656781196594			
omarska	0.4549939036369324			
zubaydah	0.45486557483673096			
guanta	0.45386233925819397			
evin	0.45237839221954346			
counterrevolutionaries	0.4492924213409424			
abdulkadir	0.44813957810401917			
ghailani	0.4479610323905945			
abu	0.4469491243362427			
prisoners	0.4462870657444			
detained	0.44335824251174927			
shaikh	0.4420453906059265			
tortured	0.44090160727500916			
prisonersofwar	0.440673828125			
interrogator	0.4405118525028229			
mistreatment	0.44039613008499146			
inhumane	0.4379775822162628			
kidnappers	0.4363735020160675			
terroristsand	0.4354759752750397			
prisoner	0.43229904770851135			
custody	0.42858830094337463			
nadiya	0.4271126687526703			
hamdi	0.4262245297431946			
videotaping	0.4261329174041748			
escapees	0.4258001446723938			
combatantsthe	0.42497095465660095			
gulags	0.4237532615661621			
internees	0.4230205714702606			
ghraib	0.4225504696369171			
intemment	0.42114073038101196			
guantanamoand	0.41897207498550415			
noncombatants	0.41886866092681885			
cias	0.4169614315032959			
yunis	0.41405731439590454			
inadmissible	0.41346749663352966			
reeducationthroughlabor	0.41345763206481934			
tortures	0.413003534078598			
jaillike	0.41127151250839233			
preconviction	0.41124284267425537			
suspects	0.4095785617828369			
uyghurs	0.4086548686027527			
quirin	0.40819165110588074			
dangerousness	0.4080035984516144			
insein	0.4079975485801697			
solitary	0.4072765111923218			
tribunals	0.4070918560028076			
counterrevolutionary	0.4060457646846771			
convicts	0.4059987962245941			
trumpedup	0.4048081040382385			
lockups	0.40403616428375244			
gambian	0.4039890766143799			
mistreat	0.4032250642776489			
fazl	0.4030892252922058			
paroled	0.40273287892341614			
internment	0.402138888835907			
drapchi	0.4021178185939789			
