words	score	chen	\dylan	3rd
needy	seedwords			
underrepresented	seedwords			
wounded	seedwords			
underprivileged	seedwords			
disadvantaged	seedwords			
impoverished	seedwords			
underserved	0.6280067563056946			
neediest	0.6198458671569824			
poorest	0.597306489944458			
povertystricken	0.5774338245391846			
marginalized	0.5698633193969727			
lowincome	0.5589785575866699			
vulnerable	0.553931474685669			
destitute	0.5489449501037598			
downtrodden	0.5398837924003601			
hardtoserve	0.5356161594390869			
disenfranchised	0.5353290438652039			
lowachieving	0.5117474794387817			
innercity	0.5107505321502686			
lowerincome	0.4984147548675537			
nonpoor	0.4979570806026459			
poorand	0.49726033210754395			
poor	0.49015188217163086			
limitedenglishproficient	0.489375501871109			
hardtoreach	0.48859190940856934			
taged	0.4857587516307831			
distressed	0.4818347990512848			
elderiy	0.47350478172302246			
indigent	0.4692491292953491			
nonenglishspeaking	0.46918952465057373			
undereducated	0.46895188093185425			
educationally	0.46862897276878357			
elderly	0.4679214358329773			
atrisk	0.4645342230796814			
childrenthose	0.46026861667633057			
foodinsecure	0.45876988768577576			
dispossessed	0.45456403493881226			
vulnerableour	0.4543175995349884			
lowestincome	0.4542976915836334			
hardesthit	0.45199838280677795			
handicapped	0.45028620958328247			
overrepresented	0.44759058952331543			
unserved	0.44489026069641113			
affluent	0.4444293975830078			
chronically	0.44420599937438965			
disasterstricken	0.44410181045532227			
homeless	0.44401681423187256			
malnourished	0.4433727264404297			
disabled	0.4418279230594635			
advantaged	0.44015616178512573			
lowncome	0.4360778331756592			
underimmunized	0.4345962703227997			
highpoverty	0.4333779215812683			
spanishspeaking	0.4328908324241638			
hardtoemploy	0.4285183846950531			
hardtocount	0.425834059715271			
hardesttoserve	0.4189049303531647			
lep	0.41579943895339966			
hungry	0.41488972306251526			
undernourished	0.41385772824287415			
oppressed	0.41377925872802734			
uplift	0.41372013092041016			
poorthe	0.4067215919494629			
costburdened	0.40528184175491333			
disadvan	0.4031968116760254			
socioeconomically	0.40189194679260254			
infirm	0.4014936685562134			
highability	0.397416353225708			
mostvulnerable	0.39632102847099304			
collegebound	0.396138072013855			
infirmed	0.39560315012931824			
disaffected	0.39546293020248413			
nativeamerican	0.3942717909812927			
moderateincome	0.3919104337692261			
nonminority	0.39161020517349243			
welloff	0.390520304441452			
undercounted	0.3899063766002655			
nearpoor	0.38809895515441895			
highneed	0.3870154619216919			
neglected	0.38547736406326294			
singlemother	0.38472455739974976			
developmentally	0.3844072222709656			
uneducated	0.38294917345046997			
hurricaneaffected	0.3826126754283905			
noncollegebound	0.3821810483932495			
preyed	0.3815666437149048			
underinsured	0.38095661997795105			
hopwa	0.38077491521835327			
womenparticularly	0.3806825876235962			
theelderly	0.37938833236694336			
needier	0.3783908486366272			
schoolsparticularly	0.3782474398612976			
outofschool	0.37798020243644714			
poorer	0.3779265284538269			
underdeveloped	0.377372682094574			
predominately	0.37733373045921326			
communitiesto	0.37616023421287537			
highcrime	0.3753649592399597			
childrenthe	0.3743368685245514			
displaced	0.3738906979560852			
sickest	0.37267863750457764			
nonenglish	0.37201476097106934			
vulnerablethe	0.371259480714798			
afrolatino	0.3704335689544678			
childrenin	0.3699963092803955			
homebound	0.36918413639068604			
