words	score	chen	\dylan	3rd
tsunami	seedwords			
floods	seedwords			
evacuation	seedwords			
tornado	seedwords			
wildfires	seedwords			
fatalities	seedwords			
hurricane	seedwords			
earthquake	seedwords			
storms	seedwords			
katrina	seedwords			
disaster	seedwords			
flood	seedwords			
tornadoes	0.7063071727752686			
earthquakes	0.702058732509613			
tornados	0.6905471086502075			
mudslides	0.6893395185470581			
hurricanes	0.6884312629699707			
flooding	0.6884120106697083			
superstorm	0.6563299894332886			
quake	0.6396916508674622			
iniki	0.6375849843025208			
katrinas	0.6274187564849854			
disasters	0.6159944534301758			
thunderstorms	0.6146609783172607			
blizzards	0.609528660774231			
tsunamis	0.6057072281837463			
typhoon	0.6045879125595093			
windstorms	0.6004062294960022			
cyclone	0.5962214469909668			
storm	0.5946222543716431			
rainstorms	0.5939040184020996			
torrential	0.5898492336273193			
typhoons	0.5873205065727234			
haiyan	0.5812605619430542			
supertyphoon	0.5786178112030029			
snowstorms	0.5778887271881104			
fires	0.5747179985046387			
landslides	0.571454644203186			
floodwaters	0.5630694031715393			
mudslide	0.5630013942718506			
devastation	0.5589196085929871			
wildfire	0.5587008595466614			
landfall	0.5559496283531189			
nargis	0.5553790330886841			
catastrophes	0.5496403574943542			
quakes	0.5400458574295044			
superstorms	0.5376921892166138			
sidr	0.532503604888916			
avalanches	0.5318740606307983			
drought	0.5312832593917847			
hailstorms	0.5309208631515503			
paka	0.5283856987953186			
droughts	0.5259217619895935			
eruption	0.525051474571228			
aftershocks	0.5247700214385986			
inikis	0.5213886499404907			
gustav	0.5186743140220642			
prieta	0.5181295871734619			
pongsona	0.5133846402168274			
katrinalike	0.5127580165863037			
oilspills	0.5120648145675659			
northeaster	0.5106390714645386			
spill	0.5065005421638489			
oilspill	0.5055038332939148			
cyclones	0.5055001974105835			
ricane	0.5044094324111938			
weatherrelated	0.5024373531341553			
evacuations	0.5011281967163086			
noreasters	0.500863254070282			
rainfalls	0.49927768111228943			
thousandyear	0.4956939220428467			
floodingand	0.4943389296531677			
rainstorm	0.49222612380981445			
northridge	0.490698903799057			
blowdown	0.4872870445251465			
katrinathe	0.4870242774486542			
catastrophe	0.4854399561882019			
thunderstorm	0.4843895733356476			
noreaster	0.4832618832588196			
katrinaand	0.4824160039424896			
joplin	0.4767889976501465			
katrinaaffected	0.47644516825675964			
eruptions	0.4750218093395233			
inundation	0.47495296597480774			
snowstorm	0.47400805354118347			
rains	0.47369807958602905			
famines	0.4736780822277069			
calamities	0.47329553961753845			
floodrelated	0.4720258116722107			
gujarat	0.4699735939502716			
levees	0.46818989515304565			
katrinabut	0.4655330181121826			
rainfall	0.4619438648223877			
blazes	0.46163487434387207			
hurrican	0.4602855443954468			
debris	0.45909231901168823			
blizzard	0.45886456966400146			
inikl	0.4539841413497925			
monsoon	0.4526004195213318			
infernos	0.45165717601776123			
calamity	0.45165354013442993			
floodstricken	0.4506513476371765			
outbreak	0.450000524520874			
derailment	0.4497922658920288			
evacuee	0.4465014338493347			
tragedy	0.4445033073425293			
harvey	0.4430137574672699			
mileanhour	0.4422988295555115			
irma	0.44215500354766846			
volcano	0.4402362108230591			
downpour	0.43792858719825745			
hurricanerelated	0.4377463459968567			
