words	score	chen	\dylan	3rd
fairness	seedwords			
nondiscrimination	seedwords			
orientation	seedwords			
race	seedwords			
africanamericans	seedwords			
intolerance	seedwords			
discrimination	seedwords			
antidiscrimination	seedwords			
prejudice	seedwords			
disparities	seedwords			
sex	seedwords			
gender	seedwords			
antisemitism	seedwords			
sexism	0.5777246952056885			
racism	0.5678184628486633			
ethnicity	0.5560939311981201			
racial	0.5545471906661987			
disabilitybased	0.5493572950363159			
invidious	0.5392251014709473			
stereotyping	0.5358439683914185			
discriminated	0.5309401154518127			
sexbased	0.5259476900100708			
norming	0.5200504064559937			
racebased	0.5143716335296631			
genderbased	0.509252667427063			
homophobia	0.5085681080818176			
discriminatory	0.5076125860214233			
caste	0.5003516674041748			
asianamericans	0.4952213168144226			
equality	0.49333831667900085			
stereotypes	0.4929710030555725			
inequalities	0.4895043969154358			
enda	0.48857808113098145			
racially	0.48248744010925293			
disenfranchisement	0.480588436126709			
injustices	0.47413164377212524			
nicity	0.4712669849395752			
profiling	0.46916747093200684			
antiage	0.46818721294403076			
harassment	0.4676286578178406			
discriminating	0.465705007314682			
sexes	0.4639689326286316			
discriminationthat	0.4614980220794678			
colorblind	0.4584812521934509			
nonconformists	0.4573040306568146			
bias	0.4568738341331482			
discriminations	0.45645758509635925			
harrassment	0.45520690083503723			
hatred	0.4481212794780731			
discriminationthe	0.44731050729751587			
bigotry	0.4467189311981201			
biases	0.44574087858200073			
redlining	0.4448511600494385			
prejudices	0.4441448450088501			
discriminationand	0.4439845681190491			
separatism	0.442634254693985			
americansregardless	0.4393104910850525			
islamophobia	0.43864232301712036			
lesbians	0.43637943267822266			
disparties	0.4344102144241333			
homosexuals	0.4338122606277466			
crimination	0.4328930377960205			
genders	0.43271946907043457			
disparity	0.4306061267852783			
sexuality	0.42950060963630676			
masculine	0.4290582239627838			
unequal	0.42896905541419983			
overrepresentation	0.4270281195640564			
intolerant	0.4269828796386719			
antimuslim	0.42690926790237427			
underrepresentation	0.4264758229255676			
inequities	0.4260944426059723			
gerrymanders	0.4257422089576721			
antiblack	0.4253624677658081			
injustice	0.42521268129348755			
segregation	0.4237282872200012			
discriminationdiscrimination	0.42367881536483765			
religion	0.42148298025131226			
hispanicamericans	0.4196561574935913			
homosexuality	0.418448269367218			
xenophobia	0.41579264402389526			
antiadoption	0.41549450159072876			
inequality	0.4097997546195984			
lgbt	0.40979066491127014			
narrowmindedness	0.40937936305999756			
slur	0.40915462374687195			
animus	0.4081592559814453			
minorities	0.40739646553993225			
discriminate	0.4072798490524292			
selfpreference	0.4054509997367859			
religiousbased	0.4045412242412567			
respecter	0.4044571816921234			
sexualorientation	0.40304532647132874			
eugenics	0.4028281569480896			
antiasian	0.4025527834892273			
abolitionism	0.40244463086128235			
slurs	0.39995065331459045			
polygamy	0.39942389726638794			
hate	0.39766478538513184			
arabamericans	0.3974132239818573			
stereotyped	0.39735525846481323			
colorand	0.39609721302986145			
lgbtq	0.39585620164871216			
genderneutral	0.39414137601852417			
unfairness	0.39348623156547546			
antireligious	0.39229485392570496			
gays	0.3909224271774292			
invidiously	0.39080315828323364			
discriminationi	0.39009350538253784			
fgm	0.38907718658447266			
raceethnicity	0.3887779414653778			
antijewish	0.38867470622062683			
genderblind	0.38770878314971924			
