words	score	chen	\dylan	3rd
ebola	seedwords			
disease	seedwords			
huntingtons	seedwords			
malaria	seedwords			
parkinsons	seedwords			
immunodeficiency	seedwords			
polio	seedwords			
cancer	seedwords			
alzheimers	seedwords			
inflammatory	seedwords			
infection	seedwords			
virus	seedwords			
hemorrhagic	0.6749150156974792			
meningitis	0.6674097776412964			
diseasea	0.6657456159591675			
encephalitis	0.6594192981719971			
tuberculosis	0.647708535194397			
scleroderma	0.6426899433135986			
mrsa	0.6358246207237244			
cutaneous	0.6357690691947937			
multidrugresistant	0.6348288059234619			
antibioticresistant	0.6343550682067871			
hivaids	0.6341338157653809			
sarcoidosis	0.6329134106636047			
alzhelmers	0.6290395259857178			
melanoma	0.6287705898284912			
tb	0.628504753112793			
periodontal	0.6255123019218445			
drugresistant	0.6254041194915771			
hantavirus	0.6229068636894226			
diarrheal	0.6217411756515503			
venereal	0.617031455039978			
pkd	0.6160945296287537			
ipf	0.6154319643974304			
neuromuscular	0.6137527227401733			
untreatable	0.6130173206329346			
leprosy	0.6129451990127563			
infections	0.6126798391342163			
guillainbarre	0.6110825538635254			
herpes	0.6097695231437683			
gonorrhea	0.6086496114730835			
filariasis	0.6084040403366089			
typhoid	0.6055738925933838			
hepatitis	0.6049861907958984			
chlamydia	0.6047382950782776			
fungal	0.6039388179779053			
cancera	0.6015978455543518			
pigmentosa	0.5996876955032349			
psoriasis	0.5994545221328735			
bacterium	0.598731517791748			
sarcoma	0.5979859828948975			
incurable	0.5978213548660278			
cystitis	0.5959871411323547			
scabies	0.5953958034515381			
diseases	0.5943989157676697			
kaposis	0.593737006187439			
xdrtb	0.5935860276222229			
staph	0.592519998550415			
afflictions	0.5879481434822083			
rheumatic	0.5875442624092102			
retinitis	0.5875140428543091			
staphylococcus	0.5867183208465576			
lupus	0.5865402221679688			
carcinoma	0.5865032076835632			
scd	0.5859870910644531			
transmissible	0.5859718322753906			
hodgkins	0.5858607888221741			
aureus	0.5846327543258667			
dysentery	0.58448326587677			
dvt	0.5837441086769104			
diarrhea	0.5834383964538574			
measles	0.5829517841339111			
curable	0.5826681852340698			
dengue	0.5821770429611206			
methicillinresistant	0.5815433263778687			
viral	0.5797861814498901			
bacterial	0.5792832374572754			
copd	0.5784398317337036			
multidrug	0.5768841505050659			
illnesses	0.5765583515167236			
cerebrovascular	0.5743035078048706			
lymphatic	0.5735158920288086			
mdrtb	0.5727137327194214			
hpv	0.5724104046821594			
glaucoma	0.5722192525863647			
bowel	0.5720555186271667			
diseaseand	0.5720001459121704			
cancers	0.5716425180435181			
microbe	0.5695250034332275			
endometriosis	0.569025993347168			
cirrhosis	0.5687969923019409			
nonhodgkins	0.5683450102806091			
pneumonia	0.5681900978088379			
influenza	0.5676454305648804			
tickborne	0.5674015283584595			
duchennes	0.5659536719322205			
bacteria	0.5653914213180542			
porphyria	0.5646841526031494			
ulcerative	0.564485490322113			
pertussis	0.5644084811210632			
inflammation	0.5635567903518677			
degenerative	0.5632456541061401			
cholera	0.5619683265686035			
malady	0.5617821216583252			
bloodrelated	0.5611417293548584			
ailment	0.5611354112625122			
syphilis	0.5611182451248169			
paralytic	0.5560183525085449			
duchenne	0.5560035705566406			
botulism	0.5558077096939087			
hemophilia	0.5543153285980225			
germs	0.5523934364318848			
