words	score	chen	\dylan	3rd
growth	seedwords			
economy	seedwords			
recession	seedwords			
depression	seedwords			
bailout	seedwords			
economic	seedwords			
slump	0.5638365745544434			
contraction	0.5295038819313049			
upturn	0.526770830154419			
recessions	0.5220824480056763			
rebound	0.5186746120452881			
downturn	0.5081530809402466			
stagflation	0.49895378947257996			
slowdown	0.49451136589050293			
economys	0.4831075072288513			
stagnation	0.4763891100883484			
economyand	0.4737389087677002			
depressionand	0.47336190938949585			
boom	0.46726474165916443			
deflation	0.4554597735404968			
anemic	0.45411714911460876			
dislocations	0.45232951641082764			
economies	0.4454488754272461			
downturns	0.44251471757888794			
doldrums	0.4339200556278229			
sluggish	0.4335970878601074			
declinein	0.4323309063911438			
dislocation	0.42968031764030457			
stimulus	0.427157461643219			
economyis	0.4247654378414154			
spurt	0.420928418636322			
economythe	0.42090606689453125			
gdp	0.4203822612762451			
malaise	0.4199301302433014			
depressionthe	0.41904085874557495			
depressions	0.41686952114105225			
recessionand	0.4163017272949219			
bankruptcies	0.41512128710746765			
headwinds	0.4129861295223236			
bailouts	0.41113215684890747			
upswing	0.4106636047363281			
meltdown	0.41015616059303284			
retrenchment	0.4092087745666504			
shrinkage	0.408827543258667			
prosperity	0.40867969393730164			
growththat	0.4053136110305786			
deficits	0.4044392704963684			
growthand	0.4038243293762207			
theeconomy	0.40360918641090393			
recessionary	0.40164071321487427			
economythat	0.39983242750167847			
economio	0.39935237169265747			
bubble	0.39838138222694397			
turbulence	0.3983200788497925			
dotcorn	0.3954305648803711			
surpluses	0.39400506019592285			
booming	0.39353206753730774			
productivity	0.3928947448730469			
recessionthe	0.39085206389427185			
growthin	0.3878663182258606			
recessiona	0.3876252770423889			
dotcoin	0.3876080811023712			
faltering	0.386932909488678			
trillion	0.3845323324203491			
stagnant	0.38284093141555786			
euphoria	0.3823503255844116			
deflationary	0.38134485483169556			
doubledip	0.38122421503067017			
upheavals	0.3804357647895813			
slowest	0.38040995597839355			
turmoil	0.3792874217033386			
jobs	0.3786449730396271			
economyan	0.37805911898612976			
layoffs	0.37726515531539917			
resurgence	0.3771980404853821			
growthbut	0.37703683972358704			
downswings	0.37672701478004456			
overcapacity	0.37639302015304565			
bottoming	0.3758634328842163			
stagnating	0.3754238486289978			
nonrecovery	0.3753073215484619			
economyin	0.3747901916503906			
dotcom	0.37428075075149536			
unemployment	0.3721386790275574			
overproduction	0.37119531631469727			
recoveries	0.3701891005039215			
slowdowns	0.36994272470474243			
wages	0.3696586489677429			
rebounding	0.36893221735954285			
inflation	0.36816686391830444			
deregulation	0.3678339123725891			
crunch	0.36638981103897095			
investment	0.366155207157135			
slumping	0.36544740200042725			
freefall	0.3643665611743927			
gains	0.3636336326599121			
growththe	0.3628796339035034			
upheaval	0.3619678020477295			
globalization	0.3619658946990967			
prospering	0.36185455322265625			
stagnate	0.3614416718482971			
bottomed	0.3613889217376709			
devaluations	0.36122560501098633			
shakeout	0.3599913716316223			
contractions	0.3598109781742096			
outmigration	0.3595476746559143			
