words	score	chen	\dylan	3rd
scholarships	seedwords			
students	seedwords			
schools	seedwords			
college	seedwords			
campuses	seedwords			
undergraduate	seedwords			
graduation	seedwords			
education	seedwords			
curriculum	seedwords			
teacher	seedwords			
classroom	seedwords			
school	0.6070516109466553			
graduatelevel	0.583965539932251			
undergraduates	0.5778674483299255			
curricula	0.575435996055603			
coursework	0.5701422095298767			
highschool	0.567945122718811			
agrnomo	0.5672620534896851			
collegelevel	0.5621109008789062			
precollege	0.5619000196456909			
teaching	0.5555648803710938			
kindergarten	0.553575336933136			
studentsand	0.5481510758399963			
curriculums	0.5399422645568848			
baccalaureate	0.5366907119750977			
brescia	0.532991886138916			
middleschool	0.5301938056945801			
pupils	0.5271481275558472			
thgrade	0.5246783494949341			
premed	0.5235682725906372			
collegebound	0.5224618315696716			
kstate	0.5210164785385132			
semesters	0.5192736387252808			
academic	0.5117487907409668			
csu	0.5102355480194092			
preengineering	0.5092833042144775			
dorms	0.508866548538208			
electives	0.5075667500495911			
marylhurst	0.5068405270576477			
ucsb	0.5050548911094666			
grad	0.5034682750701904			
collegepreparatory	0.503089189529419			
schooling	0.5023046731948853			
telecourses	0.5016926527023315			
collegethe	0.5016242265701294			
vocationaltechnical	0.5011236667633057			
votech	0.49941781163215637			
hbcu	0.4982360601425171			
universitylevel	0.4981265068054199			
tutors	0.4947889447212219			
tutoring	0.49398961663246155			
servicelearning	0.49327874183654785			
collegei	0.4929763674736023			
ntid	0.4926352798938751			
salesianum	0.49115943908691406			
fifthgrade	0.4902054965496063			
pelleligible	0.49019497632980347			
undergrad	0.48976483941078186			
prep	0.48961424827575684			
majors	0.48940974473953247			
csuglobal	0.4864552319049835			
unm	0.48630353808403015			
colleges	0.4840160310268402			
matriculation	0.483257919549942			
degreeseeking	0.4823884963989258			
sanfordbrown	0.48225486278533936			
algebra	0.48221543431282043			
inschool	0.4820973575115204			
nysp	0.4815070927143097			
courses	0.48060521483421326			
babson	0.4804365634918213			
semester	0.4798441529273987			
eighthgrade	0.4796763062477112			
tuitionfree	0.4786392152309418			
careerready	0.475715696811676			
hcbus	0.4756382703781128			
traineeship	0.47487759590148926			
herzing	0.4746759831905365			
student	0.474623441696167			
classes	0.4725513756275177			
geds	0.4719487130641937			
collegenow	0.4718063473701477			
preschool	0.47064369916915894			
instructional	0.4691409468650818			
learning	0.46912190318107605			
fellowships	0.4686191976070404			
teachers	0.46652424335479736			
kthrough	0.46605968475341797			
curricular	0.46573179960250854			
teachertraining	0.4652276635169983			
juilliard	0.4647795557975769			
psu	0.46341532468795776			
mathematics	0.4630379378795624			
internships	0.461681604385376			
instruction	0.4616480767726898			
leaming	0.46111956238746643			
collegesand	0.46102428436279297			
educational	0.4604792594909668			
doctoral	0.4600270986557007			
sixthgrade	0.45884406566619873			
secondyear	0.45881372690200806			
studentsto	0.4586085081100464			
anthropology	0.45839637517929077			
campuswide	0.4578469395637512			
oncampus	0.45747315883636475			
faculty	0.45737892389297485			
coeducational	0.45619839429855347			
tutor	0.4536897540092468			
experiential	0.4535145163536072			
posthigh	0.45339149236679077			
stemrelated	0.4527395963668823			
