words	score	chen	\dylan	3rd
ozone	seedwords			
carbon	seedwords			
spills	seedwords			
environment	seedwords			
conserving	seedwords			
emissions	seedwords			
pollutant	seedwords			
pollution	seedwords			
pollutants	0.74152672290802			
emission	0.6562023162841797			
smog	0.6370042562484741			
nox	0.6258442401885986			
pollutions	0.6212624311447144			
loadings	0.6207026243209839			
toxics	0.6168299913406372			
particulates	0.6160638332366943			
nitrogen	0.6032524108886719			
emissionsthat	0.5978648662567139			
carbons	0.5958384275436401			
oxides	0.5935378670692444			
gases	0.5682181119918823			
phosphorus	0.5625328421592712			
chlorofluorocarbons	0.5621281862258911			
emitting	0.5571913123130798			
vocs	0.5557355880737305			
emitted	0.5555974245071411			
chloride	0.553227424621582			
methane	0.5515779256820679			
smogforming	0.5459790825843811			
dioxide	0.5448055863380432			
hydrocarbons	0.54471755027771			
soot	0.5444005131721497			
benzene	0.5389896631240845			
pahs	0.5355367660522461			
polluting	0.5325377583503723			
mercury	0.5323927998542786			
sequestering	0.5318690538406372			
sedimentation	0.5314680337905884			
nitrates	0.5304132699966431			
hfcs	0.5286037921905518			
gasses	0.5278253555297852			
toxicants	0.5275689959526062			
plumes	0.5255964994430542			
nitrous	0.5240886211395264			
sulfur	0.5234247446060181			
particulate	0.5228984355926514			
chloroform	0.5218398571014404			
dirtier	0.5206280946731567			
sulfates	0.5194079279899597			
effluent	0.5170470476150513			
smokestack	0.5164955854415894			
contaminants	0.5161299705505371			
upwind	0.5157376527786255			
vapors	0.514211118221283			
ozoneforming	0.5137947201728821			
groundlevel	0.5137208700180054			
contaminant	0.5135863423347473			
tetrachloride	0.5121195316314697			
oilspills	0.5105247497558594			
leaching	0.5084521174430847			
chlorine	0.5074937343597412			
tailpipe	0.5069388151168823			
radioactivity	0.5055856704711914			
effluents	0.5050312280654907			
ghg	0.5041284561157227			
pollutionand	0.5036669969558716			
climatechanging	0.5018252730369568			
sediment	0.501024603843689			
ozonedepleting	0.5003411769866943			
pollutionthat	0.499755322933197			
tailpipes	0.49900656938552856			
nitric	0.49799424409866333			
pollutes	0.4971525967121124			
hydrofluorocarbons	0.4958438277244568			
evaporative	0.4956344664096832			
emit	0.49365460872650146			
toxins	0.4935266673564911			
csos	0.4929814338684082			
microorganism	0.4909917712211609			
disinfection	0.4893842339515686			
aerosols	0.48661085963249207			
salinity	0.4862291216850281			
olefins	0.48478758335113525			
pointsource	0.4841492176055908			
sulfide	0.48314911127090454			
chemicals	0.4817543029785156			
contaminates	0.48171353340148926			
cfcs	0.48157230019569397			
gigatons	0.4806371331214905			
algae	0.4789292812347412			
contamination	0.4782909154891968			
anthropogenic	0.4777935743331909			
bioaccumulate	0.47745877504348755			
arsenic	0.4765505790710449			
refrigerants	0.47541165351867676			
stratospheric	0.47539788484573364			
contaminating	0.4752618074417114			
selenium	0.4750179946422577			
smokestacks	0.47484639286994934			
aromatics	0.4738697111606598			
turbidity	0.47351914644241333			
catalytic	0.4734818637371063			
ozonecausing	0.4730788469314575			
monoxide	0.47055530548095703			
belching	0.4703826606273651			
pfiesteria	0.47029930353164673			
heattrapping	0.4699541926383972			
pcb	0.469707190990448			
