words	score	chen	\dylan	3rd
marriage	seedwords			
grandparents	seedwords			
family	seedwords			
unmarried	seedwords			
fathers	seedwords			
especially	seedwords			
fide	seedwords			
mother	seedwords			
guardian	seedwords			
divorced	seedwords			
fatherhood	seedwords			
spouse	seedwords			
divorce	seedwords			
widowers	seedwords			
widowed	0.6267037987709045			
sibling	0.6086838245391846			
remarried	0.5785332322120667			
exhusband	0.5690492391586304			
cohabiting	0.560677170753479			
stepparent	0.5469551086425781			
malinda	0.5308835506439209			
triplets	0.5308746099472046			
parents	0.5289742946624756			
siblings	0.5225775837898254			
stayathome	0.5224416255950928			
janina	0.5212224721908569			
estranged	0.5203788876533508			
cohabitating	0.518569827079773			
singleincome	0.5180970430374146			
husbands	0.5149813294410706			
widow	0.5119212865829468			
singleparent	0.5089317560195923			
unwed	0.5081337690353394			
marital	0.5006547570228577			
remarry	0.5003420114517212			
homemaker	0.5003207921981812			
breadwinner	0.4997645318508148			
exwife	0.4962325394153595			
fathering	0.49556654691696167			
twoparent	0.49395453929901123			
inlaws	0.4938131272792816			
oppositesex	0.4911358058452606			
workathome	0.48965737223625183			
daughter	0.4890863001346588			
couples	0.4882637560367584			
parentsand	0.4859214127063751			
headofhousehold	0.48558682203292847			
uscitizen	0.48465877771377563			
paternal	0.4842623174190521			
predeceased	0.4840691089630127			
marry	0.48398351669311523			
widower	0.48336124420166016			
oneparent	0.48032575845718384			
twocareer	0.4754668176174164			
livein	0.4753042757511139			
fiance	0.4748321771621704			
motherinlaw	0.4746301770210266			
teenaged	0.47258448600769043			
fathered	0.47257688641548157			
spousesand	0.4721405506134033			
predecease	0.4700789749622345			
cohabitation	0.46787774562835693			
fatherless	0.4669581651687622			
greataunt	0.4658573269844055			
couplesand	0.4650808572769165			
wifes	0.463929682970047			
parentthe	0.46370989084243774			
spousal	0.46133318543434143			
divorcees	0.46091991662979126			
stepbrother	0.46064290404319763			
emptynesters	0.45956647396087646			
mothersand	0.45940259099006653			
boyfriends	0.4591466188430786			
jashley	0.4574429988861084			
childa	0.4556159973144531			
niece	0.45555293560028076			
childrentwo	0.4535505771636963			
stepdaughters	0.45335859060287476			
aunt	0.4529595375061035			
eldest	0.4529440104961395			
ferschkes	0.4526546597480774			
dualmilitary	0.4510507583618164			
nonmarried	0.4508746862411499			
deceased	0.4502609968185425			
oneincome	0.4502485990524292			
familial	0.45001208782196045			
widowhood	0.44918859004974365			
exwives	0.4483439326286316			
birthparents	0.4482662081718445			
mikeys	0.44815051555633545			
children	0.44708171486854553			
greatgrandmother	0.4469793438911438			
exspouses	0.44658052921295166			
divorces	0.44618678092956543			
parentsthe	0.44487419724464417			
divorcee	0.444649338722229			
theirkids	0.44452470541000366			
coupleswill	0.44411954283714294			
greatgrandparents	0.44381842017173767			
sweethearts	0.44356411695480347			
familymy	0.4434163570404053			
boyfriend	0.4426766037940979			
nondependent	0.44265449047088623			
marrying	0.4425898492336273			
familymember	0.4421500861644745			
monogamous	0.4405348300933838			
girlfriends	0.44025349617004395			
remarriage	0.44020676612854004			
stepgrandmother	0.439133882522583			
deena	0.43815016746520996			
fatherto	0.43724992871284485			
singleearner	0.4367307722568512			
marriages	0.435798704624176			
dualincome	0.4347726106643677			
