words	score	chen	\dylan	3rd
lobbying	seedwords			
delegation	seedwords			
federal	seedwords			
balance	seedwords			
lobbyists	0.35873883962631226			
lobbyist	0.3549434542655945			
lobbied	0.3259871304035187			
postemployment	0.3229832053184509			
oversight	0.3114170730113983			
lobbies	0.30628615617752075			
regulates	0.30010437965393066			
representational	0.2998262643814087			
parties	0.29835259914398193			
delegations	0.2972366213798523			
offices	0.2971932888031006			
federa	0.2921331524848938			
fedoral	0.2912389934062958			
ethics	0.2877461612224579			
legislature	0.2856558561325073			
lobby	0.28534871339797974			
cowbirds	0.2837250828742981			
regulationseach	0.28295081853866577			
thefederal	0.28189724683761597			
iccae	0.28056490421295166			
earmark	0.27902185916900635			
boughtandpaidfor	0.2758571207523346			
taxpayer	0.2754305601119995			
fedefal	0.27540308237075806			
overspent	0.2714947462081909			
njbias	0.2696681022644043			
shutdownsbut	0.26801443099975586			
eral	0.26753178238868713			
sponsorship	0.2672373652458191			
congressparticularly	0.26704126596450806			
instrumentalities	0.2669117748737335			
pederal	0.26523539423942566			
fara	0.2649649679660797			
duespaying	0.2648633122444153			
threebranch	0.2638992369174957			
requiring	0.2606313228607178			
congress	0.2601446509361267			
campaignrelated	0.2593473792076111			
nongovernment	0.2571953535079956			
procurement	0.2563396692276001			
enact	0.2561686933040619			
goodgovernment	0.25494012236595154			
prohibit	0.25350701808929443			
conflictofinterest	0.2531937062740326			
staffs	0.2527194917201996			
idfa	0.24649499356746674			
paytoplay	0.24615101516246796			
legislators	0.24605116248130798			
preempted	0.24582359194755554			
propakistan	0.2444954365491867			
applicable	0.2438831329345703			
nopec	0.24327415227890015			
departmentnot	0.24274148046970367			
usection	0.24265196919441223			
ederal	0.2423902302980423			
earmarks	0.24196019768714905			
ic	0.2419203519821167			
highlevel	0.2417832911014557			
auditthe	0.241415336728096			
enacts	0.24110734462738037			
branch	0.2409052550792694			
electionrelated	0.2405204176902771			
treasury	0.24023538827896118			
recoups	0.24013233184814453			
congressthose	0.23991383612155914			
cosponsorship	0.23901119828224182			
fedeial	0.2385978102684021			
phrma	0.23796063661575317			
franking	0.23732173442840576			
invalidated	0.23720666766166687			
foreign	0.2368021011352539			
honoraria	0.23656482994556427			
expressly	0.23587262630462646			
drafting	0.23506231606006622			
invalidate	0.23502671718597412			
oversee	0.23466768860816956			
accountability	0.23443084955215454			
regulated	0.23401518166065216			
taxpayerfinanced	0.2337963879108429			
authorityhealth	0.233444482088089			
localizing	0.2334108203649521			
transparency	0.23295044898986816			
approved	0.23274266719818115			
withholds	0.23271146416664124			
gfe	0.23221233487129211			
longarm	0.23211738467216492			
proprostitution	0.23175647854804993			
funneled	0.23170632123947144			
constituentsnot	0.23086337745189667			
thebalance	0.230391725897789			
congresson	0.23034140467643738			
lawmakers	0.23025470972061157			
gaming	0.2302422821521759			
skirted	0.22952084243297577			
astronautthe	0.22859829664230347			
cfpb	0.22842787206172943			
possessionsthe	0.22825157642364502			
lobbyistand	0.22782021760940552			
duespaid	0.22779437899589539			
nonmembers	0.22691960632801056			
