words	score	chen	\dylan	3rd
default	seedwords			
deposits	seedwords			
finance	seedwords			
loans	seedwords			
deposit	seedwords			
mortgage	seedwords			
borrowers	seedwords			
lending	seedwords			
refunding	seedwords			
debt	seedwords			
depository	seedwords			
laundering	seedwords			
refinance	seedwords			
bank	seedwords			
debit	seedwords			
lender	0.6024457216262817			
mortgages	0.5961761474609375			
loan	0.5928326845169067			
lenders	0.5891159176826477			
refinanced	0.5779340863227844			
borrower	0.5705647468566895			
refinancing	0.5702161192893982			
fdicinsured	0.5602603554725647			
defaults	0.5583328008651733			
thrifts	0.5455135107040405			
adjustablerate	0.5400288701057434			
fdic	0.5397310256958008			
refinancings	0.5371463298797607			
debentures	0.5278785228729248			
fhainsured	0.5246049165725708			
fha	0.5221107602119446			
depositors	0.5191901922225952			
loansand	0.5126819610595703			
ffb	0.5085135698318481			
downpayments	0.5064060688018799			
interestbearing	0.50331711769104			
statechartered	0.5032957196235657			
collateralize	0.5024250745773315			
loansthat	0.4974425435066223			
creditworthy	0.49525734782218933			
bif	0.4949360489845276			
hudinsured	0.4925575256347656			
nondepository	0.48734360933303833			
depositor	0.4853862524032593			
securitize	0.4830278158187866			
banks	0.4826698899269104			
governmentguaranteed	0.48163166642189026			
creditors	0.48053309321403503			
borrowing	0.4780513346195221			
gmac	0.47535163164138794			
borrowings	0.4749944806098938			
mortgagor	0.4748884439468384			
securitizing	0.47452911734580994			
interbank	0.47413942217826843			
securitization	0.4733336269855499			
noninterestbearing	0.4732375741004944			
securitized	0.47263771295547485			
gses	0.4714246094226837			
mortgagerelated	0.47129517793655396			
wellcapitalized	0.4707610607147217			
fhas	0.4696285128593445			
nodownpayment	0.4686461091041565			
underwriting	0.465241014957428			
debenture	0.4649611711502075			
loanand	0.4640587568283081			
interestonly	0.4637258052825928			
writedowns	0.46353450417518616			
robosigning	0.4633671045303345			
capitalization	0.4626113474369049			
defaulted	0.4620037376880646			
rals	0.461980402469635			
fico	0.46054643392562866			
creditor	0.46041813492774963			
gse	0.460076242685318			
counterparties	0.45933738350868225			
escrow	0.4590873718261719			
liquidity	0.45903998613357544			
foreclosure	0.45787280797958374			
refinances	0.4573502242565155			
overdraft	0.45641010999679565			
fslic	0.4556500315666199			
delinquencies	0.45521461963653564			
zerointerest	0.4543156921863556			
counterparty	0.4538818597793579			
guaranty	0.45373183488845825			
cardissuing	0.4536353349685669			
gnma	0.45337623357772827			
fixedrate	0.4532647132873535			
financial	0.4530453681945801			
taxpayerguaranteed	0.4518536329269409			
clos	0.45106053352355957			
saif	0.4510542154312134			
loansloans	0.45028072595596313			
refcorp	0.449584424495697			
transactions	0.4494759738445282			
subprime	0.44872918725013733			
fdics	0.44649553298950195			
servicers	0.44491612911224365			
governmentbacked	0.44386351108551025			
tbill	0.4430471956729889			
issuer	0.4427490532398224			
cobank	0.4408039450645447			
highinterest	0.4403914213180542			
amortized	0.4403842091560364			
taxpayerbacked	0.4401995539665222			
nodocument	0.44007813930511475			
indymac	0.43970465660095215			
repayments	0.4390711486339569			
brokerdealer	0.43818801641464233			
mortgagees	0.4381141662597656			
maturities	0.4381050765514374			
tbills	0.4360790252685547			
issuers	0.43475961685180664			
prepayment	0.43375688791275024			
mortgagebacked	0.43317711353302			
