words	score	chen	\dylan	3rd
spending	seedwords			
fiscal	seedwords			
revenue	seedwords			
budget	seedwords			
deficit	seedwords			
budgetary	seedwords			
surpluses	seedwords			
deficits	0.5883418321609497			
onbudget	0.5776457190513611			
outlay	0.5569620132446289			
surplus	0.5302131175994873			
revenues	0.5217980146408081			
outyears	0.5012671947479248			
outlays	0.4939837157726288			
paygo	0.48828649520874023			
budgets	0.47856372594833374			
trillion	0.4747578501701355			
appropriation	0.46810251474380493			
sequester	0.46378791332244873			
sequestration	0.4615737199783325			
funding	0.46081581711769104			
entitlements	0.45768436789512634			
expenditures	0.45244765281677246			
appropriations	0.45153582096099854			
projections	0.4494580626487732			
dficit	0.44901031255722046			
debt	0.44402024149894714			
baseline	0.44343802332878113			
billion	0.44157132506370544			
receipts	0.4407477378845215			
deficita	0.43706828355789185			
budgeting	0.4363345503807068			
billionthe	0.4337645173072815			
surplusthat	0.4322214424610138			
offbudget	0.43037331104278564			
projected	0.4293983280658722			
budgetthe	0.42929524183273315			
payasyougo	0.42914462089538574			
gdp	0.4257540702819824			
scorecard	0.42557740211486816			
overspending	0.4220709204673767			
borrowing	0.41395413875579834			
cbo	0.41289177536964417			
discretionary	0.4126521050930023			
cba	0.4121151566505432			
allocation	0.4089087247848511			
deficite	0.40413767099380493			
nondefense	0.4038355052471161			
offsetting	0.4032280445098877			
trillionand	0.40299177169799805			
offsets	0.39873456954956055			
sequesters	0.39822861552238464			
bba	0.3967905640602112			
cbos	0.3951265215873718			
biennium	0.3949265480041504			
deficitthe	0.39398258924484253			
billionnot	0.39324089884757996			
caps	0.3864407241344452			
inflation	0.38207489252090454			
overspent	0.3813106417655945			
icit	0.3800166845321655			
allocations	0.378223180770874			
fiscally	0.3778182566165924			
carryover	0.37700557708740234			
amounts	0.37530964612960815			
forecast	0.37408560514450073			
deficitby	0.37150850892066956			
entitlement	0.37144970893859863			
spaygo	0.3701534867286682			
deficitthat	0.36990970373153687			
cuts	0.3696310818195343			
gimmicks	0.36948639154434204			
billionwhich	0.36929723620414734			
trillionplus	0.36741840839385986			
billionover	0.36686378717422485			
grh	0.36589914560317993			
gnp	0.3655317425727844			
tax	0.3654214143753052			
spendingand	0.3651125729084015			
billionfrom	0.363901287317276			
unspent	0.3624874949455261			
deficitof	0.36234888434410095			
yearend	0.36112016439437866			
supplementals	0.3605848550796509			
budgeta	0.35973232984542847			
acrosstheboard	0.3597099781036377			
obligational	0.3594541847705841			
deficitin	0.3577129542827606			
budg	0.3571910262107849			
deficitbusting	0.35596150159835815			
trilliona	0.3557635247707367			
totals	0.35529616475105286			
surplusand	0.3551580011844635			
billionand	0.3547211289405823			
fund	0.3537578284740448			
trillionin	0.35300102829933167			
outyear	0.35217222571372986			
carryovers	0.35209423303604126			
fy	0.35161900520324707			
projection	0.3508487343788147			
defict	0.3508340120315552			
rescissions	0.3484971523284912			
aggregate	0.3479377031326294			
chimps	0.3477230668067932			
inflationary	0.3474354147911072			
billiona	0.3459615707397461			
doublecounting	0.3457777500152588			
