words	score	chen	\dylan	3rd
food	seedwords			
dates	seedwords			
dietary	seedwords			
nutrient	seedwords			
fruit	seedwords			
artichokes	seedwords			
beef	seedwords			
vegetable	seedwords			
meat	seedwords			
cereals	0.6897519826889038			
cantaloupe	0.6411781311035156			
pecans	0.639617383480072			
cherries	0.6380375027656555			
papaya	0.6262836456298828			
meats	0.6200247406959534			
foods	0.6170069575309753			
onions	0.611168384552002			
cauliflower	0.6094447374343872			
lettuce	0.6088850498199463			
cranberries	0.6079531311988831			
blueberries	0.6064691543579102			
tomatoes	0.6029406785964966			
eggplant	0.6009531617164612			
vegetables	0.5966900587081909			
strawberries	0.5949090123176575			
cucumbers	0.5946247577667236			
nectarines	0.5905043482780457			
melons	0.5883586406707764			
gluten	0.586732804775238			
tomato	0.5846736431121826			
grape	0.5845986604690552			
pears	0.5834180116653442			
sauces	0.5821202993392944			
avocados	0.5802018642425537			
ruminant	0.5789342522621155			
potatoes	0.5779540538787842			
peaches	0.5777663588523865			
watermelons	0.5777145028114319			
cereal	0.5750091075897217			
spinach	0.5726033449172974			
berries	0.5715744495391846			
venison	0.5707771182060242			
celery	0.570293664932251			
starchy	0.5688294768333435			
kiwifruit	0.5670375823974609			
grapes	0.5666409134864807			
grains	0.5648494958877563			
broccoli	0.5642523765563965			
highprotein	0.5634129643440247			
rapeseed	0.5626933574676514			
grapefruit	0.5625008344650269			
peas	0.5616894364356995			
spices	0.559948742389679			
salads	0.5590498447418213			
ruminants	0.5583211779594421			
pistachios	0.5553573369979858			
garlic	0.5517123937606812			
pasta	0.5514431595802307			
yogurt	0.550645649433136			
asparagus	0.5502279996871948			
papayas	0.5472975969314575			
bran	0.5466904044151306			
pecan	0.546406626701355			
cheeses	0.543209433555603			
farmraised	0.5407383441925049			
unsaturated	0.5403340458869934			
walnuts	0.5388786196708679			
canola	0.5388129949569702			
breads	0.5375071167945862			
avocado	0.537341833114624			
yams	0.5364070534706116			
listeria	0.533202052116394			
nongmo	0.532551646232605			
apricots	0.5319899916648865			
almonds	0.5318231582641602			
pineapples	0.5307732820510864			
soups	0.5305615663528442			
sprouts	0.5302798748016357			
hass	0.5295935869216919			
juice	0.5289266109466553			
prunes	0.5273949503898621			
solotype	0.5273644328117371			
cantaloupes	0.5269357562065125			
granola	0.5267273783683777			
lowfat	0.5257858037948608			
roasted	0.5256873965263367			
limes	0.5255448222160339			
watermelon	0.5255115628242493			
potassium	0.5253874659538269			
usgrown	0.523546576499939			
mangoes	0.5235460996627808			
strawberry	0.5234719514846802			
salmonella	0.5228970646858215			
tasty	0.5224294662475586			
seafood	0.5219272375106812			
legumes	0.5203694105148315			
pineapple	0.520348072052002			
alfalfa	0.5187274813652039			
raisins	0.5178987979888916			
okra	0.5173977613449097			
canned	0.5172946453094482			
macadamia	0.5164405107498169			
fillets	0.5160650014877319			
fatty	0.5149978399276733			
edible	0.5146019458770752			
postharvest	0.5142616033554077			
ketchup	0.5142121315002441			
menus	0.5127769112586975			
americangrown	0.5125036239624023			
