words	score	chen	\dylan	3rd
semiautomatic	seedwords			
munitions	seedwords			
gun	seedwords			
firearm	seedwords			
handguns	0.7435208559036255			
handgun	0.7368698120117188			
firearms	0.6474220752716064			
pistols	0.6404210925102234			
rifles	0.6342302560806274			
militarystyle	0.63376784324646			
shotguns	0.621999204158783			
guns	0.6080670356750488			
highcapacity	0.603506326675415			
machineguns	0.6010980606079102			
semiautomatics	0.5885639190673828			
semiauto	0.5725958347320557			
tecdc	0.5670143961906433			
largecapacity	0.5620903968811035			
silencers	0.5616199970245361			
uzi	0.5586057305335999			
sawedoff	0.5539095401763916			
aks	0.5512617826461792			
copkilling	0.5420448780059814			
ammunition	0.5326032638549805			
silencer	0.5309398770332336			
armorpiercing	0.5250856280326843			
pistol	0.5183372497558594			
cartridges	0.516932487487793			
glock	0.5125083923339844			
weapons	0.5111144781112671			
uzis	0.504462718963623			
gunshop	0.5010841488838196			
weapors	0.4998728632926941			
ammo	0.49595728516578674			
weapon	0.49422311782836914			
fiveseven	0.49129343032836914			
flashbang	0.49009010195732117			
assaultstyle	0.48677873611450195			
carbine	0.4789988398551941			
shotgun	0.47749602794647217			
cartridge	0.4745215177536011			
shooters	0.47360920906066895			
tec	0.47336363792419434			
revolvers	0.47159767150878906			
explosives	0.46999210119247437			
copkiller	0.4691402316093445			
shortbarreled	0.4682175815105438			
brandishing	0.4670868515968323			
millimeter	0.4653110206127167			
ammunitionfeeding	0.46286967396736145			
bayonet	0.4621639847755432			
bullets	0.4583030939102173			
sidearm	0.45667657256126404			
clips	0.45618873834609985			
revolver	0.45597684383392334			
gunsthe	0.45214754343032837			
gunnot	0.45073118805885315			
ferri	0.4494134187698364			
garand	0.44921940565109253			
suppressor	0.44375473260879517			
centerfire	0.4429304003715515			
knives	0.4428962469100952			
reloading	0.4426040053367615			
suppressors	0.44200894236564636			
multipleround	0.44113636016845703			
stun	0.44099706411361694			
submunitions	0.4380134344100952			
bazooka	0.4379063844680786			
safthammer	0.43704190850257874			
gunrelated	0.43383198976516724			
calibers	0.4323248565196991			
rifle	0.43147945404052734			
assaulttype	0.43119823932647705			
projectiles	0.4306364357471466			
weapona	0.43049341440200806			
concealable	0.43038198351860046			
bushmaster	0.42925435304641724			
projectile	0.4259672462940216			
weaponsweapons	0.4258003830909729			
postban	0.4243786334991455			
automatics	0.42422324419021606			
militarygrade	0.4208587408065796			
streetsweeper	0.42066431045532227			
carbines	0.4193870425224304			
assaultweapons	0.41917654871940613			
fabrique	0.4175141751766205			
selfpropelled	0.41677573323249817			
gunowners	0.41670337319374084			
disassembled	0.4153200685977936			
guna	0.4131666123867035			
sniper	0.41286182403564453			
concealed	0.4109703004360199			
mm	0.41085365414619446			
ffls	0.41053202748298645			
rpgs	0.4074733853340149			
sixshooters	0.4067050814628601			
steyr	0.4065004587173462			
threaded	0.4045642614364624			
tecs	0.4045497179031372			
machinegun	0.40374454855918884			
firearma	0.4018956422805786			
bryco	0.40104424953460693			
antitank	0.3995044231414795			
fuzes	0.3994966447353363			
