words	score	chen	\dylan	3rd
dentists	seedwords			
doctor	seedwords			
health	seedwords			
transplant	seedwords			
psychologist	seedwords			
therapists	seedwords			
dialysis	seedwords			
pathology	seedwords			
coronavirus	seedwords			
nurse	seedwords			
clinical	seedwords			
antibiotics	seedwords			
immunosuppressive	seedwords			
vaccination	seedwords			
pandemic	seedwords			
epidemic	seedwords			
oncologists	0.5873606204986572			
neurologist	0.5728700757026672			
speechlanguage	0.5612097382545471			
oncologist	0.5564826726913452			
doxil	0.5525281429290771			
meningitis	0.5502280592918396			
immunology	0.5484134554862976			
ivig	0.5454769134521484			
psychiatric	0.5446711778640747			
methotrexate	0.5425061583518982			
scd	0.540638267993927			
cardiologist	0.5368605852127075			
subspecialists	0.5330748558044434			
ulcer	0.5320146083831787			
glaucoma	0.531349778175354			
azt	0.5313273072242737			
rheumatologists	0.5309090614318848			
endocrinology	0.5288463234901428			
mrsa	0.5244079828262329			
transfusions	0.5239429473876953			
hospitalize	0.5220559239387512			
physician	0.5216397047042847			
antibiotic	0.5211147665977478			
pediatric	0.5199764370918274			
ailment	0.5193450450897217			
intravenous	0.5189815759658813			
lifeprolonging	0.5188474059104919			
globulin	0.518707275390625			
subspecialty	0.5151025056838989			
vaccinations	0.513514518737793			
diabetic	0.5121201872825623			
icu	0.511944055557251			
pertussis	0.5108150243759155			
ophthalmologist	0.510630190372467			
patients	0.5090126991271973			
dentist	0.5073817372322083			
endoscopy	0.5065792798995972			
selfinjectable	0.505928635597229			
penicillin	0.5056154727935791			
physicians	0.5054324865341187			
cardiologists	0.5051995515823364			
hospitalization	0.5043632984161377			
acupuncture	0.5042803883552551			
dermatologist	0.5042777061462402			
infertility	0.5042511224746704			
urologist	0.5035440921783447			
infection	0.5035151243209839			
esrd	0.502410888671875			
jaundice	0.5009615421295166			
endocrinologist	0.5007401704788208			
pediatricians	0.5002618432044983			
therapies	0.5000344514846802			
pneumococcal	0.4993528425693512			
antiretroviral	0.49870145320892334			
pidd	0.49672895669937134			
vaccine	0.49647611379623413			
pathologists	0.4962526559829712			
antiviral	0.4961663484573364			
geriatricians	0.49548453092575073			
officebased	0.4954040050506592			
obstetric	0.49486666917800903			
neurosurgeon	0.493843138217926			
oncology	0.49329718947410583			
misdiagnosed	0.4920128881931305			
tamiflu	0.4915296137332916			
pediatrician	0.4905880093574524			
cardiology	0.49042901396751404			
medication	0.4897395670413971			
inoculations	0.4896738529205322			
antibioticresistant	0.48930710554122925			
immunoglobulin	0.48925888538360596			
neurologists	0.48855090141296387			
colonoscopy	0.48806384205818176			
psychiatrist	0.4878615140914917			
drugresistant	0.48781880736351013			
injectable	0.4877040982246399			
hospitalizations	0.4873722791671753			
crnas	0.4865015149116516			
transplants	0.4862937927246094			
endocrinologists	0.4861069321632385			
angina	0.48560208082199097			
hivinfected	0.4854593873023987			
diagnostic	0.48512786626815796			
medical	0.48467564582824707			
clinicians	0.48464435338974			
internist	0.4840930104255676			
pharmacology	0.48326313495635986			
hivrelated	0.4825679659843445			
hospitalbased	0.4821569323539734			
pharmacologic	0.4816593527793884			
optometrist	0.48141372203826904			
multidrugresistant	0.4810523986816406			
audiologists	0.48040756583213806			
fungal	0.4799680709838867			
medications	0.47984156012535095			
hysterectomy	0.479648232460022			
sepsis	0.4792550504207611			
geriatrician	0.47914010286331177			
cataracts	0.47856611013412476			
audiology	0.47851553559303284			
