words	score	chen	\dylan	3rd
healthcare	seedwords			
tricare	seedwords			
copayment	seedwords			
medicare	seedwords			
medicaid	seedwords			
medicaids	0.5643589496612549			
copayments	0.5616813898086548			
feeforservice	0.5616355538368225			
copays	0.5525659918785095			
medicares	0.5482865571975708			
coverage	0.5481129884719849			
copay	0.5469364523887634			
medicareeligible	0.5374609231948853			
esrd	0.5341876745223999			
schip	0.525653064250946			
hmos	0.5249835252761841			
fehbp	0.5137725472450256			
champus	0.5087903738021851			
outofpocket	0.4980030655860901			
enrollees	0.48906660079956055			
seniors	0.4875335097312927			
deductibles	0.48733511567115784			
coyerage	0.48648250102996826			
care	0.484447717666626			
ivig	0.48322319984436035			
medigap	0.47968167066574097			
aca	0.4788552522659302			
sickest	0.4788379967212677			
coinsurance	0.46736598014831543			
dualeligible	0.4664427638053894			
medicarechoice	0.4617752134799957			
hmo	0.4596495032310486			
medicaideligible	0.4576399326324463			
scrip	0.4532986879348755			
firstdollar	0.45088183879852295			
prescriptions	0.44647201895713806			
medicaidthe	0.4408867359161377			
tenncare	0.4387996196746826			
beneficiaries	0.4385283589363098			
entitlement	0.43565958738327026			
medicarecovered	0.43494904041290283			
fehb	0.43468090891838074			
medicarethe	0.43454480171203613			
bestprice	0.43444326519966125			
prescription	0.4317416548728943			
beneficiarys	0.43139153718948364			
outofnetwork	0.4303751587867737			
acas	0.42869096994400024			
enrollee	0.42800748348236084			
uninsured	0.42725467681884766			
perpatient	0.426574170589447			
reimbursements	0.42517223954200745			
trumpcare	0.42333438992500305			
icaid	0.4220605492591858			
costsharing	0.4220087230205536			
hsas	0.4216204583644867			
employersponsored	0.42097023129463196			
insurance	0.42046841979026794			
grahamkennedy	0.41927778720855713			
nonmedicare	0.41872286796569824			
buyin	0.4181448817253113			
dialysis	0.4180164933204651			
medicarethat	0.41755223274230957			
premiums	0.41649046540260315			
buyinto	0.41609689593315125			
formulary	0.4154103100299835			
managedcare	0.41337424516677856			
doughnut	0.4114154577255249			
msas	0.41131216287612915			
ficiaries	0.40982186794281006			
epsdt	0.4096338450908661			
pointofservice	0.40919941663742065			
champva	0.40738195180892944			
perperson	0.4072648882865906			
nonnetwork	0.40649935603141785			
inpatient	0.40602564811706543			
employerbased	0.40550124645233154			
insurers	0.4052523076534271			
reimbursement	0.40521112084388733			
formularies	0.40448489785194397			
hcfa	0.4017573893070221			
vgli	0.40078216791152954			
health	0.3995397090911865			
telehealth	0.3995266556739807			
capitated	0.398790568113327			
coverages	0.3978426158428192			
innetwork	0.3965908885002136			
venipuncture	0.395890474319458			
giveback	0.39445096254348755			
permonth	0.3942062258720398			
singlepayer	0.39293965697288513			
medicareand	0.392902135848999			
cgm	0.3924703001976013			
ipab	0.39189034700393677			
healthinsurance	0.391287624835968			
obamacare	0.39074280858039856			
eligibles	0.3904658555984497			
drg	0.3901565968990326			
selfadministered	0.38941606879234314			
hsa	0.38937002420425415			
fosamax	0.3890330195426941			
preexisting	0.38821595907211304			
seniorsthe	0.3881293833255768			
chip	0.3877687454223633			
mgib	0.3877168893814087			
