words	score	chen	\dylan	3rd
aeronautics	seedwords			
superconducting	seedwords			
collider	seedwords			
nasa	seedwords			
hightech	seedwords			
ssc	0.639141321182251			
nasas	0.5958083271980286			
supercollider	0.5954318046569824			
nasp	0.5421481132507324			
colliderthe	0.5322226285934448			
superconductor	0.5305188894271851			
colliders	0.5155404210090637			
aeronautic	0.5133454203605652			
colilder	0.5040268301963806			
fermilab	0.4988706707954407			
collder	0.498515248298645			
multichip	0.4968535900115967			
superconductivity	0.49582672119140625			
nsf	0.492073118686676			
subsonic	0.4920048713684082			
cassini	0.49173417687416077			
nanotechnology	0.48928090929985046			
supercomputing	0.4883887469768524			
highenergy	0.4872368574142456			
astronomy	0.4840507507324219			
aeronautical	0.48140010237693787			
spacerelated	0.4727090895175934			
telescope	0.4717458486557007			
tokamak	0.4706204831600189			
nautics	0.4702415466308594			
telescopes	0.46982914209365845			
colider	0.4692811071872711			
cyclotron	0.46581751108169556			
planetary	0.4656696915626526			
colllder	0.4645410180091858			
oollider	0.4643469750881195			
accelerators	0.4623522162437439			
accelerator	0.4611072540283203			
jpl	0.458886981010437			
astrophysics	0.45756617188453674			
robotic	0.4521551728248596			
space	0.4516996145248413			
hadron	0.4515623450279236			
fermi	0.45124509930610657			
aerospacerelated	0.44900888204574585			
darpa	0.4485838711261749			
lasers	0.44856804609298706			
propulsion	0.4466398060321808			
orbiting	0.4439474940299988			
particle	0.44353216886520386			
crafcassini	0.4431929588317871			
gtmhr	0.44036126136779785			
ssto	0.43973416090011597			
constellation	0.43957024812698364			
asrm	0.43897634744644165			
singlestagetoorbit	0.4386165142059326			
spacebased	0.4385177195072174			
spinoffs	0.4382997751235962			
lithography	0.437675803899765			
aerospace	0.4367621839046478			
hightechnology	0.43393856287002563			
seti	0.43389490246772766			
nextgeneration	0.4335363805294037			
milstar	0.42991727590560913			
trp	0.42927756905555725			
atp	0.4274879992008209			
supercomputer	0.42740166187286377			
iss	0.4261035919189453			
earthobserving	0.42525559663772583			
supercomputers	0.4250674247741699			
apollo	0.4246280789375305			
hypersonic	0.4246211349964142			
stationand	0.4240104556083679			
cray	0.42371922731399536			
sscs	0.42329490184783936			
biomedical	0.42161262035369873			
spaceflight	0.4209640920162201			
inspace	0.4190866947174072			
transatmospheric	0.4179920554161072			
composites	0.41703319549560547			
nist	0.4152523875236511			
orbital	0.41469094157218933			
mantended	0.41461920738220215			
instrumentation	0.4144478440284729			
nanoscience	0.4141608476638794			
bion	0.41351941227912903			
sematech	0.41340041160583496			
tiros	0.41333863139152527			
microelectronics	0.41312581300735474			
photonics	0.41165727376937866			
computational	0.41044390201568604			
voyager	0.41037946939468384			
magnetic	0.41030359268188477			
mars	0.4092714786529541			
neutrino	0.4086841940879822			
triana	0.40863120555877686			
tpx	0.4082726538181305			
physicists	0.4079092741012573			
spacecraft	0.4078880846500397			
eos	0.40719926357269287			
defenserelated	0.4070432782173157			
laboratory	0.4064989686012268			
microgravity	0.40404659509658813			
asat	0.4034099578857422			
gallium	0.40180593729019165			
