words	score	chen	\dylan	3rd
safeguard	seedwords			
defense	seedwords			
aliens	seedwords			
dod	seedwords			
dhs	seedwords			
border	seedwords			
homeland	seedwords			
dhss	0.47993165254592896			
tsa	0.4633599817752838			
cbp	0.43403321504592896			
fps	0.41030794382095337			
dods	0.40017440915107727			
cyber	0.391460657119751			
interdict	0.3861370086669922			
vulnerabilities	0.380100816488266			
fense	0.3766144812107086			
defenseis	0.3762897551059723			
tsas	0.37439993023872375			
personnel	0.36957618594169617			
immigration	0.3689122796058655			
hmeland	0.3685320019721985			
missioncritical	0.36507534980773926			
usai	0.36439037322998047			
seaports	0.3641950786113739			
bordersand	0.3626992702484131			
nonsecurity	0.35974371433258057			
ic	0.35838010907173157			
cybersecurity	0.3576630651950836			
pentagon	0.35745903849601746			
biometric	0.35679829120635986			
ofhomeland	0.35490381717681885			
dni	0.3545810580253601			
fencing	0.35410505533218384			
defene	0.35384368896484375			
detainees	0.35202133655548096			
cfats	0.3511500954627991			
reprogramming	0.34953850507736206			
defenses	0.34392404556274414			
agencywide	0.3428826332092285			
usvisit	0.33654558658599854			
governmentwide	0.3365134596824646			
defehse	0.3339013457298279			
entryexit	0.33348119258880615			
thennational	0.332830011844635			
clearance	0.3324565589427948			
departmental	0.3286241292953491			
screeners	0.32796627283096313			
chertoff	0.3275751769542694			
counterdrug	0.3273639678955078			
treasury	0.3267274498939514			
information	0.3266204297542572			
acquisition	0.3257598280906677			
counterintelligence	0.3255693018436432			
counternarcotics	0.324532687664032			
threats	0.3221331238746643			
cyberattacks	0.3216426968574524			
ins	0.32127416133880615			
unauthorized	0.319415807723999			
biographic	0.31813889741897583			
detainee	0.3169112205505371			
hud	0.3159447908401489			
biometrics	0.315446138381958			
defenseto	0.3149264454841614			
fiscal	0.31401094794273376			
counterterrorism	0.31332847476005554			
drones	0.3131592273712158			
defensefor	0.311808317899704			
usdi	0.3107823431491852			
offloads	0.31071966886520386			
procure	0.3105514347553253			
directive	0.31042012572288513			
clearances	0.31004980206489563			
opm	0.3096749782562256			
nonhomeland	0.3090813159942627			
securityrelated	0.3080805540084839			
earlywarning	0.30723845958709717			
sensitive	0.3057595491409302			
additional	0.30519938468933105			
distrigas	0.3049566149711609			
interrogations	0.3047592341899872			
homelandsecurity	0.3044246733188629			
polygraphs	0.3038046061992645			
unaccompanied	0.30344724655151367			
departmentwide	0.3027445673942566			
comsec	0.3024921119213104			
opms	0.3022291958332062			
reedmikulski	0.30216145515441895			
interrogators	0.30206695199012756			
agency	0.3020632863044739			
nondod	0.3018221855163574			
nonsecurityrelated	0.30149656534194946			
inss	0.30024605989456177			
odni	0.297579824924469			
taxpayer	0.2964000403881073			
authorizations	0.296163409948349			
defensethat	0.2958828806877136			
defenserelated	0.2958577275276184			
defenseand	0.2958391308784485			
breaches	0.2957445979118347			
gao	0.2956264615058899			
appropriated	0.2948533296585083			
homelaid	0.2946259379386902			
faa	0.29451698064804077			
require	0.29448968172073364			
defensethe	0.29438504576683044			
procurement	0.29410916566848755			
nnsas	0.2935943007469177			
