words	score	chen	\dylan	3rd
rent	seedwords			
homeowner	seedwords			
homebuyers	seedwords			
housing	seedwords			
homeownership	seedwords			
mortgage	seedwords			
tenants	seedwords			
renters	0.6881861686706543			
homeowners	0.6636112928390503			
singlefamily	0.642830491065979			
mortgages	0.640220046043396			
renter	0.5984386801719666			
mrbfinanced	0.586702823638916			
fhainsured	0.5856866836547852			
owneroccupied	0.5834988951683044			
landlords	0.5788378715515137			
rents	0.5563782453536987			
rental	0.5452886819839478			
foreclosed	0.5449459552764893			
apartments	0.5385946035385132			
refinanced	0.5372850894927979			
sitebuilt	0.5361800193786621			
foreclosure	0.5332987308502197			
tenant	0.5312507152557373			
hudinsured	0.5295313596725464			
fha	0.5258862972259521			
marketrate	0.5221889019012451			
multifamily	0.5211424231529236			
onebedroom	0.5211036205291748			
refinancing	0.512624979019165			
homebuyer	0.5087617635726929			
hecm	0.5085268616676331			
renting	0.5045068264007568			
presold	0.5002157688140869			
hudheld	0.49784159660339355			
twobedroom	0.49567171931266785			
hudassisted	0.4938136637210846			
mrb	0.4929583668708801			
condominium	0.49181443452835083			
downpayments	0.489993691444397			
refinance	0.488813579082489			
borrowers	0.4855624735355377			
refinances	0.48271244764328003			
lender	0.4823535680770874			
condominiums	0.47692248225212097			
threebedroom	0.4745088219642639			
condo	0.47375452518463135			
evicted	0.4729764461517334			
lenders	0.4706488847732544			
pmi	0.4678505063056946			
landlord	0.4665391445159912			
housingthe	0.46616441011428833			
frainsured	0.46506398916244507			
medianpriced	0.46399974822998047			
borrower	0.45855072140693665			
foreclosures	0.45841193199157715			
buyers	0.4559383988380432			
multiunit	0.4539368748664856			
dwelling	0.4536573886871338			
overincome	0.4530807435512543			
mortgagor	0.4517536461353302			
eviction	0.4506046175956726			
weatherize	0.45047837495803833			
evictions	0.4487164616584778			
vaguaranteed	0.44384488463401794			
fixedrate	0.44090649485588074			
dwellings	0.43956953287124634			
evicting	0.439454048871994			
gnma	0.43835747241973877			
refinancings	0.4357760548591614			
hudsubsidized	0.43557265400886536			
housingis	0.4312927722930908			
homebuilders	0.4301799535751343			
adjustablerate	0.42997515201568604			
vabacked	0.426763117313385			
prefirm	0.42602449655532837			
mortgagee	0.4244334101676941			
fhaguaranteed	0.4242672920227051			
firsttime	0.4233356714248657			
apartment	0.42293986678123474			
lihprha	0.4217965602874756			
projectbased	0.4206908047199249			
abovemarket	0.42062413692474365			
hudowned	0.4193120300769806			
lessors	0.4143555760383606			
mrbs	0.41280657052993774			
moveup	0.4087212085723877			
rentals	0.40650323033332825			
residences	0.40462273359298706			
repossess	0.4032440483570099			
fhas	0.4029357433319092			
rihmfc	0.40236860513687134			
housinga	0.40205103158950806			
nodownpayment	0.4012192487716675			
duplexes	0.4007786512374878			
sellerfinanced	0.3997424244880676			
servicers	0.3988335132598877			
teaserrate	0.39781612157821655			
aib	0.3970624804496765			
loans	0.3967486321926117			
multihousing	0.3965418040752411			
childcare	0.39636892080307007			
weatherizes	0.396312952041626			
condos	0.39586126804351807			
phas	0.39445027709007263			
mortgageholders	0.39427605271339417			
highcost	0.39426180720329285			
