words	score	chen	\dylan	3rd
refugees	seedwords			
asylum	seedwords			
immigration	seedwords			
aliens	seedwords			
deportation	seedwords			
immigrants	seedwords			
nonimmigrant	seedwords			
noncitizens	0.5999671220779419			
nonimmigrants	0.5831764936447144			
migrants	0.580315351486206			
undocumented	0.5775722861289978			
illegals	0.5743396878242493			
immigrations	0.5715025663375854			
visas	0.5504207611083984			
liberians	0.5474212169647217			
immigrant	0.5471330881118774			
deporting	0.5459587574005127			
visa	0.5418318510055542			
deportable	0.5268147587776184			
alien	0.5259414911270142			
immigrate	0.5251073241233826			
asylees	0.5223979949951172			
asylumseekers	0.5171397924423218			
deported	0.5143219232559204			
noncitizen	0.5073076486587524			
haitians	0.5065113306045532			
overstays	0.5044375658035278			
overstay	0.5019657611846924			
immi	0.5007939338684082			
dreamers	0.4960961937904358			
refugee	0.4921378493309021			
otms	0.4919530749320984			
familysponsored	0.4893863797187805			
immigrantswho	0.4885777235031128			
overstayers	0.4842785596847534			
absconders	0.4842377305030823			
aliensand	0.48162364959716797			
foreignborn	0.4814654290676117			
naturalize	0.4811830520629883			
deport	0.4767177700996399			
overstaying	0.4751724600791931			
selfdeportation	0.47494539618492126			
crossers	0.472337931394577			
parolees	0.47170543670654297			
inadmissible	0.47018879652023315			
overstayed	0.4689938426017761			
immigrantsnot	0.4576495587825775			
immigrantsand	0.4572348892688751			
unlawfully	0.4560328423976898			
illegallythey	0.45569825172424316			
uacs	0.4540826976299286			
legally	0.44864410161972046			
hivlnfected	0.44840535521507263			
persecutors	0.44762688875198364			
salvadorans	0.4461953341960907			
deportations	0.44524961709976196			
ille	0.44382238388061523			
immigra	0.4428119957447052			
unaccompanied	0.4426034688949585			
resettling	0.44088804721832275			
imnigration	0.4383586347103119			
illegally	0.437935471534729			
irca	0.4372071623802185			
asylumseeking	0.4370343089103699			
antiimmigrant	0.43504244089126587			
aidsinfected	0.43500664830207825			
usborn	0.433960884809494			
immigrationlegal	0.43301376700401306			
immigrationthe	0.4325007498264313			
immigrationin	0.4312360882759094			
amnestied	0.4306897222995758			
deportees	0.43050098419189453			
daca	0.42896074056625366			
immigrating	0.42716556787490845			
paroled	0.42664867639541626			
immigrantswhich	0.42551854252815247			
hondurans	0.42411500215530396			
immigrantsthe	0.4226926565170288			
immigrantsi	0.42099297046661377			
migration	0.42018112540245056			
detainees	0.41995474696159363			
citizenship	0.4186476469039917			
fleeing	0.41855037212371826			
minors	0.4166911840438843			
tps	0.4165223240852356			
ilegal	0.4144623875617981			
criminals	0.4144028425216675			
indochinese	0.4136829078197479			
greencard	0.41366443037986755			
refugeesand	0.4131512939929962			
stateless	0.4128860831260681			
llegal	0.4116367697715759			
denaturalization	0.41153013706207275			
familybased	0.4114236533641815			
workauthorized	0.41141653060913086			
repatriates	0.41128984093666077			
inadmissibility	0.410169392824173			
naturalized	0.4097941517829895			
paroling	0.40892714262008667			
subprogram	0.4079601764678955			
resettlement	0.40762537717819214			
nationality	0.40744534134864807			
nicaraguans	0.40487146377563477			
employmentbased	0.40467897057533264			
illegalthat	0.40363258123397827			
incarcerates	0.4029160737991333			
immigrantslegal	0.4025982618331909			
