words	score	chen	\dylan	3rd
rubber	seedwords			
bags	seedwords			
pants	seedwords			
fibers	seedwords			
textile	seedwords			
machines	seedwords			
boots	seedwords			
lenses	seedwords			
converter	seedwords			
clothes	seedwords			
industry	seedwords			
fabric	seedwords			
gouging	seedwords			
camera	seedwords			
fiberboard	seedwords			
glass	seedwords			
pigment	seedwords			
toys	seedwords			
knitting	seedwords			
shoes	seedwords			
fabrics	seedwords			
carpets	0.7254926562309265			
trousers	0.7101000547409058			
garments	0.7045376300811768			
ceramic	0.6907320022583008			
sweaters	0.6791980862617493			
vinyl	0.6741594076156616			
polyester	0.6741020083427429			
sweater	0.6636080741882324			
leather	0.6610284447669983			
dryers	0.6589928269386292			
umbrellas	0.6513484120368958			
handbags	0.6502552032470703			
sneakers	0.6478217840194702			
coatings	0.6468424797058105			
shirts	0.6434406042098999			
socks	0.6429570913314819			
bedding	0.6415235996246338			
beads	0.6409496068954468			
dyes	0.6382163763046265			
sew	0.6379565000534058			
porcelain	0.6372147798538208			
coated	0.6355575919151306			
scarves	0.6343629360198975			
soaps	0.6288646459579468			
fiberglass	0.6279488801956177			
ceramics	0.6235218048095703			
mittens	0.6218738555908203			
coating	0.6209543943405151			
bamboo	0.6192991733551025			
sandals	0.6189130544662476			
silverware	0.6178582906723022			
carpeting	0.6165515184402466			
deodorant	0.6150816679000854			
cups	0.6136442422866821			
toothpaste	0.6133618354797363			
wallpaper	0.6128901839256287			
upholstery	0.6124745011329651			
mattresses	0.6096054315567017			
nylon	0.6091727018356323			
resins	0.6083548665046692			
cardigan	0.6066349744796753			
tshirts	0.6033592224121094			
pellets	0.6003803610801697			
resin	0.6001157760620117			
sewn	0.5995357632637024			
handkerchiefs	0.5987188220024109			
perfume	0.5983560681343079			
gloves	0.5977939367294312			
yarn	0.597024142742157			
bracelets	0.596720278263092			
lotions	0.5952397584915161			
dolls	0.5950324535369873			
cashmere	0.5946927070617676			
lotion	0.5935860276222229			
tubing	0.5930946469306946			
overalls	0.5925352573394775			
cardboard	0.5922855138778687			
utensils	0.5910356044769287			
sewing	0.5900959968566895			
cellophane	0.5899325609207153			
flooring	0.5887870788574219			
pillows	0.5877676010131836			
shampoo	0.5872372388839722			
jewelry	0.584365963935852			
gaskets	0.5840542316436768			
corrugated	0.5837377309799194			
detergent	0.5824393033981323			
plywood	0.5819664001464844			
sheeting	0.5806992053985596			
pajamas	0.5785201787948608			
flashlights	0.5781967043876648			
carpet	0.5780109167098999			
fittings	0.5764286518096924			
stitching	0.5754936933517456			
perfumes	0.5754079818725586			
bulky	0.5747889280319214			
monogrammed	0.5741663575172424			
oven	0.5716267228126526			
handmade	0.5713616609573364			
neckties	0.5711081027984619			
sunglasses	0.571049690246582			
footwear	0.5705366134643555			
popcorn	0.5704183578491211			
coils	0.5701765418052673			
cookware	0.5694513320922852			
trays	0.5692415833473206			
wristbands	0.5688964128494263			
polypropylene	0.567918062210083			
shampoos	0.5672621130943298			
chinesemade	0.5655253529548645			
yarns	0.5653451681137085			
canvas	0.5634745359420776			
coveralls	0.5632965564727783			
sawdust	0.562697172164917			
twine	0.5625762939453125			
pigments	0.56224524974823			
dishwashing	0.5613451600074768			
brooms	0.5613237619400024			
remover	0.561160683631897			
longsleeved	0.5604504346847534			
