words	score	chen	\dylan	3rd
transportation	seedwords			
harbors	seedwords			
traffic	seedwords			
roads	seedwords			
infrastructure	seedwords			
bridge	seedwords			
highways	0.6675755977630615			
roadways	0.6571035385131836			
railways	0.591416597366333			
infrastructureroads	0.5829179883003235			
freeways	0.558937668800354			
ports	0.5517228245735168			
interstates	0.5501213073730469			
waterways	0.5483610033988953			
bridges	0.5471264123916626			
roadway	0.53641676902771			
rail	0.5241653919219971			
airports	0.5051913857460022			
waterway	0.5049018263816833			
ferries	0.5002634525299072			
pedestrian	0.4902964234352112			
potholed	0.4899989366531372			
weightlimited	0.4818528890609741			
thoroughfares	0.48182475566864014			
overpasses	0.48107072710990906			
dams	0.48105642199516296			
fourlane	0.4783328175544739			
walkways	0.4769619405269623			
expressways	0.4743422865867615			
pipelines	0.47323811054229736			
intermodal	0.47320622205734253			
congested	0.47004711627960205			
repaving	0.4696069359779358			
barges	0.46918201446533203			
bikeway	0.46737730503082275			
transits	0.4667547345161438			
rails	0.46673107147216797			
freeway	0.46626442670822144			
freight	0.4660724699497223			
transit	0.4660152792930603			
highway	0.464633971452713			
unmaintained	0.46258431673049927			
runways	0.46162641048431396			
seaports	0.4586449861526489			
interchanges	0.4585031270980835			
sewers	0.4580041766166687			
congestion	0.4559788703918457			
skyways	0.4538610577583313			
viaduct	0.4527979791164398			
roadbed	0.4527949094772339			
subways	0.45275479555130005			
lanes	0.4497145414352417			
connectors	0.44942793250083923			
intersections	0.4464353919029236			
multimodal	0.4444989562034607			
culverts	0.4433291554450989			
docks	0.4383600950241089			
corridors	0.43830251693725586			
ramps	0.43724772334098816			
railroads	0.43586593866348267			
arteries	0.4356647729873657			
tunnels	0.43397057056427			
jetties	0.4321918189525604			
infrastructures	0.4312262237071991			
intermodel	0.42984282970428467			
farmtomarket	0.42851680517196655			
dredging	0.42844295501708984			
pavements	0.4284154176712036			
canals	0.4260994791984558			
uncongested	0.4256642460823059			
noninterstate	0.42520856857299805			
infrastructureour	0.424774169921875			
onramps	0.42466670274734497			
tennesseetombigbee	0.4243083596229553			
masstransit	0.4238353371620178			
routes	0.42084819078445435			
nhs	0.42010802030563354			
pavement	0.4196661114692688			
resurfacing	0.4189980626106262			
bikeways	0.4187464714050293			
offsystem	0.4185682535171509			
wastewater	0.41725248098373413			
projectsroads	0.4163573980331421			
milelong	0.4162916839122772			
sewage	0.41481804847717285			
nonmotorized	0.41369181871414185			
transitrelated	0.4125683009624481			
expressway	0.4124422073364258			
infrastructurethe	0.41194984316825867			
thoroughfare	0.41150909662246704			
bisected	0.41047564148902893			
sewer	0.40987923741340637			
highwaysand	0.4090672433376312			
taxiways	0.4073486328125			
impassible	0.4066004157066345			
commuters	0.4055440425872803			
railcars	0.40428605675697327			
ivhs	0.4034501314163208			
drpas	0.4018833637237549			
impassable	0.4017248749732971			
bridgesand	0.40147271752357483			
twolane	0.4013110399246216			
artery	0.3982756435871124			
pedestrians	0.3975484371185303			
potholes	0.3971337080001831			
byways	0.3969377875328064			
