words	score	chen	\dylan	3rd
congo	seedwords			
philippine	seedwords			
korea	seedwords			
croatia	seedwords			
estrada	seedwords			
latvia	seedwords			
ethiopia	seedwords			
ukraine	seedwords			
armistice	seedwords			
honduras	seedwords			
greek	seedwords			
zimbabwe	seedwords			
kashmir	seedwords			
kazakhstan	seedwords			
lithuania	seedwords			
nicaraguan	seedwords			
mongolia	seedwords			
azerbaijan	seedwords			
kosova	seedwords			
venezuela	seedwords			
montenegro	seedwords			
herzegovina	seedwords			
international	seedwords			
minister	seedwords			
bulgaria	seedwords			
armenia	seedwords			
albania	seedwords			
democratically	seedwords			
chavez	seedwords			
cyprus	seedwords			
angola	seedwords			
bosnia	seedwords			
yugoslav	seedwords			
kenya	seedwords			
cesar	seedwords			
sudan	seedwords			
serbia	seedwords			
lebanon	seedwords			
peacekeeping	seedwords			
colombia	seedwords			
moldova	seedwords			
haram	seedwords			
macedonia	seedwords			
timor	seedwords			
somalia	seedwords			
estonia	seedwords			
ninos	seedwords			
belarus	seedwords			
tajikistan	0.6817359924316406			
kosovo	0.6815670132637024			
yugoslavia	0.6715070009231567			
uzbekistan	0.668332576751709			
burundi	0.6665874719619751			
moldavia	0.6512743830680847			
eritrea	0.6501309871673584			
kyrgyzstan	0.6375285387039185			
bosniahercegovina	0.6364529132843018			
liberia	0.6342499256134033			
azeri	0.6321032047271729			
slovenia	0.628270149230957			
zaire	0.6271984577178955			
tunisia	0.625834584236145			
romania	0.6221829652786255			
skopje	0.6211497783660889			
baltics	0.618315577507019			
unita	0.6176527142524719			
guyana	0.6164031028747559			
angolan	0.6131879687309265			
bosniaherzegovina	0.6110321879386902			
croatias	0.6068477630615234			
srpska	0.6034278273582458			
cameroon	0.6020026206970215			
moldovan	0.6018147468566895			
balkans	0.600479781627655			
turkmenistan	0.5939048528671265			
mpla	0.5937327742576599			
mozambique	0.5935482978820801			
aceh	0.59238600730896			
indonesia	0.5921709537506104			
burma	0.5873143672943115			
azerbaijans	0.5858702659606934			
nagornokarabagh	0.5855963230133057			
chechnya	0.5854353904724121			
yugoslavias	0.5851759910583496			
abkhazia	0.5832877159118652			
senegal	0.5829914808273315			
nagornokarabakh	0.5803129076957703			
eritrean	0.5763524174690247			
hungary	0.5758415460586548			
mauritania	0.5706397891044617			
rwanda	0.5703834295272827			
armenias	0.5700230598449707			
congolese	0.5678540468215942			
albanias	0.5675322413444519			
belgrade	0.5673366785049438			
prowestern	0.5672419667243958			
gabon	0.5644511580467224			
nicaragua	0.5639305710792542			
dniester	0.5631600022315979			
moldovas	0.5627065896987915			
divoire	0.5621389746665955			
uzbek	0.5582128763198853			
namibia	0.5579473972320557			
haiti	0.5578182935714722			
yugoslavian	0.5577760934829712			
lithuanias	0.5576786994934082			
nigerian	0.5571181774139404			
slovakia	0.5566672086715698			
cambodia	0.5565438866615295			
separatist	0.5553496479988098			
nogornokarabakh	0.5546332597732544			
vojvodina	0.5528180003166199			
indonesias	0.5526770353317261			
czechoslovakia	0.5524139404296875			
paraguay	0.5522028207778931			
darfur	0.5518796443939209			
mali	0.5511673092842102			
sudanese	0.5509719252586365			
chechen	0.5503143072128296			
uganda	0.5487138628959656			
kyrgyz	0.5480892062187195			
guineabissau	0.547400712966919			
azed	0.5464978218078613			
kosovar	0.5462855100631714			
sovietoccupied	0.545635998249054			
belarusan	0.5451409220695496			
nepal	0.543546199798584			
serbiamontenegro	0.5433231592178345			
karabaghs	0.5433080196380615			
nagorno	0.5433053970336914			
baltic	0.542717695236206			
caucasus	0.5426691770553589			
nigeria	0.5418647527694702			
moroccan	0.540794849395752			
bessarabia	0.5405741930007935			
transdniester	0.540389895439148			
greece	0.5401207208633423			
zambia	0.5396765470504761			
noncommunist	0.5394708514213562			
botswana	0.5393138527870178			
karabagh	0.5389366745948792			
estonian	0.5378375053405762			
lebanons	0.5373547077178955			
multiparty	0.5371474027633667			
transnistria	0.5367962718009949			
donetsk	0.5345710515975952			
dagestan	0.5343508720397949			
myanmar	0.5342788100242615			
