words	score	chen	\dylan	3rd
invent	seedwords			
patents	seedwords			
intellectual	seedwords			
invention	seedwords			
patent	seedwords			
safeharbor	seedwords			
inventor	seedwords			
trademarks	seedwords			
ip	seedwords			
infringe	seedwords			
copyrighted	seedwords			
patented	seedwords			
copyrights	seedwords			
property	seedwords			
copyright	seedwords			
inventions	0.630998432636261			
infringement	0.5847960710525513			
infringers	0.572781503200531			
inventors	0.5689272880554199			
patentees	0.5637674331665039			
patentable	0.5553457140922546			
nonobviousness	0.553146481513977			
patenting	0.5421604514122009			
copying	0.530162513256073			
pirating	0.5244511961936951			
pirated	0.5191974639892578			
patentprotected	0.5173115134239197			
patentholders	0.5108168125152588			
cybersquatting	0.5058927536010742			
trademark	0.5051679015159607			
infringing	0.5007522702217102			
infringer	0.4946691393852234			
firsttoinvent	0.4842832684516907			
patentability	0.4781953692436218			
brandnames	0.47522711753845215			
moorheadschroeder	0.470702201128006			
firsttofile	0.4701375365257263			
patentee	0.46348267793655396			
patentholder	0.4630570709705353			
nonpatentable	0.46287256479263306			
piracy	0.46212834119796753			
anticounterfeiting	0.46137887239456177			
counterfeiting	0.46074122190475464			
creations	0.46007776260375977			
commercializers	0.45978695154190063			
nonobvious	0.4589659571647644			
ipr	0.4585803151130676			
exclusivity	0.4561472535133362			
dmca	0.4543279707431793			
cyberpiracy	0.4541643261909485			
biotechnological	0.4529478847980499			
commercializer	0.45121198892593384			
tradesecret	0.4468243718147278			
commercialize	0.44368284940719604			
megatech	0.44129928946495056			
unpatentable	0.4405165910720825			
infringements	0.4331391751766205			
inducers	0.43227502703666687			
nonpatent	0.4303392171859741			
commercialized	0.43007269501686096			
olestra	0.42893290519714355			
copied	0.428821325302124			
counterfeited	0.4288168251514435			
domain	0.42847827076911926			
songwriters	0.42680811882019043			
innovators	0.421562135219574			
proprietary	0.41930389404296875			
noncopyrightable	0.41851603984832764			
crada	0.41835683584213257			
pto	0.4169269800186157			
businessmethod	0.416360080242157			
camcorded	0.4153119921684265			
filesharing	0.41348570585250854			
webcasting	0.4117617905139923			
noninfringing	0.4116813540458679			
transistor	0.4116032123565674			
oxaprozin	0.41075485944747925			
submarining	0.4092317223548889			
uspto	0.4069054424762726			
commercializing	0.4065069258213043			
hatchwaxman	0.4043407440185547			
massmarket	0.4030846953392029			
nonmining	0.4013992249965668			
massmarketed	0.40038320422172546			
inventing	0.4001424312591553			
pvpa	0.3995997905731201			
pcs	0.3993942141532898			
reproducing	0.3993174731731415			
dilutive	0.3958738148212433			
farnsworths	0.39565277099609375			
recordings	0.39396166801452637			
lisinopril	0.39374861121177673			
cdroms	0.3936946392059326			
counterfeits	0.39220207929611206			
troll	0.3902106285095215			
semiconductor	0.38715633749961853			
brandname	0.3864482641220093			
dilution	0.38369840383529663			
antitrust	0.3834555745124817			
anticybersquatting	0.3829585611820221			
adware	0.38288429379463196			
authentication	0.3812688887119293			
royalties	0.38001373410224915			
recordation	0.37997159361839294			
reproductions	0.379913866519928			
estoppel	0.37990516424179077			
trademarked	0.3794800937175751			
tofile	0.37911897897720337			
patentors	0.3783586621284485			
feesimple	0.3778952360153198			
leahysmith	0.3777918815612793			
cyberpirates	0.3771780729293823			
devicethe	0.3765295445919037			
fastdeveloping	0.37550652027130127			
microchip	0.37502843141555786			
