words	score	chen	\dylan	3rd
syria	seedwords			
iran	seedwords			
libya	seedwords			
ubya	0.565498411655426			
yemen	0.5618785619735718			
syrias	0.5602651834487915			
qadhafi	0.557823657989502			
iranians	0.5516002178192139			
iranian	0.5451020002365112			
irans	0.5384137630462646			
syriathe	0.5363972187042236			
tehran	0.5349602699279785			
houthis	0.5334330797195435			
kurds	0.5263279676437378			
libyan	0.5235838890075684			
khartoum	0.5200150609016418			
syrian	0.5188578367233276			
hezbollahs	0.5164415836334229			
isil	0.5110429525375366			
libyans	0.5020333528518677			
turkey	0.5019385814666748			
bosnia	0.5000590085983276			
assads	0.4985281229019165			
ayatollahs	0.49634337425231934			
libyas	0.49488571286201477			
damascus	0.4917914867401123			
asad	0.49075639247894287			
muammar	0.4905833601951599			
darfur	0.48864036798477173			
assad	0.4877608120441437			
postisis	0.4860331416130066			
saudis	0.485618531703949			
isis	0.48475027084350586			
somalia	0.48462149500846863			
hezbollah	0.4834297299385071			
egypt	0.48244813084602356			
sudan	0.48110342025756836			
qadhafis	0.476220965385437			
militias	0.4753881096839905			
pakistan	0.4751548767089844			
irbil	0.47467780113220215			
hamas	0.4739464521408081			
mujaheddin	0.4733739495277405			
sudanese	0.47280818223953247			
balkans	0.4709133207798004			
rebels	0.46958374977111816			
algeria	0.46748602390289307			
rafsanjani	0.46723827719688416			
iraq	0.46286386251449585			
raqqa	0.46231773495674133			
kosovo	0.461994469165802			
saddams	0.46102678775787354			
mullahs	0.4595622420310974			
soleimani	0.45944976806640625			
terrorsponsoring	0.45880770683288574			
saddam	0.4584600031375885			
russia	0.4579175114631653			
iraqs	0.4570072293281555			
tehrans	0.4547707438468933			
moammar	0.4547450542449951			
kurdish	0.44927525520324707			
alqaida	0.44640007615089417			
aggressions	0.4455062747001648			
talibans	0.4455013871192932			
hizbollah	0.44427844882011414			
alqaeda	0.4441974461078644			
militants	0.4437217116355896			
genocidal	0.4434713125228882			
hizbullah	0.4421246349811554			
afghanistan	0.4419954717159271			
iranthe	0.44118040800094604			
iraqis	0.4405629336833954			
jingaweit	0.44028419256210327			
mujahidin	0.4401957392692566			
bosniahercegovina	0.4399641752243042			
serbs	0.4377986490726471			
qaddafi	0.4375297427177429			
pakistana	0.43751442432403564			
aleppo	0.4364680349826813			
burma	0.43646687269210815			
teheran	0.43419983983039856			
iranthat	0.4341498017311096			
yugoslavia	0.43316003680229187			
allies	0.432815819978714			
cozying	0.4320065975189209			
alnusra	0.4315175712108612			
separatists	0.4302079975605011			
hostilities	0.42923107743263245			
militant	0.42874056100845337			
asads	0.4280031621456146			
mujahedin	0.4278762936592102			
janjaweed	0.42761123180389404			
pkk	0.42714184522628784			
qatar	0.42633628845214844			
saudi	0.42625460028648376			
provocations	0.42580199241638184			
aggressor	0.4241049587726593			
hussein	0.4235011339187622			
statesponsors	0.42314428091049194			
kermanshah	0.42267143726348877			
isiss	0.4219956696033478			
haram	0.42191508412361145			
rebel	0.42187798023223877			
