words	score	chen	\dylan	3rd
iraq	seedwords			
sadam	seedwords			
saddam	0.7148877382278442			
saddan	0.6746557354927063			
saddarn	0.674113392829895			
saddamn	0.6581743955612183			
suddam	0.6522678136825562			
sadaam	0.6472688317298889			
saddain	0.6312367916107178			
sadlam	0.6273987293243408			
addam	0.6221470832824707			
saddani	0.6146448850631714			
antisaddam	0.6032963395118713			
saddem	0.5962335467338562			
warsaddam	0.5940346121788025			
usay	0.5854544043540955			
afghanistan	0.5707945823669434			
saddarm	0.5586763620376587			
uday	0.5546860098838806			
qusai	0.551282525062561			
qusay	0.546481192111969			
prosaddam	0.5439937710762024			
baghdad	0.5181906223297119			
saddams	0.5181236267089844			
iraqand	0.5061342716217041			
saddar	0.5006446242332458			
quday	0.49371322989463806			
iraqs	0.4913420081138611			
kuwait	0.48873814940452576			
iraqis	0.4861123859882355			
kurds	0.48573651909828186			
iraqi	0.47050386667251587			
peshmerga	0.46856164932250977			
insurgents	0.46848729252815247			
basra	0.4631388783454895			
isil	0.46107539534568787			
syria	0.46019357442855835			
postsaddam	0.45965486764907837			
mosul	0.4595988988876343			
qadhafis	0.458945095539093			
iskandariyah	0.4514082074165344			
persian	0.4502376317977905			
iraqthat	0.44972097873687744			
najaf	0.4478861093521118			
warlord	0.4349230229854584			
kamil	0.4324868619441986			
aideed	0.4285292625427246			
insurgent	0.42828598618507385			
usled	0.42808234691619873			
fallujah	0.4278259873390198			
barzani	0.42593151330947876			
usbacked	0.4259156882762909			
tikrit	0.4256870150566101			
baqubah	0.4245225787162781			
afghanistanthe	0.4234618544578552			
qadhafi	0.41916173696517944			
irbil	0.4177561402320862			
daqduq	0.41766995191574097			
inafghanistan	0.4175550043582916			
aggressor	0.41694939136505127			
alqaida	0.41615331172943115			
neighborsiran	0.41456013917922974			
afghanistanand	0.41399282217025757			
taliban	0.4135890007019043			
kuwaitis	0.4122462272644043			
bosnia	0.41167303919792175			
raad	0.4111858010292053			
iraqwill	0.410338819026947			
mansaddam	0.40965700149536133			
kirkuk	0.4095326066017151			
hussein	0.40833914279937744			
iniraq	0.4073348641395569			
jalal	0.40652698278427124			
kurdish	0.4060779809951782			
outflanked	0.4040934145450592			
deadenders	0.40383726358413696			
kabul	0.4037243723869324			
militias	0.4026136100292206			
afghanistanwhere	0.40259891748428345			
gardez	0.40188097953796387			
shiites	0.4005991518497467			
haditha	0.4004177451133728			
kuwaiti	0.4003351032733917			
toppled	0.3988344073295593			
qandahar	0.39872485399246216			
mahmudiyah	0.3970721960067749			
regimenot	0.39644694328308105			
erbil	0.3962453007698059			
raqqa	0.3959312438964844			
americanled	0.39538854360580444			
kurdistan	0.3946426808834076			
isis	0.3946388065814972			
iraqa	0.3941476047039032			
afghan	0.3924068808555603			
iraqui	0.39177405834198			
libyans	0.39168962836265564			
krg	0.38993704319000244			
afghani	0.38944876194000244			
iraqwe	0.3881644606590271			
scuds	0.38777410984039307			
lraq	0.3869386315345764			
bloodthirsty	0.3860403299331665			
