words	score	chen	\dylan	3rd
palestine	seedwords			
gaza	seedwords			
jerusalem	seedwords			
hamas	seedwords			
israel	seedwords			
jewish	seedwords			
palestinians	0.6637364625930786			
israels	0.6538906097412109			
palestinian	0.6529204845428467			
israelis	0.6395043134689331			
judea	0.6117854118347168			
samaria	0.6074560880661011			
israeli	0.6045047640800476			
hebron	0.5929982662200928			
ramallah	0.5678303837776184			
intifada	0.5561469197273254			
nablus	0.5477373600006104			
afula	0.5460131168365479			
zionist	0.5408831834793091			
fatah	0.5382000207901001			
israelioccupied	0.5375746488571167			
babylonia	0.5374591946601868			
israeland	0.5316556692123413			
arabs	0.5305760502815247			
saeb	0.526726484298706			
plo	0.5267199873924255			
netanya	0.5253644585609436			
rabbo	0.5239223837852478			
zionists	0.5233917236328125			
yasser	0.5216419696807861			
lebanese	0.5211001634597778			
jerusalems	0.5154647827148438			
hamass	0.514765202999115			
syrias	0.5144559144973755			
gazas	0.5101282596588135			
jenin	0.5095945000648499			
sherith	0.5088722705841064			
lebanons	0.5087062120437622			
shaar	0.5083633065223694			
yasir	0.5074597597122192			
alaqsa	0.5036388039588928			
egypt	0.5026636123657227			
elsheikh	0.49963313341140747			
arafat	0.4993310570716858			
ashkelon	0.4953119456768036			
damascus	0.49354881048202515			
jordanians	0.49266117811203003			
jericho	0.4926031231880188			
ehud	0.4910866618156433			
meir	0.4833858013153076			
aviv	0.48332124948501587			
weizmann	0.4830939471721649			
yad	0.47706741094589233			
sderot	0.4769037961959839			
egyptian	0.47666388750076294			
shamir	0.47563809156417847			
agudath	0.4747062623500824			
moslem	0.4730618894100189			
arafats	0.47222375869750977			
tunis	0.4693368673324585			
abbas	0.46910589933395386			
oslo	0.46800434589385986			
hamascontrolled	0.46756014227867126			
vashem	0.4672558903694153			
erekat	0.46617478132247925			
beersheba	0.4654504358768463			
yassar	0.4647185206413269			
hizbullah	0.4642508625984192			
hezbollah	0.4640614986419678			
nasrallah	0.46352291107177734			
jews	0.46341681480407715			
tanzim	0.4627666473388672			
khaled	0.4605938196182251			
arabpalestinian	0.4596334993839264			
egypts	0.45849525928497314			
rejectionist	0.45847952365875244			
shaviv	0.4582446813583374			
hizbollah	0.4582115113735199			
eilat	0.4581615924835205			
armenia	0.4550708830356598			
israelipalestinian	0.45424216985702515			
haifa	0.4539297819137573			
azeri	0.4523819088935852			
jordanian	0.45171570777893066			
twostate	0.45133236050605774			
serbs	0.45111334323883057			
telaviv	0.45042532682418823			
israelites	0.4503672420978546			
palestiniancontrolled	0.44957590103149414			
egyptians	0.44914668798446655			
nonjewish	0.4490688443183899			
olmert	0.4489946961402893			
croatia	0.44834715127944946			
sharm	0.4481559097766876			
gilad	0.44811174273490906			
gazan	0.4479140341281891			
nonjews	0.44781994819641113			
syrian	0.44598811864852905			
belligerency	0.44504377245903015			
hasidic	0.44493675231933594			
israeliplo	0.4448626637458801			
likud	0.444457471370697			
coptic	0.44380903244018555			
israela	0.44312602281570435			
yassir	0.44294580817222595			
israelpalestine	0.44294148683547974			
