words	score	chen	\dylan	3rd
telephone	seedwords			
information	seedwords			
wireless	seedwords			
cable	seedwords			
technology	seedwords			
transmissions	seedwords			
hightech	seedwords			
tech	seedwords			
telecommunications	0.6056400537490845			
wireline	0.6003868579864502			
telecommunication	0.5960644483566284			
dbs	0.5934840440750122			
fiberoptic	0.5815309286117554			
narrowband	0.5776354074478149			
modems	0.5755592584609985			
pcs	0.573223888874054			
paging	0.5608339309692383			
mainframe	0.5520612597465515			
smartphones	0.5469797849655151			
subscriber	0.5434907078742981			
dialup	0.5427709817886353			
telephones	0.5406641960144043			
telecom	0.53856360912323			
routers	0.5379852056503296			
cellular	0.5374428033828735			
fiberoptics	0.5338078737258911			
internetbased	0.533494234085083			
wifi	0.5330540537834167			
scanners	0.5319340229034424			
optic	0.5297578573226929			
bandwidth	0.5239956378936768			
dsl	0.5211942195892334			
iphone	0.5211745500564575			
satellite	0.5200543403625488			
cband	0.5190619230270386			
echostar	0.5187215805053711			
voip	0.5162984132766724			
telephony	0.5152451992034912			
digitally	0.5135024189949036			
landline	0.5131614208221436			
microelectronics	0.5028506517410278			
desktop	0.5002462863922119			
programmers	0.49776673316955566			
switches	0.49756741523742676			
supercomputers	0.4969235956668854			
communications	0.4905274212360382			
teleconferencing	0.48985666036605835			
smartphone	0.48872828483581543			
microwave	0.48759207129478455			
satellitebased	0.4851992726325989			
microchip	0.4849091172218323			
apps	0.48171311616897583			
encrypted	0.48108524084091187			
uhf	0.48070159554481506			
vcrs	0.4792918860912323			
networked	0.47857844829559326			
coaxial	0.4784233272075653			
hightechnology	0.47771212458610535			
transistor	0.4774044156074524			
highresolution	0.47728532552719116			
internet	0.47650593519210815			
broadband	0.4765050709247589			
optical	0.47573062777519226			
nonbroadcast	0.475484162569046			
geolocation	0.47305211424827576			
blackberrys	0.4728855490684509			
vhf	0.4696446359157562			
isps	0.4685421884059906			
technologies	0.467243492603302			
cablelike	0.46494442224502563			
encryption	0.46466344594955444			
miniaturization	0.4644770920276642			
adware	0.4644520878791809			
netscape	0.46158403158187866			
directv	0.4612363278865814			
cables	0.4608699679374695			
cryptographic	0.45991241931915283			
scanner	0.45951342582702637			
landlines	0.4589059352874756			
ipenabled	0.45868322253227234			
computerization	0.457622766494751			
handsets	0.4573240876197815			
analog	0.45718085765838623			
workstations	0.45674929022789			
digital	0.4566115140914917			
optics	0.45645302534103394			
filesharing	0.45620375871658325			
paypercall	0.45406126976013184			
tuners	0.45393040776252747			
passwords	0.45278623700141907			
interconnect	0.4524495601654053			
antennas	0.45200443267822266			
highdefinition	0.45176318287849426			
qvc	0.4514758884906769			
miniaturized	0.45107635855674744			
hdtv	0.45002996921539307			
localtolocal	0.4498710632324219			
tci	0.44796982407569885			
pagers	0.4478078782558441			
hookup	0.4465886950492859			
iphones	0.44645243883132935			
intemet	0.44593721628189087			
gigabit	0.44589245319366455			
gps	0.44577890634536743			
vcr	0.4447695314884186			
copying	0.44409024715423584			
electronics	0.44398897886276245			
verizon	0.44265246391296387			
