words	score	chen	\dylan	3rd
judges	seedwords			
prosecutions	seedwords			
attorney	seedwords			
jury	seedwords			
inspector	seedwords			
court	seedwords			
attorneys	seedwords			
defendants	seedwords			
sentencing	seedwords			
courts	seedwords			
judge	seedwords			
conviction	seedwords			
witnesses	seedwords			
justice	seedwords			
prosecutors	0.6450700759887695			
jurors	0.5910066366195679			
retrial	0.5746102333068848			
prosecutor	0.5708617568016052			
juries	0.5533921122550964			
litigants	0.5442528128623962			
courtmartial	0.5403982400894165			
acquittal	0.536838173866272			
juror	0.5192620754241943			
litigant	0.5139639973640442			
defendant	0.5134718418121338			
justices	0.5094231367111206			
appellate	0.5042608976364136			
prosecution	0.5015048980712891			
magistrates	0.4942932724952698			
admissible	0.490968257188797			
postconviction	0.48884597420692444			
magistrate	0.486659973859787			
prosecutorial	0.48551997542381287			
solicitor	0.48303526639938354			
retried	0.4825963079929352			
judicial	0.4805475175380707			
courtroom	0.47594431042671204			
petitioners	0.4758698344230652			
admissibility	0.47574684023857117			
cases	0.47557270526885986			
nonjury	0.47081655263900757			
adjudications	0.46860918402671814			
doj	0.4627729058265686			
convicting	0.4619160294532776			
chatignys	0.46100109815597534			
pretrial	0.45738890767097473			
carnes	0.45485320687294006			
convictions	0.45295941829681396			
disbarment	0.4525500535964966			
courtsmartial	0.44996774196624756			
posttrial	0.4488425850868225			
appellants	0.44868606328964233			
matsch	0.44531089067459106			
felony	0.445226788520813			
judgeand	0.4440048038959503			
plaintiff	0.44352957606315613			
remanded	0.4434622526168823			
pleadings	0.4430546164512634			
petitioner	0.4427946209907532			
plaintiffs	0.4416791498661041			
porteous	0.4394756257534027			
acquitted	0.4392869174480438			
sentencings	0.4386526942253113			
bench	0.43822383880615234			
reheard	0.43732425570487976			
procriminal	0.4372658133506775			
retry	0.43652594089508057			
case	0.4359096586704254			
deathpenalty	0.43579989671707153			
indictments	0.4351862370967865			
heirens	0.4343292713165283			
arraignments	0.43368208408355713			
impartial	0.4327584505081177			
federalcourt	0.43228012323379517			
evidentiary	0.4321037530899048			
arraignment	0.43134447932243347			
leniency	0.4307083785533905			
cocounsel	0.4294215440750122			
prosecuted	0.42931368947029114			
felonies	0.42907243967056274			
habeas	0.42771148681640625			
complainants	0.42740723490715027			
barketts	0.4264181852340698			
resentence	0.42624422907829285			
recusal	0.42596954107284546			
multidefendant	0.4246903955936432			
recuse	0.42360806465148926			
csrt	0.42320287227630615			
trial	0.42241787910461426			
casesin	0.4206029176712036			
nuremburg	0.4203287363052368			
lawyersto	0.42014482617378235			
judgewho	0.4185996353626251			
threejudge	0.4184616804122925			
courtthe	0.4183342456817627			
indict	0.4182647168636322			
accusers	0.4179733395576477			
absentia	0.4173092246055603			
adjudicative	0.41711270809173584			
lawyers	0.4169241786003113			
sentences	0.41677626967430115			
sarokin	0.41644859313964844			
factfinders	0.41624319553375244			
prosecutorand	0.4158639907836914			
ghailani	0.41502875089645386			
mandamus	0.4133727252483368			
wrongdoing	0.4131898880004883			
accuser	0.413119375705719			
resentencing	0.4127543270587921			
sarokins	0.41225919127464294			
debo	0.412139356136322			
counsel	0.4117511212825775			
courtsthe	0.4113926887512207			
convict	0.41073739528656006			
