words	score	chen	\dylan	3rd
samesex	seedwords			
bisexual	seedwords			
homosexual	seedwords			
lesbian	seedwords			
gay	seedwords			
lgbt	seedwords			
bisexuality	seedwords			
orientation	seedwords			
lgbtq	seedwords			
queer	seedwords			
transgender	seedwords			
homophobia	seedwords			
lesbians	0.6468493938446045			
homosexuality	0.6141948699951172			
homosexuals	0.6070849299430847			
heterosexual	0.6043709516525269			
gays	0.5942612886428833			
heterosexuality	0.5435224771499634			
bisexuals	0.5372702479362488			
heterosexuals	0.5342897772789001			
sexuality	0.5314741134643555			
antigay	0.5191020369529724			
transgendered	0.5171559453010559			
polygamy	0.4922371804714203			
nongay	0.48914846777915955			
homophobic	0.48466211557388306			
interracial	0.4811832904815674			
stereotyped	0.4731387495994568			
discriminated	0.47292953729629517			
sodomy	0.4726911187171936			
epithets	0.47081270813941956			
bigots	0.47054576873779297			
skinheads	0.4627755582332611			
stereotyping	0.46176862716674805			
anticatholic	0.4612085521221161			
intolerant	0.4589412808418274			
slurs	0.45603835582733154			
harrassment	0.45327210426330566			
slur	0.451821506023407			
cohabitating	0.45075714588165283			
phobia	0.44763249158859253			
epithet	0.44739407300949097			
bigoted	0.44557708501815796			
enda	0.4454202651977539			
celibate	0.4444412291049957			
arabamerican	0.4437572956085205			
nonbinary	0.4339354634284973			
orientations	0.4332004189491272			
sexism	0.43292319774627686			
arabamericans	0.4319569766521454			
antichristian	0.42921048402786255			
faggot	0.42766273021698			
racists	0.42717239260673523			
marriageand	0.42700445652008057			
masculine	0.42533767223358154			
ostracized	0.4215989112854004			
asianamericans	0.41964611411094666			
antiblack	0.4179844856262207			
actup	0.41775280237197876			
promiscuity	0.417665034532547			
atheists	0.4164299964904785			
scoutmasters	0.4146779179573059			
lbgt	0.4140956401824951			
feminism	0.41386961936950684			
glbt	0.4135757386684418			
pedophilia	0.41224199533462524			
laheenae	0.41206759214401245			
marriages	0.4111907482147217			
stereotype	0.4110524654388428			
equality	0.40844249725341797			
ethnocentric	0.40312257409095764			
animus	0.40252894163131714			
harassment	0.4024289846420288			
marriagethe	0.40065962076187134			
antimuslim	0.4003503918647766			
transvestites	0.4002968966960907			
derogatory	0.39896857738494873			
crossdressing	0.3974197208881378			
discriminating	0.3966321349143982			
hispanicamerican	0.3966118097305298			
enola	0.39601778984069824			
neonazi	0.39598119258880615			
stereotypes	0.3950859010219574			
antihomosexual	0.3946702182292938			
nonchristians	0.3941662311553955			
taunted	0.39387768507003784			
promiscuous	0.3933733403682709			
kkk	0.392985463142395			
transgenders	0.39247989654541016			
openly	0.39155733585357666			
sexes	0.3912287950515747			
taunting	0.39111053943634033			
discrimination	0.38912099599838257			
prochoice	0.3877529203891754			
polygamous	0.38730156421661377			
racism	0.38690710067749023			
ilga	0.3854649066925049			
disabilitybased	0.3851189911365509			
samegender	0.3843124210834503			
racially	0.38353782892227173			
polygamists	0.3809587061405182			
sadism	0.3785063922405243			
religiousbased	0.3773970305919647			
transvestite	0.3761885166168213			
atheist	0.3760177195072174			
monogamous	0.375693678855896			
washinawatok	0.3756614327430725			
skinhead	0.37530380487442017			
discriminationthat	0.3739932179450989			
islamophobia	0.3735221028327942			
transsexual	0.3733237385749817			
outcasts	0.37327882647514343			
