words	score	chen	\dylan	3rd
cable	seedwords			
radio	seedwords			
broadcast	seedwords			
audio	seedwords			
media	seedwords			
television	0.6750438809394836			
keloland	0.6174731850624084			
broadcasts	0.6168855428695679			
onair	0.6109911203384399			
rebroadcast	0.6042426824569702			
tv	0.6012260317802429			
closedcaptioned	0.5968023538589478			
newscaster	0.5962487459182739			
broadcasting	0.5879709720611572			
vhf	0.5847080945968628			
televisions	0.5825260877609253			
viewers	0.5739870667457581			
primetime	0.5736187696456909			
sitcoms	0.5729529857635498			
newscasts	0.5695092082023621			
overtheair	0.5680557489395142			
wcbs	0.567792534828186			
msnbc	0.5659749507904053			
mtv	0.5644272565841675			
televison	0.5633174180984497			
allnews	0.5629569888114929			
airwaves	0.5624029636383057			
payperview	0.5618895888328552			
wsb	0.561292290687561			
espn	0.5612431168556213			
telecast	0.558853030204773			
wokq	0.5587223172187805			
viewership	0.5583559274673462			
wral	0.5579264760017395			
radios	0.553790807723999			
kmox	0.5537664890289307			
voa	0.5529448986053467			
callin	0.5500091314315796			
worldnet	0.5480722188949585			
newscast	0.5472434759140015			
shortwave	0.547009289264679			
closedcaptioning	0.5457322001457214			
cableready	0.5447651147842407			
closedcircuit	0.5442224740982056			
broadcaster	0.543763279914856			
bigscreen	0.542338490486145			
broadcasters	0.542324423789978			
airs	0.5420329570770264			
satellitedelivered	0.5419671535491943			
anchorman	0.541611909866333			
uhf	0.5412866473197937			
gaveltogavel	0.5408605337142944			
wtop	0.5405245423316956			
hbo	0.5399826765060425			
highdefinition	0.53484046459198			
cspan	0.5344730019569397			
spanishlanguage	0.5312005281448364			
lowlight	0.5293264985084534			
telecasts	0.5259532928466797			
nilesat	0.5222605466842651			
broadcasted	0.5207985043525696			
whas	0.520776629447937			
reruns	0.5200095176696777			
tele	0.5195081830024719			
dbs	0.5194628238677979			
wvon	0.5193607211112976			
miniseries	0.5193444490432739			
coaxial	0.5164095163345337			
nonbroadcast	0.5150031447410583			
cbs	0.5115377306938171			
pbs	0.5098791718482971			
kcur	0.5095953941345215			
advertisers	0.5090630650520325			
stereo	0.5084108114242554			
simulcast	0.5080637335777283			
nbc	0.5066994428634644			
fcclicensed	0.5065070390701294			
kqed	0.5057971477508545			
superconductive	0.5034121870994568			
localintolocal	0.5033074617385864			
wcco	0.502483606338501			
fullpower	0.5014506578445435			
televised	0.5007333755493164			
announcers	0.4985249638557434			
retransmit	0.49821901321411133			
aired	0.49690064787864685			
nprs	0.4958415627479553			
playbyplay	0.49567490816116333			
wtic	0.4943618178367615			
offair	0.49416476488113403			
vcr	0.4937973916530609			
telemundo	0.49356335401535034			
blogs	0.4925248622894287			
wdev	0.4923931658267975			
networkowned	0.48757147789001465			
programing	0.4858027398586273			
wmt	0.4857054352760315			
macneillehrer	0.4851631820201874			
directv	0.4847548305988312			
weatherman	0.4846780300140381			
transmitters	0.48446124792099			
echostar	0.48288530111312866			
hdtv	0.4826899766921997			
krtv	0.48182380199432373			
localtolocal	0.4810677468776703			
