words	score	chen	\dylan	3rd
naval	seedwords			
enlisted	seedwords			
marines	seedwords			
troops	seedwords			
infantry	seedwords			
battle	seedwords			
military	seedwords			
ballistic	seedwords			
missile	seedwords			
invade	seedwords			
missiles	seedwords			
war	seedwords			
antiaircraft	0.5275692939758301			
warplanes	0.5231075286865234			
artillery	0.5222890973091125			
okinawa	0.5159908533096313			
combatready	0.5150970220565796			
counterattack	0.5147998332977295			
soldiers	0.5111665725708008			
migs	0.5107787847518921			
paratroopers	0.5085026025772095			
airborne	0.5054804682731628			
army	0.5033100843429565			
mortars	0.493946373462677			
antitank	0.48804450035095215			
warships	0.48290860652923584			
guadalcanal	0.479617178440094			
reenlisted	0.4775224030017853			
forces	0.4739227294921875			
luftwaffe	0.4736717641353607			
deployed	0.4720051884651184			
antiarmor	0.4717097282409668			
infantrymen	0.46952739357948303			
sorties	0.4694207012653351			
bougainville	0.4686184525489807			
deploying	0.4685867726802826			
rifleman	0.46828562021255493			
strafed	0.46796882152557373			
battalions	0.46683451533317566			
forwarddeployed	0.4650600552558899			
paratrooper	0.4647902846336365			
seabee	0.46320897340774536			
vietcong	0.46318936347961426			
aviators	0.46171948313713074			
battlehardened	0.46166491508483887			
navy	0.45934391021728516			
shiptoshore	0.4591427445411682			
infantryman	0.45913904905319214			
squadrons	0.4582543969154358			
surfacetosurface	0.4578615725040436			
deployments	0.4565926790237427			
uboat	0.45635396242141724			
inchon	0.45539265871047974			
regiments	0.4551697075366974			
surfacetoair	0.4545021057128906			
sovietmade	0.4540163278579712			
homeported	0.45351162552833557			
platoon	0.4526132345199585			
harrier	0.45179083943367004			
comrades	0.4516262114048004			
avenger	0.44985854625701904			
panzer	0.44864147901535034			
repelled	0.448345810174942			
massed	0.4471582770347595			
invasion	0.4460217356681824			
darmstadt	0.44281700253486633			
awacs	0.4427569508552551			
icbm	0.4426657557487488			
tarawa	0.4421531558036804			
kamikazes	0.4392127990722656			
demobilized	0.4380244016647339			
scuds	0.4377474784851074			
rocketpropelled	0.4364442229270935			
sicily	0.4364212155342102			
wwii	0.43629562854766846			
airground	0.43585294485092163			
reinforcements	0.43523523211479187			
torpedoes	0.43449562788009644			
gunners	0.43425440788269043			
foxholes	0.43368589878082275			
sanh	0.43303754925727844			
armaments	0.43302276730537415			
bomber	0.43287891149520874			
airbase	0.4328465461730957			
counterattacks	0.4328453540802002			
mig	0.43254944682121277			
cavalry	0.43240416049957275			
parachuting	0.43206527829170227			
hessian	0.4314562976360321			
mussolinis	0.43143004179000854			
materiel	0.43141257762908936			
leyte	0.43087002635002136			
amphibious	0.42871737480163574			
kwajalein	0.4285183250904083			
commandoes	0.42843097448349			
deployment	0.42774268984794617			
paratroops	0.42770567536354065			
quartermasters	0.42701593041419983			
khe	0.4268818497657776			
airpower	0.4267497956752777			
fortifications	0.42671164870262146			
armys	0.4266977310180664			
afghanistan	0.4265766739845276			
subs	0.42603951692581177			
guidedmissile	0.4258536994457245			
bombers	0.42549997568130493			
crewmen	0.4251229166984558			
frigate	0.4248565435409546			
hellcats	0.42415979504585266			
outpost	0.42374932765960693			
uboats	0.42353612184524536			
taepodong	0.42333555221557617			
