words	score	chen	\dylan	3rd
tribes	seedwords			
indians	seedwords			
natives	seedwords			
micmac	0.5335159301757812			
aboriginal	0.5224896669387817			
nonindians	0.513320803642273			
nonindian	0.5058642029762268			
federallyrecognized	0.5048521757125854			
rancheria	0.5033243894577026			
shoshonebannock	0.5024397373199463			
tribe	0.4993671774864197			
eskimos	0.49774789810180664			
aleuts	0.4908722937107086			
graton	0.4870261549949646			
coushatta	0.4863538146018982			
indianalaska	0.4860779643058777			
tribea	0.48541414737701416			
tlingit	0.47956132888793945			
indian	0.478527694940567			
lytton	0.47638487815856934			
shoshonepaiute	0.47575855255126953			
tiwa	0.47378718852996826			
haida	0.47010117769241333			
maliseet	0.4696688652038574			
alaskanative	0.4688844084739685			
samoans	0.4671761989593506			
allottees	0.4669434726238251			
athabascan	0.46631789207458496			
staterecognized	0.4662998616695404			
native	0.4639819860458374			
yaqui	0.46334487199783325			
nontribal	0.46054983139038086			
tribal	0.4604044556617737			
mewuk	0.4596632719039917			
metlakatla	0.4592345356941223			
makah	0.4585000276565552			
choctaws	0.4578400254249573			
precolonial	0.4576055407524109			
lummi	0.4556925296783447			
indiansthe	0.4513472318649292			
pueblos	0.45016878843307495			
onreservation	0.4491189122200012			
timbisha	0.4465903043746948			
siletz	0.4461163282394409			
shoshone	0.4449903666973114			
allottee	0.4418201446533203			
tulalip	0.4390259087085724			
fullblooded	0.43882477283477783			
kaw	0.43774622678756714			
indianalaskan	0.4373508393764496			
mostrepresentative	0.43597331643104553			
potawatomi	0.4345006048679352			
nonrecognized	0.43243446946144104			
choctaw	0.43073442578315735			
kake	0.42942506074905396			
yurok	0.4282413125038147			
siouan	0.42789509892463684			
aleut	0.42715734243392944			
pascua	0.42538681626319885			
lumbee	0.4248831272125244			
tribesand	0.42472898960113525			
colville	0.4225888252258301			
shoshonepaute	0.4223885238170624			
hopi	0.42168036103248596			
sdpi	0.42150652408599854			
mowa	0.4214978516101837			
hidatsa	0.42135554552078247			
pomo	0.42100489139556885			
chippewa	0.420207679271698			
igras	0.4197967052459717			
tongva	0.41979464888572693			
cheraw	0.41685721278190613			
goshute	0.41475531458854675			
pottawatomi	0.4147101640701294			
inupiat	0.41334110498428345			
cabazon	0.4125308692455292			
barona	0.4120703339576721			
intertribal	0.4115568697452545			
tanana	0.4113706946372986			
nonintercourse	0.4113261103630066			
monacan	0.41112956404685974			
offreservation	0.41015928983688354			
quechan	0.40892651677131653			
croatan	0.4073854386806488			
temoak	0.40619736909866333			
navaho	0.4052596092224121			
lumbees	0.4052339792251587			
nonnatives	0.40483009815216064			
tribesa	0.4044491648674011			
quileute	0.40388691425323486			
paiute	0.40370702743530273			
paiutes	0.4031156301498413			
micmacs	0.40149468183517456			
trustrelated	0.40087100863456726			
cherokees	0.40034645795822144			
navajos	0.39827531576156616			
rosebud	0.3976565897464752			
ihstribal	0.3969276547431946			
tribesthe	0.3946043848991394			
nahasda	0.3944883942604065			
lineal	0.39427340030670166			
patuxets	0.394208163022995			
pokagon	0.3940463960170746			
