words	score	chen	\dylan	3rd
enrichment	seedwords			
radiation	seedwords			
atomic	seedwords			
nuclear	seedwords			
uranium	seedwords			
plutonium	0.6253836154937744			
natanz	0.612221360206604			
reprocessing	0.5792502164840698			
nuclearweapons	0.5650429725646973			
weaponsgrade	0.5598211288452148			
centrifuge	0.5576540231704712			
fissionable	0.548425555229187			
heu	0.5417423248291016			
radioactive	0.5379303693771362			
thermonuclear	0.5353716611862183			
bombgrade	0.5272957682609558			
nuclearrelated	0.525763750076294			
fissile	0.5229394435882568			
reprocess	0.5184453129768372			
uraniumfueled	0.5147906541824341			
arak	0.5136480927467346			
weaponsrelated	0.5111002922058105			
weaponsusable	0.5109604001045227			
highenriched	0.5031875371932983			
isfahan	0.4995006322860718			
uraniumenrichment	0.49704301357269287			
highlyenriched	0.49523288011550903			
fordow	0.49450019001960754			
iaea	0.4940536916255951			
bushehr	0.49402308464050293			
lightwater	0.4906024932861328			
mox	0.48990723490715027			
yongbyon	0.48976683616638184			
rbmk	0.4880799949169159			
detonations	0.4879322946071625			
unsafeguarded	0.48483315110206604			
plutoniumand	0.48322492837905884			
weapongrade	0.4816817045211792			
chemical	0.4805029332637787			
plutoniumproducing	0.4793170094490051			
graphite	0.4775996804237366			
heavywater	0.47581055760383606			
parchin	0.47519248723983765			
subcritical	0.46902143955230713			
antisatellite	0.4666007161140442			
iaeas	0.46463650465011597			
hiroshimasized	0.4631698727607727			
reactor	0.46316099166870117			
nium	0.46258920431137085			
cesium	0.46128958463668823			
chernobyltype	0.46050453186035156			
radioactivity	0.46031224727630615			
wmd	0.45654886960983276			
nuolear	0.4553234875202179			
bw	0.45526322722435			
chernobylstyle	0.45479458570480347			
rertr	0.45473742485046387			
centrifuges	0.45437192916870117			
nucleargrade	0.45375925302505493			
detonation	0.45370763540267944			
nonsafeguarded	0.45044592022895813			
fissioning	0.4503735303878784			
wmdrelated	0.44971439242362976			
oklo	0.4480127692222595			
moruroa	0.4474007189273834			
lowenriched	0.4435553550720215			
yellowcake	0.4435082972049713			
uraniumbased	0.443017840385437			
isotope	0.4426540434360504			
graphitemoderated	0.44252586364746094			
kiloton	0.44230544567108154			
qom	0.4410397410392761			
gaseous	0.43823373317718506			
vver	0.4381876587867737			
rrw	0.4376627802848816			
strontium	0.4376234710216522			
sovietdesigned	0.43574059009552			
fangataufa	0.4355267584323883			
reactors	0.4351569712162018			
doe	0.43501901626586914			
usec	0.43443071842193604			
shchuchye	0.43318843841552734			
dismantlement	0.4323057532310486			
reactorgrade	0.4318867623806			
transuranic	0.4305826723575592			
thorium	0.42857131361961365			
uraniumthe	0.4284195899963379			
hexafluoride	0.4278257191181183			
gyroscopes	0.4268070459365845			
radionuclides	0.4265863001346588			
enrichmentrelated	0.4265454411506653			
zemlya	0.4259380102157593			
cbw	0.4251590967178345			
mururoa	0.4237936735153198			
nucleat	0.4219852685928345			
weaponsofmassdestruction	0.4199763536453247			
oxide	0.4198368787765503			
chernobyl	0.4195140600204468			
fission	0.41943806409835815			
tailings	0.41814377903938293			
femald	0.41746097803115845			
mixedoxide	0.4172893166542053			
ipp	0.4171294569969177			
nucleai	0.41642266511917114			
puclear	0.4150441288948059			
