words	score	chen	\dylan	3rd
police	seedwords			
firefighters	seedwords			
firemen	0.5739718079566956			
policemen	0.541399359703064			
responders	0.5400155782699585			
firefighter	0.5377305746078491			
nypd	0.5204149484634399			
responderspolice	0.5066630840301514			
paramedics	0.5005022287368774			
emt	0.49575144052505493			
occoquanwoodbridgelorton	0.49516040086746216			
firehouses	0.46572744846343994			
officers	0.4645969569683075			
emts	0.46268004179000854			
dispatcher	0.4596509337425232			
lovrien	0.4558056890964508			
detectives	0.45080000162124634			
firepeople	0.4428691864013672			
firefighting	0.43998074531555176			
responder	0.4395545721054077			
sheriffs	0.43435388803482056			
paramedic	0.4308358132839203			
lapd	0.4283035397529602			
respondersthe	0.42585480213165283			
patrolman	0.4234834611415863			
policewomen	0.42188695073127747			
fireman	0.42125529050827026			
morrisonville	0.41474029421806335			
officerswho	0.4141908586025238			
pana	0.41395074129104614			
ems	0.4137211740016937			
respondersour	0.40679293870925903			
francemone	0.4049004912376404			
offduty	0.4027460515499115			
firstresponders	0.40089869499206543			
firehouse	0.40059471130371094			
ridealong	0.4001486897468567			
volunteer	0.3984634578227997			
fdny	0.3972536027431488			
ashift	0.39550870656967163			
pawling	0.38702887296676636			
crosstrained	0.3866522014141083			
signalmen	0.3859269320964813			
plainclothes	0.3856924772262573			
pumper	0.38567060232162476			
cops	0.3824465572834015			
trooper	0.38088756799697876			
stittville	0.37907981872558594			
firemens	0.37853580713272095			
balloni	0.3776250183582306			
personnelwho	0.37544548511505127			
ashwaubenon	0.3745137155056			
pfannes	0.3738308250904083			
dispatchers	0.3738110661506653			
firetrucks	0.3727388381958008			
klosterman	0.37137120962142944			
arkell	0.371135413646698			
melvindales	0.3669784665107727			
switalski	0.36579135060310364			
troopers	0.3657762408256531			
dressel	0.36520376801490784			
rescue	0.36404818296432495			
linford	0.3639482259750366			
flanscha	0.3629136085510254			
keeseville	0.3625446557998657			
sanzenbacher	0.3623722195625305			
blando	0.3595120310783386			
dcvfd	0.3586064875125885			
respondersand	0.35703974962234497			
firetruck	0.3566797971725464			
dessellier	0.35579749941825867			
slamon	0.35569220781326294			
sheriff	0.3547019958496094			
oncall	0.3535674214363098			
iaff	0.35289376974105835			
medics	0.352074533700943			
respenders	0.3512721359729767			
hege	0.35108673572540283			
fighters	0.3491346538066864			
beuning	0.3487962484359741			
haran	0.34875738620758057			
rescuers	0.3486395478248596			
swasey	0.3477400541305542			
officersand	0.3477000892162323			
fairmount	0.3465462625026703			
ungrady	0.3451242446899414			
liquori	0.34453731775283813			
allenstown	0.3443650007247925			
shilaos	0.34258463978767395			
buinicky	0.34176313877105713			
responderslocal	0.34152254462242126			
hazmat	0.3414638042449951			
whetsel	0.3413233458995819			
ambulance	0.3412594199180603			
wildland	0.3410312533378601			
zerebny	0.340934157371521			
flames	0.34077852964401245			
blazes	0.33765900135040283			
viscardi	0.3365667164325714			
bashoor	0.3363851010799408			
enforcement	0.3362029492855072			
brackeen	0.33595502376556396			
