words	score	chen	\dylan	3rd
lobbying	seedwords			
impeaching	seedwords			
fundraising	seedwords			
impeachment	seedwords			
impeach	0.5285190939903259			
impeached	0.417902410030365			
discrediting	0.41592276096343994			
unseemly	0.3908894956111908			
fundralsing	0.38947468996047974			
reelection	0.3855331540107727			
gopac	0.3820151090621948			
campaignto	0.38035380840301514			
campaign	0.3710598647594452			
obstruction	0.3702023923397064			
tawdry	0.3664839267730713			
maligning	0.36471179127693176			
watergate	0.3640555441379547			
softmoney	0.35972651839256287			
coverup	0.3592483401298523			
blitz	0.3566902279853821			
moveonorg	0.3513026833534241			
bankrolled	0.35054677724838257			
mudslinging	0.34978216886520386			
abramoff	0.34165170788764954			
superpacs	0.3415679335594177			
smear	0.3404321074485779			
breakin	0.33840101957321167			
embarrass	0.3379705548286438			
democrats	0.33788812160491943			
astroturf	0.33742547035217285			
wrongdoings	0.3373834490776062			
acorn	0.33563923835754395			
discredit	0.33463671803474426			
whitewater	0.3337751626968384			
electioneering	0.3337462544441223			
highhandedness	0.3302651345729828			
bribery	0.3299022614955902			
obstructionism	0.3294622302055359			
abscam	0.32866185903549194			
candidacy	0.32766199111938477			
censuring	0.3275216519832611			
getoutthevote	0.32715457677841187			
wrongdoing	0.326785147190094			
racebaiting	0.32513171434402466			
partisan	0.3250062167644501			
obstruct	0.3249618113040924			
indicting	0.3248326778411865			
fundraisers	0.32353201508522034			
dulyelected	0.3233959972858429			
campaigning	0.3225419223308563			
fundrasing	0.32221847772598267			
impeachable	0.3214583396911621			
influencebuying	0.32058340311050415			
shameless	0.3199726641178131			
irangate	0.31937482953071594			
thwarting	0.31868287920951843			
wellorchestrated	0.31866398453712463			
machiavellian	0.31830427050590515			
subpoenaing	0.3181455135345459			
clinton	0.3171847462654114			
republicans	0.31687450408935547			
partisans	0.3167911767959595			
berate	0.3165382742881775			
shaysmeehan	0.3156070113182068			
letterwriting	0.31552693247795105			
censure	0.31539201736450195			
specialinterest	0.3153574466705322			
mediscare	0.3148559033870697			
impropriety	0.31311970949172974			
vendetta	0.3128717541694641			
lobbyist	0.31285953521728516			
accusing	0.311964213848114			
hatched	0.3115597665309906			
leftwing	0.3115239143371582			
electionyear	0.3109239935874939			
collusion	0.30931681394577026			
deriding	0.3092944324016571			
unseating	0.3091084957122803			
mccainfeingold	0.3084542751312256			
hardleft	0.30831170082092285			
treason	0.3081328272819519			
sideshow	0.3081301748752594			
irancontra	0.30763763189315796			
orchestrated	0.30739760398864746			
dnc	0.30703306198120117			
candidates	0.3070068359375			
koreagate	0.30675196647644043			
sham	0.30645689368247986			
investigationthe	0.30623507499694824			
investigation	0.3062281012535095			
armtwisting	0.3058931827545166			
scurrilous	0.3053174614906311			
polemic	0.3053094744682312			
disloyalty	0.30484262108802795			
prefederal	0.30355703830718994			
porteous	0.3033631443977356			
campaignrelated	0.3033454418182373			
election	0.3031492829322815			
railed	0.30300936102867126			
illegalities	0.30263906717300415			
reeks	0.3021770715713501			
orchestrating	0.30209648609161377			
sordid	0.30067384243011475			
whistlestop	0.3002704679965973			
