words	score	chen	\dylan	3rd
postal	seedwords			
mail	seedwords			
mailing	0.5113279819488525			
usps	0.4795688986778259			
mails	0.45499181747436523			
postage	0.44940871000289917			
mailer	0.43698644638061523			
mailers	0.43286123871803284			
mailed	0.4211479425430298			
mailings	0.4171774983406067			
envelopes	0.4091063141822815			
photocopy	0.4058278203010559			
faxes	0.38525134325027466			
initiativebeginning	0.3839329481124878			
gpl	0.38243237137794495			
outbound	0.37206441164016724			
senders	0.3716585040092468			
nonmail	0.3663330674171448			
franked	0.36046886444091797			
telephone	0.36037254333496094			
dhl	0.3557398319244385			
pointtopoint	0.35198527574539185			
customer	0.3510558009147644			
tabulations	0.34560132026672363			
undeliverable	0.3446623682975769			
fixedroute	0.3405038118362427			
nonpostal	0.3402484655380249			
prearrival	0.3387744128704071			
postcards	0.33571523427963257			
voip	0.335085928440094			
lettersized	0.3347075581550598			
postmaster	0.3345501720905304			
lowfare	0.3337154686450958			
solicitations	0.3334386646747589			
proiders	0.33132678270339966			
email	0.32981154322624207			
mailbox	0.3296179175376892			
containerized	0.32853764295578003			
posta	0.32798507809638977			
invoice	0.3246970772743225			
mainline	0.32352563738822937			
fourcolor	0.32135218381881714			
stipended	0.3211878836154938			
noncustomers	0.3209284842014313			
delivery	0.3205362558364868			
unsolicited	0.32034832239151			
telegrams	0.31904318928718567			
postcard	0.3189298212528229			
theforest	0.318422794342041			
ferryboat	0.3170511722564697			
shipper	0.3144874572753906			
incounty	0.313327431678772			
fedex	0.3125859498977661			
lmds	0.3124849796295166			
selfaddressed	0.31232234835624695			
questionnaires	0.31124716997146606			
visns	0.31087714433670044			
sweepstakes	0.31024664640426636			
firstclass	0.3098955750465393			
ferries	0.30830854177474976			
forwardable	0.30770522356033325			
vendor	0.3076670169830322			
volp	0.30734431743621826			
denverlondon	0.306199848651886			
subscriber	0.30453091859817505			
nextday	0.3042103052139282			
mailin	0.30373963713645935			
thepostal	0.30341872572898865			
nonletter	0.30330976843833923			
39	0.3024028539657593			
postmasters	0.30235880613327026			
airfare	0.301582396030426			
sender	0.30146732926368713			
newsletters	0.3011765480041504			
icass	0.300149530172348			
mailboxes	0.30013006925582886			
switchless	0.2996663451194763			
airline	0.29931920766830444			
undelivered	0.2987135648727417			
electronically	0.2980419099330902			
nonmailable	0.2978861927986145			
janitorial	0.2976703941822052			
checkcashing	0.2974919080734253			
lessthantruckload	0.2972990870475769			
wireless	0.2966933846473694			
sealand	0.2966509461402893			
fax	0.2954009175300598			
licited	0.2927854359149933			
subscribers	0.29270029067993164			
catalogs	0.2912787199020386			
shortdistance	0.2910494804382324			
fordclass	0.2903711497783661			
passengerrail	0.2890549898147583			
presale	0.28843799233436584			
intercity	0.2875833511352539			
rfd	0.2874491512775421			
computerreadable	0.2873719334602356			
remittance	0.2872619032859802			
feefor	0.28692254424095154			
cargo	0.28615623712539673			
allcargo	0.28600919246673584			
rateofreturn	0.28580278158187866			
