words	score	chen	\dylan	3rd
nanotechnology	seedwords			
research	seedwords			
development	seedwords			
biotechnology	seedwords			
technology	seedwords			
nanoscience	0.7181331515312195			
genomics	0.672775149345398			
superconductivity	0.6435176134109497			
biotech	0.6250702142715454			
biosciences	0.6153899431228638			
bioinformatics	0.6086210012435913			
bioengineering	0.6069620251655579			
bioscience	0.6032178997993469			
nanotech	0.6015325784683228			
biomedical	0.5806988477706909			
innovation	0.5777945518493652			
technologies	0.5757442712783813			
supercomputing	0.5726292729377747			
optoelectronics	0.5695961117744446			
leadingedge	0.5693743824958801			
cuttingedge	0.5671926736831665			
biotechnological	0.5589239597320557			
innovations	0.5583562850952148			
biomedicine	0.5563381314277649			
hightechnology	0.5521397590637207			
precompetitive	0.5509448051452637			
nanoscale	0.5505748987197876			
biotechnical	0.5490442514419556			
commercialization	0.5488643050193787			
genetics	0.5453504323959351			
genomic	0.5389849543571472			
computational	0.5378707647323608			
microelectronics	0.5326512455940247			
commercializing	0.5244661569595337			
spacerelated	0.5155560970306396			
biopharmaceutical	0.5152028799057007			
technologybased	0.5149564743041992			
nanoelectronics	0.5140209197998047			
rotorcraft	0.5135294198989868			
superconductors	0.50943922996521			
researchthe	0.509086012840271			
technological	0.506533682346344			
photonics	0.5051828622817993			
aquaculture	0.5006287097930908			
nano	0.49908316135406494			
diagnostics	0.4976118803024292			
breakthroughs	0.4956403076648712			
researchand	0.49539101123809814			
highperformance	0.4947010576725006			
technologys	0.4941862225532532			
hitech	0.4912354350090027			
commercialize	0.4875548779964447			
industryled	0.48637133836746216			
collaborations	0.48602575063705444			
polymer	0.484426885843277			
spinoffs	0.4836885333061218			
computing	0.47842347621917725			
translational	0.47726207971572876			
commercialized	0.47698840498924255			
composites	0.4767821431159973			
nsf	0.4762955904006958			
therapeutics	0.47616201639175415			
researchs	0.47588783502578735			
innovative	0.47398385405540466			
regenerative	0.4735613465309143			
instrumentation	0.4715288579463959			
precommercial	0.47105491161346436			
nihsupported	0.47065210342407227			
neuroscience	0.47007060050964355			
cleanenergy	0.4698934257030487			
simulation	0.4697840213775635			
discoveries	0.4697263836860657			
technologywhich	0.4675356447696686			
earlystage	0.46608766913414			
biodefense	0.4650275707244873			
darpas	0.46458083391189575			
astronomy	0.4621824324131012			
microchip	0.46203476190567017			
informationtechnology	0.4611203670501709			
geosciences	0.4610581696033478			
lithography	0.4605017900466919			
darpa	0.4604852795600891			
cryogenics	0.4604678153991699			
hightech	0.45904603600502014			
metrology	0.45766669511795044			
genentech	0.4542655646800995			
biotechnologies	0.45352911949157715			
revolutionizing	0.4528709053993225			
sciences	0.45254793763160706			
astrophysics	0.4499719738960266			
nsfsponsored	0.44930803775787354			
aeronautical	0.4485599398612976			
researchan	0.4482358992099762			
molecular	0.4475560486316681			
subsonic	0.4468897581100464			
cleanroom	0.44677144289016724			
researchresearch	0.4466199278831482			
miniaturization	0.4455476403236389			
nsfsupported	0.4448065161705017			
electrochemistry	0.44428539276123047			
informatics	0.442317396402359			
rosehulman	0.4420976936817169			
nist	0.4414243996143341			
sustainability	0.4412764310836792			
nanosciences	0.4405778646469116			
