words	score	chen	\dylan	3rd
christianity	seedwords			
spiritual	seedwords			
religion	seedwords			
prayer	seedwords			
muslims	seedwords			
god	seedwords			
jewish	seedwords			
atheist	0.5920686721801758			
presbyterians	0.5866788625717163			
yahweh	0.5831899642944336			
religions	0.5772062540054321			
mormons	0.573074460029602			
nonmuslims	0.5670762658119202			
judeochristian	0.5610318183898926			
atheists	0.5599689483642578			
teachings	0.5595595240592957			
nonchristian	0.5591771602630615			
catholicism	0.5563464164733887			
islam	0.5488044023513794			
faiths	0.5455608367919922			
spirituality	0.5444852113723755			
nontheistic	0.5427830219268799			
lutherans	0.5422110557556152			
allah	0.5419635772705078			
atheism	0.5416384935379028			
episcopalians	0.5411000847816467			
nonchristians	0.5366111993789673			
scriptures	0.5360230207443237			
islams	0.5329619646072388			
sect	0.5295025110244751			
adherents	0.5254730582237244			
believers	0.5247563123703003			
coptic	0.5216518044471741			
evangelicals	0.5208823084831238			
fundamentalist	0.5165914297103882			
worshipers	0.5165868401527405			
christians	0.5151524543762207			
worshiped	0.5149903893470764			
moslem	0.5124089121818542			
deists	0.5106602311134338			
nonbelievers	0.5105175375938416			
proselytizing	0.5082180500030518			
biblical	0.507219672203064			
worshipped	0.5066725611686707			
sikhism	0.5064219236373901			
buddhists	0.5048855543136597			
koran	0.5039505362510681			
agnostics	0.5032864809036255			
sikhs	0.5011842846870422			
secular	0.5007311105728149			
worshiping	0.4987304210662842			
jew	0.49618634581565857			
deity	0.4951128661632538			
torah	0.49270156025886536			
temples	0.4901733696460724			
beatitudes	0.4898895025253296			
imams	0.4893130660057068			
methodists	0.48783642053604126			
infidels	0.4874694347381592			
animists	0.48581308126449585			
lamic	0.48516467213630676			
orthodox	0.483363538980484			
judeochristianity	0.48308315873146057			
martyrdom	0.48116227984428406			
denomination	0.4797655940055847			
quakers	0.47871261835098267			
religious	0.4771798849105835			
intolerant	0.4763311445713043			
faith	0.47622641921043396			
muslim	0.4759412407875061			
congregationalist	0.47505828738212585			
hinduism	0.4746030271053314			
catholics	0.47423088550567627			
caliph	0.4742048382759094			
cleric	0.4735153317451477			
godly	0.4727821946144104			
hindu	0.47241851687431335			
assyrians	0.47223031520843506			
christs	0.472158819437027			
sephardic	0.4708632826805115			
baptists	0.470357745885849			
prophet	0.47011351585388184			
resurrection	0.4699176549911499			
hasidic	0.46797215938568115			
congregationalists	0.46794822812080383			
repentance	0.46778374910354614			
disciples	0.46657121181488037			
secularism	0.46625012159347534			
leviticus	0.4660872220993042			
buddhism	0.46512171626091003			
worshipping	0.46510761976242065			
clerics	0.46343618631362915			
antichristian	0.46339449286460876			
altars	0.4629703760147095			
jews	0.4627162516117096			
infidel	0.46198374032974243			
followers	0.4618637263774872			
hadhari	0.461005300283432			
anticatholic	0.46085816621780396			
scripture	0.45968809723854065			
persecutes	0.45912662148475647			
humanism	0.4590194821357727			
bigots	0.45860862731933594			
wahhabi	0.45833897590637207			
persecuted	0.45832663774490356			
worship	0.458318829536438			
sikh	0.45732980966567993			
