words	score	chen	\dylan	3rd
greenhouse	seedwords			
hydropower	seedwords			
warming	seedwords			
clean	seedwords			
biofuel	seedwords			
solar	seedwords			
renewable	seedwords			
biomass	0.6360186338424683			
renewables	0.614780604839325			
coalbased	0.6017216444015503			
biofuels	0.5997495651245117			
lowcarbon	0.598236083984375			
geothermal	0.5957494974136353			
emissionfree	0.5854525566101074			
carbonfree	0.5793496370315552			
ethanol	0.5713406801223755			
nonfossil	0.559400200843811			
blomass	0.5572343468666077			
photovoltaics	0.5565527677536011			
nonpolluting	0.5511452555656433			
cleanburning	0.5486830472946167			
emissionsfree	0.541301965713501			
coaltoliquids	0.5390857458114624			
emissions	0.5376623272895813			
nonconventional	0.5347815752029419			
hydro	0.5335249304771423			
newable	0.5318829417228699			
hydrogen	0.5311719179153442			
emission	0.5293841361999512			
cleanerburning	0.5272901654243469			
carbonbased	0.5269969701766968			
nonemitting	0.5244549512863159			
hydrocarbons	0.5197925567626953			
kilowatts	0.5194900035858154			
fossilfuel	0.5153138637542725			
bioenergy	0.5117533206939697			
coalfired	0.509080171585083			
baseload	0.5041530132293701			
coalderived	0.5038813948631287			
noncarbon	0.5029711723327637			
ultraclean	0.49903398752212524			
biodiesel	0.49827706813812256			
fuels	0.4978555738925934			
cleancoal	0.4954378008842468			
switchgrass	0.49461787939071655			
algaebased	0.4905490279197693			
zeroemission	0.4901804029941559			
biorefinery	0.4897410273551941			
biopower	0.48884323239326477			
nocarbon	0.4873303771018982			
proliferationresistant	0.4864909052848816			
microgrids	0.48599931597709656			
windpower	0.4856480360031128			
biomassbased	0.4842679500579834			
fuelcell	0.4841693043708801			
megawatthours	0.4839503765106201			
environmentallyfriendly	0.4812193512916565			
cogeneration	0.4807929992675781			
emitting	0.4784454107284546			
megawatts	0.4781339466571808			
emitted	0.47775715589523315			
photovoltaic	0.47684305906295776			
gigawatts	0.4765530824661255			
methane	0.4740128517150879			
carbon	0.47365427017211914			
carbons	0.4729940891265869			
openloop	0.47275030612945557			
zerocarbon	0.47249966859817505			
oncor	0.4723675549030304			
cellulosic	0.4708768129348755			
turbine	0.47050002217292786			
ccs	0.47024106979370117			
domesticallyproduced	0.46829575300216675			
oxygenated	0.4670322835445404			
microturbines	0.46530336141586304			
emit	0.46455878019332886			
voltaic	0.4644327163696289			
atmos	0.4641515016555786			
hydroelectric	0.46402212977409363			
windgenerated	0.4618949890136719			
ctl	0.46051427721977234			
wind	0.4604301452636719			
xcel	0.46013832092285156			
ethanolbased	0.4594915509223938			
nonhydro	0.4581795334815979			
hydroelectricity	0.45721757411956787			
thermal	0.4561808705329895			
biochemicals	0.45521026849746704			
dioxide	0.45507341623306274			
coaltoliquid	0.4549063742160797			
nonpetroleum	0.4546140432357788			
electricity	0.4540824294090271			
cleaner	0.4475414752960205			
hydrates	0.44753825664520264			
oxygenates	0.4465283751487732			
alcoholbased	0.4463377594947815			
coalfueled	0.44600909948349			
nanotube	0.44554203748703003			
biorefineries	0.4451006352901459			
costcompetitive	0.44447046518325806			
hightemperature	0.44333383440971375			
cellulose	0.4417104423046112			
methanol	0.4381569027900696			
powerhave	0.43749096989631653			
energy	0.43729105591773987			
cookstoves	0.43695884943008423			
hfcs	0.4363473653793335			
