words	score	chen	\dylan	3rd
wilderness	seedwords			
wildlife	seedwords			
park	seedwords			
ecosystems	seedwords			
shore	seedwords			
reserves	seedwords			
habitats	0.5717598795890808			
riparian	0.554662823677063			
mangrove	0.5507401823997498			
watersheds	0.5454115867614746			
ecosystem	0.5355530381202698			
wetlands	0.5337703227996826			
unspoiled	0.5273793935775757			
viewsheds	0.5250139832496643			
wildlands	0.5238415002822876			
rainforests	0.518156886100769			
pristine	0.5178500413894653			
millionacre	0.515900731086731			
estuaries	0.5138547420501709			
grasslands	0.5122225284576416			
marshes	0.5095082521438599			
seashores	0.5088768601417542			
bottomland	0.5083802938461304			
ecological	0.5082520246505737			
shoreline	0.5056851506233215			
canyonlands	0.5054628849029541			
tallgrass	0.5049991607666016			
viewshed	0.5047916173934937			
shorelines	0.49959081411361694			
adirondacks	0.4934791624546051			
nesting	0.49242326617240906			
biodiversity	0.4908570349216461			
shorebirds	0.4896984100341797			
canyons	0.4888828992843628			
ecologically	0.4885682165622711			
freshwater	0.4881286323070526			
estuary	0.48800674080848694			
redwoods	0.4869481027126312			
forests	0.4869202971458435			
estuarine	0.48475712537765503			
coastlines	0.48403656482696533			
parks	0.48148658871650696			
timucuan	0.4801524877548218			
nearshore	0.47849544882774353			
marshland	0.4777619242668152			
yellowstone	0.47606000304222107			
flyway	0.47515422105789185			
coastline	0.4744930565357208			
fauna	0.4742610454559326			
terns	0.4738261103630066			
reefs	0.4733753502368927			
wildemess	0.472459614276886			
mojave	0.47118622064590454			
reservoirs	0.4710575342178345			
undeveloped	0.47075286507606506			
apalachicola	0.47022464871406555			
yellowstones	0.4700896143913269			
landscapes	0.4695821702480316			
marshlands	0.4672916531562805			
dunes	0.4672504663467407			
plover	0.4663708209991455			
noatak	0.4660409688949585			
buffers	0.4659581184387207			
wetland	0.46455228328704834			
aquifers	0.4638194441795349			
conserved	0.46213555335998535			
sonoran	0.46197396516799927			
steelhead	0.46117913722991943			
headwater	0.4611072540283203			
gulfs	0.4605412483215332			
bluestone	0.4599398374557495			
blmmanaged	0.4592755436897278			
egrets	0.4581095576286316			
everglades	0.4560622572898865			
goshawk	0.45579075813293457			
plovers	0.4545935392379761			
pinelands	0.454477459192276			
watershed	0.4541965126991272			
waterfowl	0.4537400007247925			
widlife	0.4528292417526245			
subarctic	0.4527917802333832			
geological	0.45230790972709656			
geysers	0.45179975032806396			
headwaters	0.45057612657546997			
streamside	0.4497169852256775			
refuges	0.4489766061306			
ggnra	0.4484579563140869			
forestlands	0.44801172614097595			
treasures	0.44797298312187195			
barataria	0.44766876101493835			
vegetation	0.44646382331848145			
pinnacles	0.44622454047203064			
seashore	0.4450097382068634			
fisheries	0.44408118724823			
flora	0.4433758854866028			
coasts	0.4428834915161133			
assateague	0.44127801060676575			
warbler	0.43965113162994385			
timberlands	0.43963438272476196			
species	0.4389837384223938			
rainforest	0.43797916173934937			
parklands	0.43793994188308716			
lands	0.43704017996788025			
wildernesses	0.436460942029953			
biospheres	0.43382805585861206			
alsek	0.43333303928375244			
