words	score	chen	\dylan	3rd
yeltsin	seedwords			
russia	seedwords			
baltic	seedwords			
yugoslav	seedwords			
lithuania	seedwords			
soviet	seedwords			
putin	seedwords			
ukraine	seedwords			
russian	seedwords			
baltics	0.703992486000061			
kremlin	0.6332492232322693			
belarus	0.63189297914505			
crimea	0.6235783696174622			
moscows	0.6161314249038696			
ukrainian	0.6138742566108704			
putins	0.6120713949203491			
soviets	0.6085400581359863			
ukraines	0.6074326038360596			
russias	0.6003338098526001			
moldovan	0.5994136929512024			
estonia	0.5965828895568848			
chechnya	0.595835268497467			
ussr	0.5935838222503662			
gorbachev	0.5933858156204224			
moscow	0.5925376415252686			
latvian	0.5823297500610352			
estonians	0.5791164636611938			
kremlins	0.5752062797546387			
ukrainians	0.571483850479126			
moldova	0.5698065757751465			
yeltsins	0.569588840007782			
estonias	0.5668344497680664			
moldavia	0.5661473274230957			
moldovas	0.5637984275817871			
milosevic	0.5609434247016907			
shevardnadze	0.5574420094490051			
latvia	0.5568344593048096			
lukashenka	0.5552386045455933			
croatia	0.5546985268592834			
russians	0.5545806884765625			
riga	0.5538007020950317			
byelorussia	0.5497546195983887			
abkhazia	0.5457340478897095			
estonian	0.5438392162322998			
serbia	0.5434228777885437			
lukashenko	0.5423702597618103			
belarusan	0.5415570139884949			
yugoslavian	0.5414802432060242			
gorbachevs	0.540047287940979			
czarist	0.5379812717437744			
czechoslovakia	0.5365803241729736			
tsarist	0.5353460907936096			
viktor	0.5344535112380981			
prorussian	0.5308404564857483			
lithuanians	0.5303460359573364			
medvedev	0.5280312895774841			
latvians	0.5272754430770874			
lithuanian	0.5229303240776062			
kazakhstan	0.5218275189399719			
azeri	0.521747350692749			
yogoslav	0.5217125415802002			
turkish	0.5209800004959106			
ultranationalists	0.5205857157707214			
chechen	0.519301176071167			
brezhnev	0.5190315246582031			
belgrade	0.5188996195793152			
republics	0.518893301486969			
yugoslavias	0.5188775658607483			
zhirinovsky	0.5171650648117065			
croatias	0.515483021736145			
yugoslavia	0.5132598876953125			
leonid	0.5126880407333374			
belarusian	0.5121493339538574			
landsbergis	0.5107938647270203			
hungary	0.5102056264877319			
yanukovych	0.5100827217102051			
dmitry	0.5088797807693481			
hungarys	0.5084186792373657			
prowestern	0.5074266791343689			
kravchuk	0.5064195394515991			
breakaway	0.5060082077980042			
polands	0.5059223175048828			
azerbaijans	0.5056967735290527			
vytautas	0.5051636695861816			
hungarian	0.5040836334228516			
eduard	0.5040435791015625			
nazarbayev	0.5028400421142578			
separatists	0.5009711384773254			
lithuanias	0.5008003115653992			
kgb	0.5000472068786621			
byelorussian	0.49927571415901184			
stalins	0.4991070032119751			
armenias	0.4987812042236328			
kostunica	0.4986681342124939			
chernomyrdin	0.49700284004211426			
donetsk	0.4969750642776489			
montenegro	0.4964904189109802			
serbs	0.4960719048976898			
uzbekistan	0.4957429766654968			
ultranationalist	0.4953092336654663			
slovenia	0.4952990412712097			
uzbek	0.49514317512512207			
bulgaria	0.49417027831077576			
romanov	0.4934609830379486			
russianbacked	0.49331068992614746			
serbian	0.4926999807357788			
kuchma	0.4912550747394562			
srpska	0.4907497763633728			
imperialist	0.489341676235199			
