words	score	chen	\dylan	3rd
contaminant	seedwords			
safety	seedwords			
toxic	seedwords			
pesticides	seedwords			
toxins	0.7102229595184326			
contaminants	0.6863986849784851			
carcinogens	0.6798721551895142			
cancercausing	0.6685072183609009			
carcinogenic	0.6536347270011902			
pollutants	0.6498258113861084			
chemicals	0.6431788802146912			
contamination	0.6244362592697144			
insecticides	0.616451621055603			
toxicity	0.6109662055969238			
toxics	0.603757917881012			
formaldehyde	0.5984675884246826			
dioxin	0.5906486511230469			
diacetyl	0.5866008996963501			
microbial	0.5846259593963623			
pcbs	0.5833360552787781			
toxin	0.5816830396652222			
pathogens	0.5816403031349182			
exposures	0.5770776271820068			
contaminated	0.569919228553772			
ozonedestroying	0.5685904026031494			
solvents	0.5685125589370728			
carcinogen	0.5667814016342163			
additives	0.565948486328125			
nitrates	0.5644897222518921			
residues	0.561597466468811			
ozonedepleting	0.5587554574012756			
dioxins	0.5583202242851257			
dispersants	0.5572443008422852			
endocrinedisrupting	0.5561277270317078			
chloride	0.5538291931152344			
methylmercury	0.5537558794021606			
leadcontaminated	0.5514415502548218			
arsenic	0.5506014823913574			
chlorine	0.5488256216049194			
microorganisms	0.5459834933280945			
radioactivity	0.5448592901229858			
benzene	0.5436412692070007			
chromium	0.5416713953018188			
neurotoxic	0.5385726690292358			
perchlorate	0.5383554697036743			
herbicides	0.5354825258255005			
combustible	0.5341206789016724			
pesticide	0.533934473991394			
contaminates	0.5331136584281921			
cadmium	0.5315369963645935			
hexavalent	0.531090259552002			
radionuclides	0.5308704972267151			
refrigerants	0.5306638479232788			
disinfection	0.5306063294410706			
pollutant	0.5301643013954163			
ingestion	0.5294978618621826			
pcb	0.5290257334709167			
poisons	0.5288887023925781			
allergens	0.5279262661933899			
ingest	0.5268630385398865			
estrogenic	0.5197402238845825			
neurotoxins	0.5196552276611328			
methyl	0.5192962884902954			
herbicide	0.5188736915588379			
leaching	0.5181757211685181			
vapors	0.5181089639663696			
vocs	0.5173741579055786			
ingested	0.5171242952346802			
bacteria	0.5165960192680359			
toxicants	0.51435786485672			
polychlorinated	0.5137580037117004			
effluent	0.5123630166053772			
bioaccumulate	0.510339617729187			
chlorinated	0.5084172487258911			
hazards	0.5078725218772888			
microorganism	0.5062673687934875			
ammonia	0.5047675967216492			
nontoxic	0.5046132206916809			
pollution	0.5036905407905579			
ingesting	0.5033186078071594			
particulates	0.5022972822189331			
silica	0.502273440361023			
chlorofluorocarbons	0.501620888710022			
tce	0.5010687708854675			
sulfate	0.5006403923034668			
loadings	0.4982244372367859			
cryptosporidium	0.4974440336227417			
mtbes	0.4973430633544922			
residue	0.49708792567253113			
poisonings	0.49536842107772827			
leached	0.4951300621032715			
atrazine	0.4940590262413025			
selenium	0.49403369426727295			
mercury	0.4926673471927643			
spraying	0.4917636811733246			
floatables	0.4911102056503296			
coliform	0.49073341488838196			
contaminating	0.490329772233963			
poisoning	0.4890440106391907			
pathogen	0.48837798833847046			
biphenyls	0.4877490997314453			
iodine	0.48564624786376953			
fungicides	0.4854971766471863			
phthalates	0.4852210283279419			
