words	score	chen	\dylan	3rd
basketball	seedwords			
relay	seedwords			
football	seedwords			
championships	seedwords			
golf	seedwords			
sport	seedwords			
soccer	seedwords			
ncaa	seedwords			
hockey	seedwords			
tournament	seedwords			
olympics	seedwords			
baseball	seedwords			
volleyball	seedwords			
bowl	seedwords			
paralympic	seedwords			
huskers	0.6913074254989624			
tournaments	0.6834872961044312			
softball	0.6798622608184814			
wolverines	0.6511518955230713			
semifinal	0.6377502679824829			
postseason	0.6370216012001038			
naia	0.6268032193183899			
rugby	0.6227222084999084			
scholarathlete	0.6158392429351807			
nbas	0.6148566007614136			
wrestler	0.6126635074615479			
rowing	0.6114078164100647			
clinched	0.6081281900405884			
freestyle	0.6067696809768677			
basketballs	0.6043282747268677			
champs	0.6000407934188843			
nonalliance	0.5992386341094971			
torino	0.5979170799255371			
huskies	0.5953327417373657			
lacrosse	0.5934208631515503			
wrestlers	0.5928252935409546			
lakers	0.5927572250366211			
jayhawks	0.5914963483810425			
championship	0.5907572507858276			
cheerleading	0.5893419981002808			
njcaa	0.5884431600570679			
halfpipe	0.5876774787902832			
luge	0.5873511433601379			
aau	0.587138295173645			
semifinals	0.5858845710754395			
matchup	0.5854941606521606			
paralympics	0.5851899981498718			
nascs	0.5840438604354858			
chamique	0.5837587118148804			
playoff	0.5817397832870483			
pentathlon	0.5815320611000061			
braves	0.5809404850006104			
miaa	0.5804892778396606			
quarterfinals	0.579709529876709			
semipro	0.5773075222969055			
bruins	0.5771816968917847			
nccaa	0.5769319534301758			
nohitter	0.5761400461196899			
golfers	0.5747458338737488			
tball	0.5738677382469177			
linebackers	0.5730621814727783			
invitational	0.5711643695831299			
unbeaten	0.5705381631851196			
golfer	0.5674818754196167			
pga	0.5671005249023438			
scholarathletes	0.5665491819381714			
nfls	0.5657539367675781			
cougars	0.5652869939804077			
allstar	0.5649207830429077			
allamericans	0.5640754699707031			
brookers	0.5640369057655334			
handball	0.5637828707695007			
olympians	0.5625637769699097			
buckeyes	0.5624290108680725			
badminton	0.5621907711029053			
olympian	0.5614629983901978			
conational	0.5614102482795715			
firstteam	0.5595278739929199			
cocaptain	0.5595059990882874			
gophers	0.5589266419410706			
nhl	0.5585467219352722			
shutouts	0.5584150552749634			
goalie	0.5583252310752869			
judo	0.558067262172699			
sports	0.5571712851524353			
mavs	0.5566486120223999			
wnba	0.5565265417098999			
alltournament	0.5560730695724487			
wimbledon	0.5560154914855957			
fastpitch	0.5555387139320374			
bowls	0.5552286505699158			
undefeated	0.5544948577880859			
racquetball	0.554116427898407			
bobsled	0.5536574721336365			
gymnast	0.5533865690231323			
uconn	0.5530641078948975			
grizzlies	0.5527946352958679			
cardinals	0.5524668097496033			
ciaa	0.5511698722839355			
tourney	0.5510566234588623			
knicks	0.5502797365188599			
pennants	0.5499407052993774			
regularseason	0.5496217012405396			
rematch	0.5490044355392456			
steelers	0.5485070943832397			
wildcats	0.5478525757789612			
speedskating	0.5470272302627563			
intercollegiate	0.5445265769958496			
gamecocks	0.543830156326294			
vols	0.5438156723976135			
goldmedal	0.5430969595909119			
slopestyle	0.5430901050567627			
schoolrecord	0.54256272315979			
powerlifting	0.5425378680229187			
threepeat	0.540874719619751			
