words	score	chen	\dylan	3rd
dividend	seedwords			
taxexempt	seedwords			
tax	seedwords			
duty	seedwords			
deduct	seedwords			
deductibility	seedwords			
itemize	seedwords			
deductions	0.6085824966430664			
deduction	0.5936273336410522			
writeoff	0.5626409649848938			
deducted	0.544856607913971			
taxfree	0.5407212376594543			
deducting	0.5373351573944092			
nonitemizers	0.531708836555481			
incometax	0.5187866687774658			
itemizers	0.4980008006095886			
taxable	0.4976804256439209			
amt	0.49452754855155945			
nondeductible	0.4912412166595459			
taxed	0.4838026165962219			
nontaxable	0.4811670780181885			
1986	0.47852587699890137			
iras	0.4741663932800293			
homeoffice	0.45884060859680176			
itemized	0.458223819732666			
pretax	0.45723584294319153			
selfemployed	0.45678991079330444			
taxa	0.45486313104629517			
surtax	0.45212286710739136			
highincome	0.44810551404953003			
disallowance	0.4452609717845917			
aftertax	0.4439478814601898			
penaltyfree	0.4379082918167114			
abovetheline	0.4369710683822632			
bracket	0.42973244190216064			
ira	0.4272829294204712			
passthrough	0.42687922716140747			
ubit	0.4266606271266937			
pay	0.4257879853248596			
filers	0.42476534843444824			
flowthrough	0.423252135515213			
writeoffs	0.4231937527656555			
expensing	0.422372043132782			
amortized	0.42227309942245483			
income	0.4210537075996399			
refund	0.42090386152267456			
itemizes	0.4191416800022125			
subsidy	0.4153886139392853			
expensed	0.4146882891654968			
itemizing	0.4126967787742615			
nonrefundable	0.40948593616485596			
taxdeductible	0.4091638922691345			
taxation	0.4090384244918823			
refundable	0.4089038372039795			
upperincome	0.4082326292991638			
taxwhich	0.40632951259613037			
taxes	0.40518271923065186			
taxdeferred	0.40485233068466187			
dividends	0.40463781356811523			
patronagesourced	0.4028245210647583			
amortize	0.4024737477302551			
capitalgains	0.4022411108016968			
noncorporate	0.4008164405822754			
rollovers	0.40074318647384644			
nonqualified	0.3999825119972229			
marriagepenalty	0.3992849588394165			
filer	0.3987961411476135			
taxand	0.3976844549179077			
multimillionaires	0.39508897066116333			
savers	0.39417168498039246			
refundability	0.39293116331100464			
retroactively	0.39191168546676636			
bonus	0.3914850354194641			
untaxed	0.38896411657333374			
deductionfor	0.38876694440841675			
exemptionthe	0.38872694969177246			
decedents	0.38845744729042053			
distributions	0.3873794674873352			
superwealthy	0.3869386911392212			
posttax	0.3850371837615967			
nsos	0.38456737995147705			
higherincome	0.38449668884277344			
foreignearned	0.38432520627975464			
inheritances	0.38432449102401733			
depreciate	0.3841135501861572			
lookthrough	0.38302963972091675			
employerpaid	0.382236123085022			
disallowed	0.3812156021595001			
taxthat	0.38121557235717773			
rebates	0.38003501296043396			
passthroughs	0.38001465797424316			
payrolltax	0.3795933127403259			
deferral	0.3794419765472412			
deductible	0.37915489077568054			
eic	0.3790768086910248			
taxso	0.3790280818939209			
depreciation	0.37862706184387207			
proprietorships	0.3760817050933838			
expatriated	0.3757418394088745			
employerprovided	0.37439876794815063			
taxfavored	0.37344351410865784			
doubletax	0.37320032715797424			
scorporations	0.37295156717300415			
taxability	0.372917115688324			
deferrals	0.37228453159332275			
withholdings	0.37227708101272583			
surcharge	0.37201014161109924			
