words	score	chen	\dylan	3rd
isis	seedwords			
terrorist	seedwords			
hezbollah	seedwords			
hamas	seedwords			
taliban	seedwords			
terrorism	seedwords			
killing	seedwords			
isil	0.6972656846046448			
alqaida	0.6836545467376709			
terrorists	0.6458414793014526			
terror	0.6449205875396729			
alqaeda	0.6325220465660095			
hezbollahs	0.6291890144348145			
aiqaeda	0.6281402111053467			
jihadist	0.6222021579742432			
hizbollah	0.6207407116889954			
militants	0.6065531373023987			
insurgents	0.6057604551315308			
alshabaab	0.6032453775405884			
islamist	0.5934532284736633			
qaeda	0.5934439897537231			
alnusra	0.5893657207489014			
militias	0.585791289806366			
militant	0.5834827423095703			
insurgent	0.5822805166244507			
iranianbacked	0.5797216296195984			
jihadists	0.5794494152069092			
alqaidas	0.5770549774169922			
rebels	0.5746945142745972			
jihadi	0.5742893815040588			
isils	0.5679821372032166			
farc	0.566274881362915			
iraniansupported	0.5650748610496521			
rebel	0.5620216727256775			
aqap	0.5599130392074585			
houthis	0.556857168674469			
mujahedin	0.5567300319671631			
murderous	0.5525697469711304			
isiss	0.551642119884491			
mujaheddin	0.5508870482444763			
hizballah	0.5496572256088257			
kla	0.5490125417709351			
paramilitary	0.5487825870513916			
bloodthirsty	0.5458532571792603			
narcoterrorist	0.5453447103500366			
jingaweit	0.5423504114151001			
ansar	0.5413882732391357			
narcoterrorists	0.5408092141151428			
sympathizers	0.5403403043746948			
insurgency	0.5386388301849365			
qasem	0.5346605777740479			
jihad	0.534393310546875			
alsadrs	0.5328102707862854			
pkk	0.5315439105033875			
boko	0.5308372974395752			
nasrallah	0.5297937393188477			
soleimani	0.5288578271865845			
alqalda	0.5278261303901672			
talibans	0.5272942781448364			
pakistan	0.5267361402511597			
paramilitaries	0.5253582000732422			
fundamentalist	0.5243142247200012			
haram	0.5232124328613281			
extremists	0.5219435095787048			
janjaweed	0.5207372903823853			
qadhafis	0.5202553868293762			
irgc	0.5198028087615967			
alislam	0.5157966613769531			
extremist	0.515476644039154			
fanatical	0.515371561050415			
harams	0.5150246024131775			
alzarqawi	0.5145907402038574			
tanzim	0.5137439966201782			
jemaah	0.5122406482696533			
lebanonbased	0.5107937455177307			
iran	0.5082368850708008			
infiltrators	0.5078896284103394			
assad	0.5068957209587097			
islamic	0.5058687925338745			
ltte	0.5030502676963806			
qadhafi	0.502953827381134			
mujahideen	0.5024011731147766			
guerrillas	0.501830518245697			
etim	0.49986326694488525			
lra	0.4978846311569214			
syria	0.49727144837379456			
houthi	0.4956108331680298			
hamass	0.4955618977546692			
pakistanibacked	0.4947535991668701			
khaled	0.4944988489151001			
mujahidin	0.49346399307250977			
osama	0.4930216073989868			
fanatics	0.49294546246528625			
baathists	0.49017655849456787			
nidal	0.48813730478286743			
radicalization	0.48727115988731384			
separatist	0.48506399989128113			
wellarmed	0.48453500866889954			
asaib	0.4841376543045044			
narcotrafficking	0.4840894341468811			
ruf	0.483692467212677			
assads	0.48286375403404236			
almahdi	0.4826362133026123			
syrias	0.4816986322402954			
strongholds	0.4806668162345886			
yemen	0.48040491342544556			
islamists	0.4801115393638611			
