words	score	chen	\dylan	3rd
export	seedwords			
embargo	seedwords			
trade	seedwords			
antidumping	seedwords			
import	seedwords			
tariff	seedwords			
wto	seedwords			
dutyfree	seedwords			
nafta	seedwords			
gatt	0.6593848466873169			
tariffs	0.6474381685256958			
imports	0.6406828165054321			
countervailing	0.6014536619186401			
exports	0.5864827036857605			
tarifffree	0.5634446144104004			
transshipments	0.5533497929573059			
exporters	0.5530036091804504			
fta	0.5499255657196045			
cafta	0.5280097723007202			
tradedistorting	0.5267888903617859			
tpp	0.5214895009994507			
imported	0.5150611400604248			
gsp	0.5145479440689087			
uruguay	0.513231635093689			
transshipped	0.510857105255127			
ec	0.5075950622558594			
embargoes	0.5052250623703003			
textiles	0.503176212310791			
marketopening	0.49872466921806335			
eu	0.49708062410354614			
protectionist	0.4966203272342682			
tpa	0.4963015019893646			
softwood	0.4922877848148346			
gspeligible	0.4851287603378296			
usproduced	0.4834359586238861			
ustr	0.4816703796386719			
quotas	0.4807550311088562			
tariffrate	0.48057428002357483			
cvds	0.47968876361846924			
nontariff	0.47906494140625			
nonmfn	0.47858160734176636			
reexport	0.47516870498657227			
nonmarket	0.4714818298816681			
apparels	0.4711713194847107			
pntr	0.47065967321395874			
wtos	0.4700305461883545			
cbi	0.46973395347595215			
exported	0.4676128923892975			
cfta	0.4673192501068115			
prisonmade	0.46706122159957886			
freetrade	0.46684151887893677			
retaliatory	0.46678146719932556			
usmca	0.4661983847618103			
quotafree	0.46259430050849915			
phytosanitary	0.4625425338745117			
transshipping	0.45971906185150146			
prisonlabor	0.4583529829978943			
slavelabor	0.45639628171920776			
atpa	0.45539000630378723			
octg	0.4548487663269043			
trading	0.45449259877204895			
transshipment	0.45206689834594727			
china	0.45166289806365967			
usmanufactured	0.4513888657093048			
exportsand	0.44962453842163086			
canadas	0.44871097803115845			
mfn	0.44744741916656494			
exportation	0.44709187746047974			
usmade	0.44613736867904663			
drawback	0.44601601362228394			
exporting	0.44534218311309814			
multifiber	0.44532930850982666			
cocom	0.4438692331314087			
exporter	0.44017618894577026			
importation	0.43978351354599			
avocados	0.4384622871875763			
counterveiling	0.435036838054657			
canadahave	0.43425512313842773			
itc	0.4341776669025421			
protectionism	0.43220892548561096			
fsc	0.43148133158683777			
reexported	0.4298361539840698			
mpv	0.428705632686615			
eus	0.4285305142402649			
fairtrade	0.4280223250389099			
gat	0.42798686027526855			
importers	0.4273589551448822			
marketdistorting	0.4262927174568176			
nme	0.42569392919540405			
chile	0.4253246784210205			
gattillegal	0.42481812834739685			
drcafta	0.42408064007759094			
naftalike	0.42262589931488037			
oilseeds	0.42097535729408264			
thirdcountry	0.41902536153793335			
apparel	0.4176939129829407			
foreignmade	0.4162123203277588			
ftas	0.4159829616546631			
treatmentmostfavorednation	0.41567349433898926			
autos	0.41501080989837646			
adcvd	0.4138984680175781			
marketaccess	0.4138689637184143			
fructose	0.4133521318435669			
dmts	0.41301795840263367			
caftadr	0.41173315048217773			
statesmanufactured	0.41157668828964233			
importer	0.41156211495399475			
reexports	0.41064387559890747			
sanctions	0.4105343222618103			
