words	score	chen	\dylan	3rd
coal	seedwords			
gas	seedwords			
gasoline	seedwords			
oil	seedwords			
diesel	seedwords			
traditional	seedwords			
refinery	seedwords			
energy	seedwords			
minerals	seedwords			
petroleum	seedwords			
fuels	seedwords			
hydrocarbons	0.6314780116081238			
lignite	0.5608305931091309			
biofuels	0.559451162815094			
refineries	0.5547724366188049			
lowsulfur	0.5532032251358032			
ethanol	0.5530472993850708			
fueland	0.5504107475280762			
fuel	0.5464147925376892			
refiners	0.5428234338760376			
feedstock	0.5393986105918884			
naturalgas	0.5384904742240906			
cleanerburning	0.5357286334037781			
crude	0.5297132730484009			
oiland	0.520119845867157			
highsulfur	0.5175038576126099			
gasolines	0.5144679546356201			
refining	0.51023930311203			
oilthe	0.5087689161300659			
propane	0.5079694986343384			
cleanburning	0.5078839659690857			
lubricants	0.5054358243942261			
methanol	0.5032170414924622			
aromatic	0.5021376013755798			
petroleumbased	0.5005244016647339			
petrochemical	0.49887654185295105			
nonpetroleum	0.49820005893707275			
biodiesel	0.4956058859825134			
hydrocarbon	0.4955095648765564			
coals	0.49346640706062317			
mtbefree	0.4889605939388275			
ethanolbased	0.48779428005218506			
electricity	0.48334068059921265			
liquids	0.48201918601989746			
lubricating	0.4780930280685425			
feedstocks	0.4772500991821289			
wellhead	0.47672826051712036			
biofuel	0.47665929794311523			
domesticallyproduced	0.47543221712112427			
perbarrel	0.4739893078804016			
hydropower	0.4737264811992645			
oils	0.4731489419937134			
coalbased	0.46948128938674927			
petrochemicals	0.46903684735298157			
biodegradable	0.4688710570335388			
diesels	0.46715986728668213			
stoves	0.4670732319355011			
petroleumthe	0.46701258420944214			
oxygenate	0.4663209617137909			
subbituminous	0.4652702808380127			
hydrates	0.4647486209869385			
coking	0.4643706679344177			
hexafluoride	0.46429553627967834			
nonfuel	0.4615083336830139			
fracking	0.4581851661205292			
nonconventional	0.45766398310661316			
coaltoliquids	0.457175612449646			
gasify	0.4571686089038849			
fuelsand	0.4556478261947632			
carbonbased	0.4555017352104187			
renewables	0.45447713136672974			
oilthat	0.4541991055011749			
pump	0.45261916518211365			
coalto	0.4522802233695984			
environmentallyfriendly	0.4519161581993103			
oxygenates	0.45125412940979004			
cng	0.45099204778671265			
chlorine	0.4504850208759308			
gasin	0.4503639340400696			
nonpolluting	0.4500731825828552			
hydro	0.4496447741985321			
leaded	0.4496130347251892			
electrons	0.4489491283893585			
aromatics	0.44828903675079346			
refrigerants	0.4470023512840271			
biomass	0.4452361464500427			
pellets	0.4445520043373108			
distillates	0.4440975487232208			
crudes	0.44389814138412476			
nonpetroleumbased	0.4438510835170746			
desulfurization	0.4428686201572418			
btu	0.4417414963245392			
nonemitting	0.4412720799446106			
ammonia	0.44033747911453247			
titanium	0.43993496894836426			
liquefy	0.43984347581863403			
costcompetitive	0.438641220331192			
nonrenewable	0.4383412003517151			
smelters	0.43759414553642273			
gasohol	0.4372468590736389			
oilbased	0.43692001700401306			
cellulose	0.4365922808647156			
lowrank	0.43626952171325684			
nontoxic	0.4352950155735016			
biodiesels	0.43520742654800415			
slurry	0.43475911021232605			
ores	0.4342957139015198			
etbe	0.4342905282974243			
powerplants	0.4329102039337158			
shale	0.4328176975250244			
rareearth	0.4326449930667877			
