words	score	chen	\dylan	3rd
transport	seedwords			
transportation	seedwords			
airline	seedwords			
railroads	seedwords			
transit	seedwords			
highway	seedwords			
flights	seedwords			
motorcycle	seedwords			
vehicle	seedwords			
traffic	seedwords			
aviation	seedwords			
airport	seedwords			
trains	seedwords			
rail	0.6125932335853577			
ferries	0.5930718183517456			
commuter	0.5768377780914307			
freight	0.5753164887428284			
airports	0.5550802946090698			
motorcoaches	0.5447447299957275			
passengercarrying	0.5443977117538452			
transits	0.5441994071006775			
roadways	0.5310090184211731			
metrorail	0.5269297957420349			
motorcoach	0.5233578681945801			
airways	0.5166394710540771			
railcars	0.5117391347885132			
metrolink	0.5115105509757996			
railway	0.5098649263381958			
railways	0.5096299648284912			
metronorth	0.5078005194664001			
highways	0.5074623823165894			
roadway	0.5067978501319885			
busses	0.5067797899246216			
overtheroad	0.506479024887085			
enplanements	0.5046927332878113			
interstates	0.503545880317688			
commuters	0.501288890838623			
emplanements	0.4982440769672394			
amtrak	0.49818557500839233			
freeways	0.4962082505226135			
rails	0.49267077445983887			
hydrofoils	0.49256545305252075			
allcargo	0.4922596216201782			
passenger	0.4908425509929657			
motorists	0.4893946051597595			
pedestrians	0.48864755034446716			
routes	0.48834505677223206			
buses	0.4883221983909607			
trucking	0.48746708035469055			
metrobus	0.4859825372695923			
longhaul	0.4826886057853699			
airiine	0.4801272749900818			
trolley	0.47796982526779175			
cargo	0.47606325149536133			
passengers	0.4758565425872803			
sixpassenger	0.4745940566062927			
nonmotorized	0.4707716107368469			
vans	0.46980899572372437			
eastbound	0.46863794326782227			
collisions	0.4655642509460449			
railcar	0.4654074013233185			
jetliners	0.4650600552558899			
metra	0.4641953706741333			
transitrelated	0.46219512820243835			
schoolbuses	0.46177396178245544			
transports	0.4615713059902191			
barges	0.45981183648109436			
levitating	0.4588931202888489			
pedestrian	0.45880621671676636			
congested	0.4587929844856262			
tractortrailer	0.45748406648635864			
airlines	0.45691052079200745			
subways	0.45676469802856445			
shorthaul	0.45650941133499146			
lcvs	0.4562484622001648			
conrail	0.4559117555618286			
acela	0.45579904317855835			
bicycle	0.455472856760025			
airliners	0.45501887798309326			
trackage	0.4537980556488037			
heathrow	0.4526219367980957			
westbound	0.45135313272476196			
boardings	0.4502868056297302			
trolleys	0.4497004747390747			
taxis	0.44894546270370483			
taxiways	0.4485973119735718			
levitated	0.44852524995803833			
rerouted	0.44836729764938354			
railroad	0.448199987411499			
runways	0.44814181327819824			
congestion	0.44803547859191895			
airine	0.44798943400382996			
intersections	0.4471758306026459			
dfw	0.4471370577812195			
expressways	0.44703418016433716			
rushhour	0.4451136887073517			
paratransit	0.4444853663444519			
barge	0.4441707134246826			
vehicular	0.4435390532016754			
forhire	0.4427563548088074			
hov	0.4424947500228882			
skyways	0.4424419701099396			
shortline	0.44155600666999817			
vmt	0.44148772954940796			
ferryboat	0.43920886516571045			
senger	0.43873131275177			
deplane	0.43866026401519775			
subway	0.4382016062736511			
derailments	0.4378807544708252			
ferry	0.4376881718635559			
lanes	0.4368039071559906			
highoccupancyvehicle	0.43647268414497375			
bwi	0.4363120198249817			
