words	score	chen	\dylan	3rd
cemeteries	seedwords			
veteran	seedwords			
sacrifice	seedwords			
prisonerofwar	seedwords			
memorials	seedwords			
veterans	seedwords			
veteransand	0.5341454744338989			
heroes	0.51420658826828			
missinginaction	0.5140385627746582			
memorial	0.5036602020263672			
cemetery	0.4932551383972168			
pows	0.47703683376312256			
interred	0.4620988965034485			
combatwounded	0.45947158336639404			
heros	0.4584755003452301			
gravesites	0.45733869075775146			
veteransa	0.4526318609714508			
sacrifices	0.45257776975631714			
pow	0.4401076138019562			
hmong	0.4399128556251526			
nonveterans	0.43826529383659363			
burials	0.43800175189971924			
interment	0.4348209500312805			
veteranswho	0.43466123938560486			
laohmong	0.43182459473609924			
mias	0.43150395154953003			
headstone	0.4292694628238678			
veteranse	0.42920854687690735			
veteransmany	0.4289717674255371			
powmias	0.42853015661239624			
filipinos	0.4280008375644684			
prisonersofwar	0.4253350794315338			
gravesite	0.4242399334907532			
servicemen	0.4228440225124359			
interments	0.4225650727748871			
punchbowl	0.4221375286579132			
servicemembers	0.421657532453537			
veteransthe	0.4216279685497284			
powmia	0.41991275548934937			
comrades	0.41723424196243286			
sacrificed	0.41672539710998535			
gallantly	0.4165787100791931			
uso	0.4154662787914276			
afghanistanall	0.4140858054161072			
caskets	0.4138765037059784			
erans	0.4138595461845398			
monuments	0.40980538725852966			
headstones	0.40968525409698486			
columbarium	0.4091188311576843			
vets	0.4086545705795288			
oef	0.4085022211074829			
baguio	0.4056299924850464			
vietnam	0.40458911657333374			
cemetary	0.40421342849731445			
veteransveterans	0.4029403030872345			
japaneseamericans	0.40168410539627075			
comradesinarms	0.400590181350708			
veteranswhether	0.40056854486465454			
veteransthose	0.3984069228172302			
graveyards	0.3976060152053833			
nisei	0.39739277958869934			
gis	0.3970385789871216			
vietnan	0.3964020311832428			
exprisoners	0.39638394117355347			
veteransnot	0.3955594599246979			
wwi	0.39530855417251587			
vietnamera	0.3938862085342407			
hero	0.3938164710998535			
doughboy	0.39221981167793274			
monument	0.3919726610183716			
wwii	0.39149409532546997			
vietman	0.3914697468280792			
eran	0.39106646180152893			
internees	0.3904622197151184			
laos	0.3862195312976837			
andersonville	0.38401782512664795			
doughboys	0.38354432582855225			
coffins	0.38278084993362427			
nonactiveduty	0.38264200091362			
servicemember	0.3800813555717468			
valor	0.3796027898788452			
bravery	0.3781929314136505			
abmc	0.3781517744064331			
flagraising	0.37808728218078613			
serviceman	0.3775125741958618			
fallen	0.37733858823776245			
iiera	0.37691712379455566			
lafayetteescadrille	0.37684550881385803			
cboc	0.3753509521484375			
buchenwald	0.3750731945037842			
serviceperson	0.374228835105896			
veteranswith	0.37368637323379517			
servicepeople	0.37351375818252563			
monumentthe	0.373440146446228			
selfsacrifice	0.37172162532806396			
buckles	0.37129804491996765			
tomb	0.37081974744796753			
indochina	0.3706703782081604			
darel	0.3703324794769287			
gravestones	0.3692696988582611			
odva	0.36788538098335266			
dogtags	0.36785387992858887			
mausoleum	0.3672478199005127			
reservists	0.36573177576065063			
soldiers	0.3652847409248352			
remembrance	0.36477065086364746			
