words	score	chen	\dylan	3rd
vietnamese	seedwords			
communist	seedwords			
vietnam	seedwords			
korean	0.5842528343200684			
laos	0.5598413944244385			
hanoi	0.5526494979858398			
lao	0.5292132496833801			
laotian	0.5275213718414307			
pathet	0.524943470954895			
vietnams	0.5081767439842224			
saigon	0.4954797327518463			
communists	0.49502986669540405			
indochina	0.49156466126441956			
montagnards	0.4883035123348236			
viet	0.48001253604888916			
hoa	0.47289490699768066			
montagnard	0.4723978638648987			
korea	0.46979478001594543			
chinese	0.46732717752456665			
laotians	0.4624130129814148			
phu	0.45663201808929443			
stalinist	0.45291683077812195			
fascist	0.4417838752269745			
sovietbacked	0.4394047260284424			
koreans	0.43878793716430664			
pows	0.4348258376121521			
quang	0.4329834580421448			
hanois	0.431582510471344			
ninh	0.4288189113140106			
hmong	0.4239274859428406			
manchuria	0.42038917541503906			
totalitarian	0.41678065061569214			
cambodia	0.4143294095993042			
sandinista	0.4129028618335724			
gulags	0.4121054708957672			
cambodian	0.41110193729400635			
tribespeople	0.4097917675971985			
ngai	0.4079233407974243			
sanh	0.40767085552215576			
japanese	0.40731579065322876			
vietcong	0.4054838716983795			
prc	0.40223199129104614			
china	0.4019308090209961			
namese	0.4006568193435669			
cuban	0.3990856111049652			
gulag	0.3987733721733093			
minh	0.3975980877876282			
fukien	0.3968200385570526			
nazi	0.395387202501297			
czechoslovakia	0.3951961100101471			
uighers	0.3905225992202759			
captivity	0.39028769731521606			
cuba	0.3900606632232666			
chechen	0.3898449242115021			
oppressive	0.38981813192367554			
uzbek	0.38769030570983887			
dissident	0.38702523708343506			
zedong	0.38604867458343506			
communistcontrolled	0.38597404956817627			
hmongs	0.38589006662368774			
pleiku	0.3852764368057251			
dak	0.38440385460853577			
chinain	0.3842046856880188			
tiananmen	0.38257062435150146			
tong	0.381628155708313			
imprisons	0.381512314081192			
repressive	0.38143157958984375			
khe	0.3792088031768799			
koreas	0.37881284952163696			
noncommunist	0.37837302684783936			
nguyen	0.3775967061519623			
tibets	0.3747205138206482			
pow	0.3742213547229767			
buchenwald	0.373856782913208			
jungles	0.3736448287963867			
beijing	0.37344425916671753			
repressed	0.37317344546318054			
granma	0.37286919355392456			
kaishek	0.3728235960006714			
qing	0.3721538484096527			
moscows	0.3721396327018738			
spratlys	0.3717398941516876			
burma	0.37159019708633423			
vietnan	0.3708067536354065			
tibetans	0.37077781558036804			
dmz	0.37010645866394043			
marxist	0.3694670796394348			
serbian	0.3686487078666687			
sudanese	0.36818334460258484			
prisonerofwar	0.3680065870285034			
slavs	0.3676075041294098			
duc	0.36724087595939636			
commandos	0.36680692434310913			
tibet	0.3667534589767456			
maoist	0.3664082884788513			
philippines	0.36630576848983765			
phuoc	0.36614087224006653			
thich	0.3658307194709778			
soviets	0.365585058927536			
mongolian	0.36533790826797485			
tortures	0.36508268117904663			
represses	0.36503541469573975			
paracel	0.36272290349006653			
