words	score	chen	\dylan	3rd
elections	seedwords			
ballot	seedwords			
campaign	seedwords			
electoral	seedwords			
polls	seedwords			
voters	seedwords			
delegates	seedwords			
presidential	seedwords			
vote	seedwords			
election	0.6817436218261719			
electorate	0.6093266606330872			
ballots	0.5739173889160156			
referendum	0.5414561033248901			
balloting	0.5357452630996704			
primaries	0.5253627896308899			
electors	0.5185859799385071			
referenda	0.5150255560874939			
plebiscites	0.4927152991294861			
referendums	0.4874258041381836			
reelection	0.48557397723197937			
electionsthe	0.48185163736343384			
candidates	0.47967085242271423			
plebiscite	0.4775009751319885			
voter	0.4772767722606659			
plurality	0.47506266832351685			
nonvoters	0.4724583923816681			
secretballot	0.46635162830352783			
termlimit	0.4614320695400238			
votingage	0.4600650668144226			
incumbents	0.4540308713912964			
votebymail	0.45366156101226807			
voting	0.45308494567871094			
electionthe	0.44997504353523254			
disenfranchise	0.4377151131629944			
votes	0.4371400475502014			
candidate	0.43652933835983276			
elect	0.4334564805030823			
precincts	0.4334016740322113			
electionsand	0.4268028140068054			
redistrict	0.42637327313423157			
undervotes	0.42536497116088867			
novembers	0.42429983615875244			
offyear	0.42313820123672485			
reelect	0.422391414642334			
landslide	0.418146550655365			
polling	0.41772305965423584			
nonpresidential	0.4127744138240814			
voteand	0.411893367767334			
disenfranchising	0.4118344187736511			
unopposed	0.4094683527946472			
disenfranchises	0.4090777635574341			
electionin	0.4064345359802246			
campaigns	0.406162828207016			
electionnot	0.40433579683303833			
redistricting	0.4018980860710144			
gubernatorial	0.40097880363464355			
overvotes	0.39764219522476196			
unelect	0.3958571255207062			
annulled	0.393987774848938			
shaysmeehan	0.3924890458583832			
enfranchising	0.3900552988052368			
officeholders	0.3896167278289795			
candidacy	0.3896031975746155			
reapportionment	0.38910722732543945			
electionthey	0.3881549835205078			
procommonwealth	0.387565016746521			
nld	0.38694047927856445			
tallies	0.38665881752967834			
faithless	0.38662397861480713			
mccainfeingold	0.38387101888656616			
voteto	0.3837295472621918			
reapportioned	0.3826836347579956			
electionan	0.3807789981365204			
votea	0.37959641218185425			
enfranchise	0.379485547542572			
undervote	0.3789687156677246			
candidacies	0.37700289487838745			
gerrymandering	0.37482601404190063			
challengers	0.3743879199028015			
poll	0.373649001121521			
millionvote	0.37307149171829224			
checkoff	0.3726205825805664			
cvu	0.37248194217681885			
candidatesand	0.37207651138305664			
registrar	0.3692561984062195			
purges	0.3679136633872986			
motorvoter	0.36751478910446167			
votersthat	0.3674788475036621			
elector	0.36575931310653687			
partys	0.36547166109085083			
reelected	0.3652830123901367			
irregularities	0.365026593208313			
carterford	0.3622364401817322			
incumbency	0.36195996403694153			
mayoral	0.36157602071762085			
disenfranchisement	0.3608326315879822			
votethat	0.36024871468544006			
electionthat	0.3594611883163452			
uocava	0.35785621404647827			
votegetters	0.3568735420703888			
carterbaker	0.35649678111076355			
yanukovich	0.35646265745162964			
superpacs	0.35582321882247925			
impeachment	0.3540065884590149			
electionand	0.3531358540058136			
hava	0.35243600606918335			
party	0.3523467183113098			
mailin	0.3520681858062744			
writein	0.351652055978775			
