words	score	chen	\dylan	3rd
recycling	seedwords			
waste	seedwords			
wastes	0.563936710357666			
recycle	0.5401648879051208			
composting	0.5108959674835205			
landfills	0.4596565365791321			
landfilled	0.45848768949508667			
ewaste	0.44874638319015503			
sludge	0.4441350996494293			
recyclables	0.4313142001628876			
actinide	0.4300057291984558			
recyclable	0.42894646525382996			
incineration	0.42668622732162476			
actinides	0.4259442687034607			
mercurycontaining	0.4232887625694275			
transmutation	0.4220118522644043			
landfill	0.4204138517379761			
incinerators	0.42009204626083374			
recycles	0.41575491428375244			
reuse	0.4111509323120117			
nonhazardous	0.4087476432323456			
landfilling	0.4083709716796875			
wastesites	0.40803849697113037			
wastestream	0.4047910273075104			
leadacid	0.40118318796157837			
sewage	0.392032653093338			
grouting	0.391460120677948			
cleanup	0.3911057114601135			
recycled	0.38964906334877014			
litter	0.38834911584854126			
rechargeable	0.3846648335456848			
polystyrene	0.37911754846572876			
pretreatment	0.3716243505477905			
gnep	0.3711879849433899			
oxide	0.3707207143306732			
vitrification	0.36650481820106506			
trash	0.36594653129577637			
superfund	0.36402618885040283			
postconsumer	0.3626134395599365			
emission	0.3620172441005707			
msw	0.3614617884159088			
disposing	0.36136746406555176			
byproducts	0.3597099781036377			
plastics	0.35851240158081055			
composted	0.35749107599258423			
toxics	0.3565647602081299			
recycler	0.3542000949382782			
leaching	0.3537806272506714			
curbside	0.3537779152393341			
petcoke	0.3528320789337158			
amwtp	0.3519952893257141			
garbage	0.3509206771850586			
wasteand	0.35055163502693176			
leachate	0.35017263889312744			
nicad	0.34924188256263733			
nonpoint	0.3487870693206787			
bottlers	0.3486666679382324			
manure	0.34824731945991516			
reprocessing	0.34699690341949463			
emissions	0.3469908833503723			
polychlorinated	0.3469192683696747			
biodegradable	0.3463292419910431			
filtration	0.3458646535873413			
watersense	0.34548553824424744			
storing	0.34517547488212585			
wastewater	0.34465402364730835			
radioactive	0.3425249457359314			
biogas	0.3418998122215271			
reused	0.3416435420513153			
nickelcadmium	0.3409426808357239			
reusing	0.33983689546585083			
recyling	0.33839863538742065			
smelters	0.3374411463737488			
hanfords	0.33742985129356384			
pollutants	0.3374023735523224			
emitting	0.33739161491394043			
pcb	0.33728426694869995			
waster	0.33638936281204224			
wastetoenergy	0.33579376339912415			
incinerator	0.3355507552623749			
energy	0.33509528636932373			
fuel	0.3326616585254669			
packaging	0.3321332335472107			
cleaning	0.33163970708847046			
ccrs	0.331559419631958			
vartega	0.3315221071243286			
duplication	0.331358402967453			
oakgrove	0.3308921158313751			
vitrified	0.33058226108551025			
proliferationresistant	0.33029818534851074			
combustion	0.3300968408584595			
nitrates	0.3294021487236023			
wnoc	0.32882678508758545			
brownfields	0.3287017345428467			
ardous	0.32837235927581787			
dumping	0.32785162329673767			
effluent	0.3277352750301361			
ash	0.3272341191768646			
residuals	0.32707253098487854			
singleuse	0.3270086646080017			
dera	0.3267265558242798			
sequestering	0.3258485198020935			
