words	score	chen	\dylan	3rd
earning	seedwords			
employerprovided	seedwords			
welfare	seedwords			
earnings	seedwords			
salary	seedwords			
wage	seedwords			
retirement	seedwords			
retiree	seedwords			
compensable	seedwords			
pension	seedwords			
salaried	0.538599967956543			
pensioner	0.5199092626571655			
employerpaid	0.5057979822158813			
annuity	0.5038184523582458			
retirees	0.5014631748199463			
reemployed	0.48972243070602417			
eamings	0.48540711402893066			
annuities	0.483645498752594			
wages	0.4829537272453308			
employersponsored	0.4770485758781433			
income	0.4663633108139038			
unionnegotiated	0.46165013313293457			
earns	0.45750731229782104			
incomes	0.4558604657649994			
payout	0.45526278018951416			
hourly	0.4525875151157379			
highestpaid	0.4480971097946167			
pensiona	0.4453112483024597			
nonqualified	0.44244879484176636			
minimumwage	0.43753713369369507			
postretirement	0.4328621029853821			
incometo	0.43235132098197937			
preretirement	0.429240345954895			
ayear	0.42909565567970276			
sixfigure	0.4284512400627136			
aftertax	0.42800986766815186			
pensions	0.4230498671531677			
salaries	0.41981953382492065			
garnished	0.41872769594192505			
povertylevel	0.4185340404510498			
annuitants	0.4184088110923767			
fica	0.4179828464984894			
wageearners	0.41795358061790466			
prefund	0.41745054721832275			
retirements	0.417120099067688			
accrues	0.41422224044799805			
iras	0.413517028093338			
nonworkers	0.41339021921157837			
pretax	0.41289594769477844			
eam	0.41172078251838684			
tirement	0.4108262360095978			
bonuses	0.4097162187099457			
deducted	0.4090314507484436			
computation	0.40686410665512085			
taaeligible	0.4064922630786896			
pensioners	0.4049994945526123			
lowestpaid	0.4049496352672577			
lowerwage	0.4048207104206085			
lowerpaid	0.4047244191169739			
reversions	0.4046769440174103			
passbook	0.4041003882884979			
nonfarm	0.40406864881515503			
anhour	0.40332484245300293			
payouts	0.4021947979927063			
lowpaid	0.3995884656906128			
employerbased	0.39879846572875977			
incomethat	0.3970890939235687			
ssdi	0.3962968587875366			
wep	0.39551639556884766			
timeandahalf	0.3947237730026245			
benefitsthe	0.3944327235221863			
benefits	0.39204704761505127			
accrued	0.3919283151626587			
nonwage	0.3899770975112915			
payroll	0.38959360122680664			
theaverage	0.38913971185684204			
garnishment	0.3885738253593445			
nonsupervisory	0.3878180682659149			
garnish	0.38703274726867676			
selfemployment	0.386807918548584			
vesting	0.3867807686328888			
premium	0.3864806592464447			
savings	0.3854997158050537			
profitsharing	0.3854367136955261			
taxfree	0.38453811407089233			
accruing	0.38393017649650574			
beneflts	0.38348329067230225			
csrs	0.3833913207054138			
erisa	0.3829980492591858			
annuitant	0.38224923610687256			
payable	0.38126856088638306			
paycheck	0.3809643089771271			
fers	0.3801174461841583			
definedbenefit	0.38003987073898315			
twoincome	0.37966102361679077			
comp	0.3794682025909424			
higherpaid	0.3791316747665405			
employes	0.37909775972366333			
insuranceor	0.37630602717399597			
postservice	0.37629270553588867			
deducts	0.3761475682258606			
paychecks	0.37610071897506714			
unearned	0.3754402697086334			
inflationprotected	0.37536653876304626			
serps	0.37528833746910095			
workingage	0.3748915195465088			
corryhiebert	0.37425071001052856			
earn	0.37367844581604004			
ployee	0.3735184073448181			
ktype	0.3733013868331909			
